timeline,survival_probability
0.0,1.0
0.0027397260273972603,0.9875000000000004
0.021917808219178082,0.9750000000000003
0.030136986301369864,0.9625000000000007
0.0547945205479452,0.9375000000000001
0.10684931506849316,0.9250000000000008
0.1863013698630137,0.9000000000000004
0.2493150684931507,0.8875000000000004
0.29863013698630136,0.8750000000000007
0.336986301369863,0.8625000000000006
0.38082191780821917,0.8500000000000005
0.3835616438356164,0.8375
0.3972602739726027,0.8250000000000001
0.44931506849315067,0.8
0.4821917808219178,0.7875000000000002
0.5095890410958904,0.7750000000000004
0.536986301369863,0.7625000000000004
0.6164383561643836,0.7500000000000001
0.6602739726027397,0.7375000000000005
0.6657534246575343,0.7250000000000001
0.6821917808219178,0.7125000000000004
0.7013698630136986,0.6875000000000004
0.736986301369863,0.6500000000000004
0.7561643835616438,0.6375000000000002
0.7643835616438356,0.6250000000000002
0.7835616438356164,0.6000000000000004
0.7863013698630137,0.5875000000000001
0.7890410958904109,0.5750000000000003
0.8054794520547945,0.5625000000000001
0.821917808219178,0.5500000000000002
0.8301369863013699,0.5375000000000002
0.8849315068493151,0.5250000000000002
0.9178082191780822,0.5125000000000003
1.0301369863013699,0.5000000000000002
1.0767123287671232,0.48750000000000016
1.0794520547945206,0.47500000000000014
1.0904109589041096,0.46250000000000013
1.095890410958904,0.4500000000000001
1.104109589041096,0.4375000000000001
1.1369863013698631,0.42500000000000027
1.1917808219178083,0.41250000000000014
1.4986301369863013,0.40000000000000013
1.515068493150685,0.3625000000000002
1.652054794520548,0.3500000000000001
1.7315068493150685,0.33750000000000013
1.7397260273972603,0.3250000000000002
1.8575342465753424,0.2875000000000001
1.8630136986301369,0.2750000000000002
1.9095890410958904,0.2625000000000001
1.9205479452054794,0.25000000000000006
1.9671232876712328,0.23750000000000004
2.0657534246575344,0.22500000000000006
2.0931506849315067,0.2125000000000001
2.1671232876712327,0.20000000000000007
2.221917808219178,0.18750000000000008
2.232876712328767,0.17500000000000004
2.356164383561644,0.16250000000000006
2.4136986301369863,0.15000000000000008
2.5013698630136987,0.13750000000000007
2.684931506849315,0.12500000000000008
2.758904109589041,0.11250000000000007
2.835616438356164,0.10000000000000002
2.8383561643835615,0.08750000000000005
3.1561643835616437,0.07500000000000007
3.2054794520547945,0.06250000000000003
3.282191780821918,0.05000000000000003
3.3232876712328765,0.037500000000000026
3.4575342465753423,0.025000000000000012
3.9095890410958902,0.012500000000000006
4.3561643835616435,0.0
