timeline,survival_probability
0.0,1.0
0.1589041095890411,0.9333333333333331
0.1863013698630137,0.8666666666666667
0.3835616438356164,0.8
0.4821917808219178,0.7333333333333334
0.5095890410958904,0.6666666666666669
1.0164383561643835,0.6000000000000001
1.515068493150685,0.5333333333333332
1.841095890410959,0.4666666666666666
1.8575342465753424,0.39999999999999997
1.9095890410958904,0.3333333333333333
1.9671232876712328,0.26666666666666666
2.1671232876712327,0.2
2.356164383561644,0.13333333333333333
2.835616438356164,0.06666666666666667
3.5753424657534247,0.0
