timeline,survival_probability
0.0,1.0
0.0027397260273972603,0.9705882352941175
0.1863013698630137,0.9411764705882352
0.3232876712328767,0.9117647058823528
0.44931506849315067,0.8823529411764706
0.5205479452054794,0.8529411764705882
0.5232876712328767,0.8235294117647056
0.5780821917808219,0.7941176470588235
0.673972602739726,0.7647058823529411
0.6821917808219178,0.7352941176470585
0.7835616438356164,0.7058823529411764
0.7863013698630137,0.6764705882352939
0.8054794520547945,0.6470588235294118
0.8356164383561644,0.6176470588235293
1.0301369863013699,0.5882352941176469
1.1561643835616437,0.5588235294117645
1.178082191780822,0.5294117647058821
1.2465753424657535,0.49999999999999994
1.2547945205479452,0.47058823529411753
1.641095890410959,0.4411764705882352
1.7315068493150685,0.4117647058823528
1.841095890410959,0.3823529411764705
1.8575342465753424,0.3529411764705882
1.9808219178082191,0.32352941176470584
2.0054794520547947,0.29411764705882354
2.0657534246575344,0.2647058823529412
2.33972602739726,0.23529411764705874
2.356164383561644,0.20588235294117643
2.4136986301369863,0.17647058823529407
2.7150684931506848,0.14705882352941171
2.9123287671232876,0.11764705882352941
3.128767123287671,0.08823529411764706
3.3232876712328765,0.0588235294117647
3.5753424657534247,0.02941176470588235
4.786301369863014,0.0
