timeline,survival_probability
0.0,1.0
0.021917808219178082,0.9285714285714287
0.1863013698630137,0.8571428571428573
0.5232876712328767,0.7857142857142859
0.673972602739726,0.7142857142857146
0.736986301369863,0.6428571428571431
0.9424657534246575,0.5714285714285714
1.1369863013698631,0.5000000000000001
1.3534246575342466,0.42857142857142866
1.515068493150685,0.28571428571428575
1.9095890410958904,0.21428571428571436
1.9589041095890412,0.1428571428571429
1.9808219178082191,0.07142857142857144
3.128767123287671,0.0
