timeline,survival_probability
0.0,1.0
0.021917808219178082,0.9583333333333331
0.38082191780821917,0.9166666666666667
0.3917808219178082,0.8749999999999999
0.44931506849315067,0.7916666666666664
0.5780821917808219,0.7499999999999998
0.6657534246575343,0.7083333333333333
0.673972602739726,0.6666666666666665
0.736986301369863,0.6249999999999999
0.7561643835616438,0.5833333333333331
0.7863013698630137,0.5416666666666666
0.821917808219178,0.49999999999999994
0.9178082191780822,0.4583333333333333
0.9534246575342465,0.4166666666666667
1.0767123287671232,0.375
1.104109589041096,0.3333333333333332
1.632876712328767,0.29166666666666663
1.641095890410959,0.24999999999999994
1.7315068493150685,0.2083333333333333
1.9095890410958904,0.16666666666666663
2.756164383561644,0.12499999999999997
2.835616438356164,0.08333333333333329
2.9123287671232876,0.041666666666666644
3.3232876712328765,0.0
