sample,condition
TCGA-2J-AAB6-01A,Control
TCGA-2J-AABF-01A,Control
TCGA-2L-AAQA-01A,Control
TCGA-3A-A9IZ-01A,Control
TCGA-F2-A44G-01A,Control
TCGA-FB-A7DR-01A,Control
TCGA-FB-AAQ0-01A,Control
TCGA-HZ-8317-01A,Control
TCGA-HZ-8638-01A,Control
TCGA-IB-7644-01A,Control
TCGA-IB-7645-01A,Control
TCGA-IB-7647-01A,Control
TCGA-IB-7654-01A,Control
TCGA-IB-7889-01A,Control
TCGA-IB-A5SS-01A,Control
TCGA-US-A779-01A,Control
TCGA-US-A77G-01A,Control
TCGA-2L-AAQJ-01A,Treatment
TCGA-FB-AAPQ-01A,Treatment
TCGA-FB-AAPU-01A,Treatment
TCGA-HV-AA8X-01A,Treatment
