,TCGA-2L-AAQE-01A,TCGA-2L-AAQI-01A,TCGA-3A-A9IB-01A,TCGA-3E-AAAZ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A5VM-01A,TCGA-FB-A78T-01A,TCGA-IB-7651-01A,TCGA-IB-7890-01A,TCGA-IB-A5SS-01A,TCGA-IB-AAUO-01A,TCGA-IB-AAUW-01A,TCGA-PZ-A5RE-01A,TCGA-US-A779-01A,TCGA-XD-AAUI-01A,TCGA-2J-AAB6-01A,TCGA-IB-AAUQ-01A,TCGA-LB-A7SX-01A
ENSG00000151657.12,757,530,686,840,724,491,794,1136,444,523,781,743,569,668,602,429,459,845
ENSG00000151665.13,345,301,292,354,248,187,354,806,262,273,216,428,326,335,239,165,274,373
ENSG00000151687.14,132,145,83,189,96,51,213,204,103,68,85,233,84,97,99,40,83,200
ENSG00000151689.13,1779,2775,1877,2881,2107,1674,5571,6278,1633,1075,1590,2891,3874,3708,2269,985,1227,1281
ENSG00000151690.15,4090,4680,2282,6063,2243,1364,3315,8803,3111,3762,1800,4510,3455,2962,2741,1538,1775,3420
ENSG00000151692.15,1995,1025,3453,1526,1409,1110,1383,2655,3356,3933,733,1489,1843,600,2394,1957,1916,596
ENSG00000151693.11,2643,3744,2193,2762,2612,445,2471,7144,3644,4571,1304,1808,1256,1196,1223,1782,846,1714
ENSG00000151694.14,1517,1739,1752,1272,1520,605,1290,3518,1775,1868,1194,1611,936,697,1142,881,815,1232
ENSG00000151702.17,578,622,1258,948,946,498,533,2009,997,1041,445,1631,688,270,1088,528,572,404
ENSG00000151704.16,6,5,3,5,7,3,9,12,5,2,28,14,3,2,2,1,4,25
ENSG00000151715.8,4109,6106,585,438,1954,113,1712,8071,961,979,1296,1757,5947,2183,3805,493,1863,4052
ENSG00000151718.16,1080,1974,1073,1251,1123,222,864,2944,2096,1540,612,1991,726,642,856,740,827,704
ENSG00000151725.12,380,658,357,308,1112,641,468,833,240,703,852,272,277,509,447,454,255,596
ENSG00000151726.15,2920,4905,2898,3040,5980,2931,4270,15990,3389,8470,1449,5539,4127,2664,6913,2030,3007,3605
ENSG00000151729.11,936,1594,854,3327,1294,1055,1468,2094,956,1432,849,2047,1547,1266,1152,459,733,1087
ENSG00000151743.11,68,198,203,174,183,86,176,335,380,184,163,220,150,135,203,177,114,84
ENSG00000151746.15,737,970,2280,867,867,552,1015,2340,1562,1078,1530,949,937,609,710,779,823,581
ENSG00000151748.15,1647,1753,2253,2547,1787,1049,1486,3112,1698,2485,2184,1973,1587,859,1417,2086,1107,1215
ENSG00000151773.13,175,188,140,103,169,202,185,240,200,87,270,372,131,198,132,121,136,192
ENSG00000151778.11,156,154,91,178,101,339,138,126,138,108,57,252,217,267,200,109,211,220
ENSG00000151779.13,2659,2945,3440,3062,2269,1827,2244,5898,2456,3198,1327,3056,2471,1658,2133,1724,1955,2187
ENSG00000151789.12,130,142,925,463,128,206,132,163,130,94,146,695,131,93,405,30,86,75
ENSG00000151790.9,134,151,293,192,218,378,113,511,420,390,117,180,59,48,258,539,164,55
ENSG00000151806.14,868,1079,832,1284,1523,777,1596,2583,1417,1269,891,1480,1289,1119,1172,896,810,828
ENSG00000151812.15,3,11,5,6,10,5,5,2,9,2,3,12,4,12,5,64,20,4
ENSG00000151834.16,13,26,14,57,6,18,269,92,9,115,3,79,1,8,269,1,7,14
ENSG00000151835.16,416,376,1455,1175,652,394,514,2130,1578,1167,745,1110,346,132,682,1274,837,580
ENSG00000151838.12,0,2,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0
ENSG00000151846.8,35,29,45,43,26,17,41,32,21,41,13,19,14,14,11,4,2,44
ENSG00000151849.15,314,422,345,580,385,512,449,566,518,405,379,368,325,210,409,598,360,422
ENSG00000151876.13,620,280,410,587,636,562,555,870,328,404,375,553,554,379,406,337,360,989
ENSG00000151881.15,497,401,884,1069,659,379,580,891,689,590,867,736,343,289,453,518,437,981
ENSG00000151882.11,843,1078,801,1035,973,262,1028,536,449,2691,4908,6792,2237,782,929,522,1382,1404
ENSG00000151883.19,2197,1496,1929,3535,2064,748,2812,2567,1545,2241,2749,2985,2191,1159,1718,966,1671,1410
ENSG00000151892.15,517,431,442,1039,193,402,545,250,118,55,114,2358,124,187,1103,76,99,286
ENSG00000151893.15,4002,2654,4588,4112,4319,2963,3005,5858,2796,4515,3071,3053,3617,1911,2581,2068,1585,3898
ENSG00000151914.20,6640,10765,17711,11398,12747,4824,10780,25046,12554,9522,8564,18486,6528,5996,8862,4889,10045,4369
ENSG00000151917.18,92,85,365,230,97,61,45,158,495,271,123,201,126,15,305,100,225,45
ENSG00000151923.17,3418,2939,4054,5239,3820,3348,4937,4930,3062,3854,4809,4185,3871,2941,3390,2616,2240,5416
ENSG00000151929.10,4479,3077,6363,5247,3910,6251,3578,5551,3915,8326,5069,3700,6825,2750,4218,4843,2325,3584
ENSG00000151948.12,17,50,47,34,52,95,68,70,50,70,43,79,74,83,51,68,68,15
ENSG00000151952.16,7,97,16,15,119,77,53,63,111,4,21,216,24,59,111,100,120,11
ENSG00000151962.8,0,7,5,8,1,0,7,3,1,5,1,6,0,1,2,17,8,1
ENSG00000151963.4,2,2,1,9,0,4,2,3,0,0,1,2,2,2,2,0,0,0
ENSG00000151967.18,26,26,73,68,13,8,18,23,36,26,113,69,7,8,28,33,30,18
ENSG00000152034.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4
ENSG00000152049.6,739,698,1599,1724,1122,991,824,2284,2006,1657,274,1418,528,282,1226,1397,2123,501
ENSG00000152056.17,1284,1326,3095,1638,1309,648,1171,2472,1284,3381,2918,923,1785,2175,1269,1114,2382,951
ENSG00000152061.23,3625,4328,2304,7031,2641,2056,5144,4626,4284,5169,1948,4322,3561,2353,2841,2327,2057,3106
ENSG00000152076.19,93,57,166,82,58,78,58,122,96,156,133,73,101,29,55,50,146,108
ENSG00000152078.10,259,724,213,486,672,96,439,957,193,333,680,978,502,489,544,213,398,681
ENSG00000152082.15,979,740,1314,1012,982,2376,1459,769,193,1191,1149,675,1703,1499,1047,805,1043,1216
ENSG00000152086.9,1,2,0,2,1,1,0,3,1,0,0,0,0,0,2,0,2,14
ENSG00000152092.16,8,63,18,68,113,46,32,28,74,10,7,179,30,27,111,133,81,23
ENSG00000152093.8,0,2,0,0,1,0,0,2,1,0,0,1,1,0,2,2,4,0
ENSG00000152102.18,5513,3698,4191,7430,4044,3810,4319,9793,6075,5647,2386,7524,3760,4656,5776,3013,2864,4431
ENSG00000152104.12,2143,1579,3133,4440,1937,1073,1512,4980,5741,4258,2223,2689,1844,1253,2226,3073,2648,2170
ENSG00000152117.17,1220,733,976,1026,550,854,2595,775,520,671,1799,1052,1161,1138,1518,814,802,1272
ENSG00000152127.9,4432,2698,4234,9671,3511,3767,3535,8023,5066,5335,1699,6648,4593,5552,4384,4566,2093,4759
ENSG00000152128.13,646,1237,582,1783,785,212,3475,1092,405,1148,670,1537,1405,2174,1217,319,393,320
ENSG00000152133.16,436,477,538,855,549,334,567,1785,520,513,317,617,444,262,579,362,357,274
ENSG00000152137.8,490,903,1989,3974,658,787,555,1141,593,841,445,2297,827,264,1649,311,972,258
ENSG00000152147.11,681,572,706,752,509,747,630,1217,374,772,589,618,652,655,650,314,446,921
ENSG00000152154.11,67,53,88,66,15,35,183,40,35,54,63,139,176,103,112,81,97,143
ENSG00000152192.8,2,1,3,0,0,0,0,3,0,0,1,4,11,0,10,0,1,1
ENSG00000152193.8,483,423,273,520,401,351,400,658,483,289,430,507,318,453,517,423,294,497
ENSG00000152207.7,46,73,137,60,151,133,80,274,90,104,36,313,41,34,95,110,41,28
ENSG00000152208.13,0,2,1,6,14,2,2,8,2,1,2,5,1,2,3,2,2,0
ENSG00000152213.4,231,76,145,67,141,150,181,297,156,242,120,177,275,54,201,61,179,446
ENSG00000152214.14,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
ENSG00000152217.20,280,888,845,1226,552,250,490,1403,915,650,313,2254,195,371,554,442,522,381
ENSG00000152219.5,1024,934,1043,1849,974,668,1071,2116,978,1012,795,1420,904,776,851,610,672,697
ENSG00000152223.15,914,1355,1831,1587,1446,640,1296,3309,1718,1435,1214,2190,1051,1139,1226,905,1124,1221
ENSG00000152229.18,244,482,492,437,851,751,513,1747,228,699,1176,768,326,653,463,272,347,843
ENSG00000152234.16,8015,15871,18039,20824,18996,13849,13960,20662,10218,15942,16117,21465,14530,19415,13871,7407,8660,12286
ENSG00000152240.13,385,430,627,787,621,639,519,1271,527,632,657,649,555,687,548,385,335,384
ENSG00000152242.11,558,923,1258,1395,1233,739,1026,2568,1107,1232,1659,1399,737,863,1501,1154,729,947
ENSG00000152253.9,171,196,215,198,378,472,163,287,138,250,269,182,193,251,275,196,173,353
ENSG00000152254.11,96,1384,159,11,255,340,390,787,945,1,53,3311,98,977,1210,1496,1584,172
ENSG00000152256.14,578,917,1002,760,527,589,864,2547,842,959,653,643,603,373,1439,1073,927,716
ENSG00000152266.7,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0
ENSG00000152270.9,1213,633,277,327,677,295,436,869,608,198,137,710,641,177,597,185,615,370
ENSG00000152284.5,332,378,586,961,517,1150,341,1234,559,881,588,732,539,358,500,243,365,349
ENSG00000152291.14,16531,19237,12898,21788,17143,8465,16419,33750,21426,19095,9340,24483,15618,12721,13979,10823,11395,15752
ENSG00000152292.17,19,137,30,26,13,9,329,21,4,1,267,317,57,102,197,0,48,45
ENSG00000152315.5,20,56,77,24,84,58,56,288,58,190,32,70,45,17,33,16,155,17
ENSG00000152332.16,4239,5100,4402,9305,7935,2103,5346,14907,5710,4848,3799,5514,3643,2715,4519,6073,3222,7327
ENSG00000152348.16,299,252,418,248,331,255,286,632,206,372,335,426,259,233,335,300,299,323
ENSG00000152359.15,503,319,418,552,448,335,577,748,283,581,597,599,405,293,361,379,349,387
ENSG00000152377.14,1111,506,3116,4287,907,1393,895,6188,5187,11454,1463,1430,2880,178,1356,2283,1862,778
ENSG00000152380.10,40,44,58,67,45,32,42,118,69,67,52,83,39,16,44,35,40,54
ENSG00000152382.6,391,602,372,986,479,210,705,1404,503,525,459,715,416,407,507,393,308,693
ENSG00000152402.11,237,912,827,790,637,224,424,1124,1294,467,211,1157,109,367,345,355,441,137
ENSG00000152404.15,684,626,589,847,879,697,459,1391,913,837,385,923,615,490,683,742,426,649
ENSG00000152409.9,1406,714,1541,2560,986,513,1046,2899,1261,1312,734,1760,838,309,870,803,700,1062
ENSG00000152413.15,341,263,481,477,627,215,229,795,415,502,219,646,310,98,160,282,173,222
ENSG00000152422.16,321,315,1075,500,516,308,1043,751,859,606,382,486,2887,3908,356,415,458,332
ENSG00000152430.18,1,1,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0
ENSG00000152433.15,85,65,57,95,59,110,144,94,47,45,170,104,151,95,110,60,51,72
ENSG00000152439.13,221,139,94,195,308,184,230,183,188,138,128,291,373,324,284,212,141,146
ENSG00000152443.13,681,528,449,749,745,201,681,756,769,507,755,972,579,437,514,688,449,489
ENSG00000152454.4,126,102,98,143,320,153,72,176,134,175,99,287,240,272,230,55,144,63
ENSG00000152455.16,207,196,240,463,410,310,253,560,179,234,157,323,236,186,193,173,202,438
ENSG00000152457.18,1177,516,623,1579,877,744,1068,1537,429,742,426,885,908,729,738,527,498,1065
ENSG00000152463.15,4,2,6,3,5,3,10,9,2,30,1,3,3,0,9,3,14,6
ENSG00000152464.15,493,292,366,486,461,517,505,606,216,402,332,424,532,503,353,256,310,502
ENSG00000152465.18,978,952,967,921,748,413,855,1338,645,936,295,1433,615,1257,573,481,630,1237
ENSG00000152467.10,7,22,12,15,21,19,21,11,6,6,14,29,17,20,7,22,26,3
ENSG00000152475.7,143,131,91,89,148,152,120,139,29,128,173,206,147,260,63,61,120,122
ENSG00000152484.14,1531,2052,2232,3191,1910,1161,1884,3112,2208,1369,1379,2950,2035,1106,1949,1581,1142,1267
ENSG00000152492.15,3848,3003,7247,6221,4045,3492,6738,8069,6544,4905,10636,6641,3732,3472,5053,3125,3249,3030
ENSG00000152495.11,381,381,362,794,1300,254,104,660,738,718,250,398,376,98,305,131,388,110
ENSG00000152503.10,10,125,201,114,35,30,81,215,128,309,511,138,91,42,192,62,118,273
ENSG00000152518.8,7162,9311,9529,9151,7143,1641,14853,14853,4146,6028,3149,17316,7074,5789,6317,3471,6271,16509
ENSG00000152520.14,2555,2510,2067,3641,2324,1037,3591,2940,1925,1220,2708,3020,1721,1815,2023,1945,1419,2421
ENSG00000152527.14,507,716,607,1223,256,198,2625,1615,353,318,397,937,747,403,741,272,688,462
ENSG00000152556.17,2833,2837,3766,3960,2935,2056,1956,4715,2463,4377,1890,3114,2408,1712,2161,1464,2102,1753
ENSG00000152558.15,19152,23041,17470,19610,21923,5133,7038,23988,13593,20386,10947,15371,11691,8405,12068,7607,8775,21376
ENSG00000152578.13,8,107,37,44,22,11,77,115,71,19,8,138,12,68,55,35,85,26
ENSG00000152580.8,52,36,80,96,83,63,92,75,71,99,32,390,71,21,43,15,17,10
ENSG00000152582.14,219,288,193,310,314,147,432,291,170,162,231,712,309,141,247,93,300,533
ENSG00000152583.12,10096,9256,25180,45778,7810,10771,6045,32266,15166,4954,3902,32184,5932,4014,22652,7205,12826,5613
ENSG00000152591.15,0,0,2,0,1,0,0,0,4,0,2,1,0,0,0,0,0,0
ENSG00000152592.14,0,1,7,9,1,2,6,9,6,0,2,3,0,4,6,7,6,2
ENSG00000152595.16,0,0,5,0,1,3,3,1,8,1,0,3,0,0,2,2,1,1
ENSG00000152601.17,5262,4681,9841,10343,5904,4080,6963,11970,8692,6419,7448,9769,4657,3174,5919,4650,5710,5522
ENSG00000152611.12,3,5,11,0,5,20,0,3,15,69,3,43,25,6,2,7,11,0
ENSG00000152620.13,746,799,913,1033,1069,781,658,1725,749,667,615,1125,879,346,807,562,764,1819
ENSG00000152642.11,2377,3001,1842,6045,1287,955,2380,2158,950,1568,724,2331,2367,2407,1282,764,1347,1177
ENSG00000152661.9,2080,5188,8652,7298,3861,2290,2410,6971,11969,10803,2847,5333,5939,1066,4419,3320,6732,1672
ENSG00000152669.9,597,319,204,724,133,291,641,226,25,277,823,405,713,581,216,203,287,302
ENSG00000152670.19,5,0,3,5,2,0,4,3,0,0,3,3,5,1,0,0,0,1
ENSG00000152672.8,1,17,11,31,0,70,76,7,3,3,46,182,67,26,17,2,5,23
ENSG00000152683.14,1662,1677,1660,1970,1679,1373,1320,3974,1399,1837,1429,1883,1481,1053,1262,807,1150,1704
ENSG00000152684.11,1808,1217,2502,1742,1689,1470,1096,3493,1771,2417,1413,1480,1931,702,1358,1357,1398,863
ENSG00000152689.18,472,848,1063,808,717,475,704,1404,596,767,613,1162,542,375,678,361,558,532
ENSG00000152700.14,2879,4170,3097,3646,3039,1239,2641,4442,2837,3184,2216,4221,3364,1852,2148,1940,2198,2564
ENSG00000152705.8,20,26,18,11,23,15,45,32,9,7,31,28,24,13,16,11,19,26
ENSG00000152749.8,593,1189,831,971,982,506,623,2373,1104,1040,902,942,723,378,676,1106,720,930
ENSG00000152760.10,27,21,74,62,40,24,30,49,33,27,62,56,29,26,74,21,38,26
ENSG00000152763.17,114,136,189,57,142,95,114,232,91,100,108,304,96,85,106,109,133,464
ENSG00000152766.6,1175,1819,1591,1888,3272,438,5693,1612,325,2439,1405,1298,3663,3671,1093,363,321,1042
ENSG00000152767.17,2600,4453,3221,4827,4252,1945,4488,3851,3877,4994,3770,5271,3179,2493,2907,2780,2264,4985
ENSG00000152778.9,1904,1100,1145,1159,2246,806,949,3858,952,2262,2669,1636,1582,883,957,1307,950,1008
ENSG00000152779.14,6,202,84,32,260,52,182,224,389,331,25,994,35,70,271,93,205,7
ENSG00000152782.16,290,387,246,238,322,173,119,272,152,333,102,340,165,183,226,98,115,377
ENSG00000152784.16,231,200,612,337,230,253,823,508,306,476,131,145,645,99,543,251,176,95
ENSG00000152785.8,18,131,27,610,158,27,21,18,56,20,71,204,63,8,52,4,49,145
ENSG00000152795.17,8236,9846,12759,15163,11060,11367,18654,11938,8463,9591,11870,15741,14030,10484,10118,9248,8047,12808
ENSG00000152804.11,257,1052,659,796,716,554,842,1727,276,263,711,2181,844,650,925,250,521,565
ENSG00000152818.18,1741,3502,4862,4655,3978,1311,3524,17177,7137,4409,2291,9790,2092,2559,3526,2028,3475,1747
ENSG00000152822.14,1,8,2,6,4,0,5,19,18,15,0,25,12,9,7,4,17,10
ENSG00000152894.15,4559,9454,7324,8037,7178,4341,6074,14707,8208,6849,5885,11562,3095,5680,5521,4161,5256,5683
ENSG00000152904.11,734,661,632,1087,597,670,645,1362,697,948,761,770,729,889,714,690,550,904
ENSG00000152910.19,0,0,0,5,0,0,1,0,0,1,1,5,0,1,2,1,2,0
ENSG00000152926.15,616,720,914,408,478,463,1526,291,383,385,2540,1988,669,564,990,433,1421,1506
ENSG00000152931.9,4,5,21,137,21,17,4,1,15,4,3,37,14,4,14,14,25,33
ENSG00000152932.8,103,358,193,303,344,299,238,374,362,34,42,1015,67,215,474,217,341,94
ENSG00000152936.10,0,2,0,6,0,1,3,1,3,6,0,5,0,2,11,4,3,1
ENSG00000152939.17,1996,1412,1927,1229,1692,455,1664,1535,1044,1507,1425,1713,1789,944,1010,736,749,917
ENSG00000152942.19,1544,915,1294,1768,1239,598,1248,2564,1143,1479,1052,1529,1154,714,985,775,920,1019
ENSG00000152944.9,980,1523,1487,2099,1840,995,1323,2632,1673,1670,1080,1519,1391,1050,1181,1116,832,929
ENSG00000152952.12,1395,4451,17580,3500,2346,1550,1813,8810,15955,13206,6045,2754,3902,519,4628,6114,5305,1241
ENSG00000152953.13,56,156,266,262,303,239,147,187,227,238,93,349,117,157,180,105,175,1280
ENSG00000152954.12,1,32,6,33,19,18,22,15,17,1,3,39,4,19,32,15,25,6
ENSG00000152969.20,2,4,1,0,7,11,0,10,7,3,2,9,3,1,11,4,5,2
ENSG00000152977.10,3,6,0,4,0,0,1,19,0,10,0,2,0,0,1,0,3,477
ENSG00000152990.14,2303,2726,2556,2891,1925,650,1998,2823,1847,2895,2482,3397,1579,2553,1958,1083,1229,4264
ENSG00000153002.12,145,81835,116849,36852,438890,470,471676,56686,60,5,1717,190046,284,1124,35348,375,85,19
ENSG00000153006.16,926,817,1233,1774,1219,871,1252,2320,1278,1313,1092,1377,1139,811,966,1373,778,720
ENSG00000153012.12,211,205,310,980,180,156,259,271,284,314,80,516,122,72,510,120,144,166
ENSG00000153015.16,1178,789,1798,1112,1482,808,1072,2112,999,1237,909,1568,1019,683,865,971,741,785
ENSG00000153029.14,2283,2783,2461,1356,2238,1657,2536,3748,2933,2187,1678,3199,2097,2045,1834,1080,1611,1495
ENSG00000153037.15,433,451,409,625,508,322,529,712,441,357,667,711,502,331,428,400,380,350
ENSG00000153044.10,243,162,380,471,769,524,226,331,190,399,376,144,268,138,247,279,275,309
ENSG00000153046.18,1521,1148,1331,1523,1291,1366,1232,3053,1551,1486,636,1212,1090,826,1265,1728,971,965
ENSG00000153048.11,2058,2537,3622,2496,1924,1515,2922,3426,1323,3637,2891,2756,2625,2493,1596,844,1677,3341
ENSG00000153060.8,68,92,10,6,35,18,23,12,10,6,21,19,6,70,10,2,7,25
ENSG00000153064.12,926,1229,150,343,339,159,505,1140,354,270,231,868,501,492,840,348,163,253
ENSG00000153066.13,3395,3160,3401,3308,3251,1931,3687,7756,2926,3685,3262,4140,3328,3707,2321,1986,2352,4428
ENSG00000153071.15,2598,2607,7062,4444,3600,3491,3481,8163,6154,7792,2042,7400,5419,1300,3508,2983,3909,1965
ENSG00000153086.14,2,35,24,9,16,3,22,54,20,2,163,297,36,114,27,5,118,12
ENSG00000153093.20,269,113,200,219,66,236,141,336,91,194,105,187,171,246,110,39,123,171
ENSG00000153094.24,2038,1031,1499,1329,1294,1703,1121,3212,1306,2309,960,1459,1327,614,1851,686,1111,1182
ENSG00000153107.13,920,900,632,1258,1167,625,729,2067,879,981,482,919,516,498,632,497,514,1048
ENSG00000153113.24,11467,12506,11389,15202,10896,7541,13729,30915,11884,20970,9642,10224,11841,5189,11125,12251,7484,5473
ENSG00000153130.17,2297,4831,5990,2685,3826,1152,4312,5203,2838,3314,2530,4886,3871,2726,2410,1490,1589,4022
ENSG00000153132.13,60,121,45,188,117,85,52,264,150,100,19,215,51,65,116,131,134,47
ENSG00000153140.9,584,581,667,628,635,444,382,809,518,838,466,697,573,357,446,278,445,526
ENSG00000153147.6,4421,6088,6133,5038,6108,2749,4979,10176,5963,6656,3388,6922,5439,4005,3933,3554,2626,5186
ENSG00000153157.13,10,21,20,10,12,49,17,9,14,4,23,17,5,7,13,16,12,127
ENSG00000153162.9,87,57,313,200,62,238,48,479,139,83,54,263,69,24,276,101,72,198
ENSG00000153165.19,24,17,7,14,6,15,6,14,15,12,15,16,5,10,16,11,17,22
ENSG00000153179.13,1530,1308,2671,6485,2211,857,2333,10161,2029,2224,2127,2885,2171,2133,2378,690,1606,1975
ENSG00000153187.20,17160,19688,18695,21088,23511,16331,21560,29211,16366,21607,20036,22764,22488,15539,16076,14741,11812,22269
ENSG00000153201.16,5070,5423,5271,7276,6779,3643,6022,10452,6217,6562,4172,8192,4378,3785,4616,2653,3198,3349
ENSG00000153207.16,1535,2013,1968,3415,2390,1057,2494,5602,2510,2415,1362,2463,1390,1503,1660,1605,1241,2300
ENSG00000153208.17,183,432,604,569,970,391,404,3246,746,512,233,804,679,133,702,257,541,399
ENSG00000153214.11,3373,4612,2334,5219,3158,1318,4049,8786,4445,2915,2750,4413,2430,2707,3861,2255,2311,3805
ENSG00000153230.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000153233.13,245,345,135,693,473,66,625,3579,575,1101,173,465,817,901,350,133,183,734
ENSG00000153234.15,588,561,1520,1009,253,655,608,726,266,632,546,1171,1132,152,711,455,380,6347
ENSG00000153237.18,50,46,51,13,44,12,50,181,44,54,54,100,61,39,36,21,56,94
ENSG00000153246.13,2329,2073,2436,1060,557,803,1531,2136,1736,1072,1827,758,1827,714,951,603,1362,1769
ENSG00000153250.20,4374,3388,5948,4717,4372,3273,3371,8152,6862,4681,3960,4164,3778,2698,4822,3480,3751,4111
ENSG00000153253.19,25,61,92,72,74,25,51,87,112,67,19,235,13,29,144,41,78,19
ENSG00000153266.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000153283.13,327,178,155,214,524,250,185,1161,87,200,252,488,278,30,380,77,136,211
ENSG00000153291.16,116,233,207,383,144,126,338,238,75,47,296,557,125,123,281,63,286,681
ENSG00000153292.16,3178,4695,213,4353,3250,2063,3553,5561,270,2284,1812,1993,2999,993,415,2057,995,3657
ENSG00000153294.12,185,600,727,135,126,476,211,137,312,485,90,77,195,172,493,381,412,263
ENSG00000153303.17,2,4,6,4,2,16,4,24,4,4,4,16,3,48,6,1,1,11
ENSG00000153310.19,3137,2779,3572,2327,5213,4435,2575,4335,2902,3040,2280,2605,2551,3013,5007,2160,1725,2261
ENSG00000153317.15,2726,1999,4298,2776,3385,1682,1718,4957,4808,5002,2482,2658,1869,1419,2429,2561,2285,1866
ENSG00000153339.15,789,1646,1981,2018,1748,501,2370,4036,1926,1705,1488,2705,1069,1559,1558,832,2279,1623
ENSG00000153347.10,211,70,79,22,19,23,137,18,171,385,14,113,402,68,53,16,25,31
ENSG00000153363.13,375,215,263,251,417,197,340,1022,206,546,369,442,824,442,301,155,279,525
ENSG00000153391.16,196,437,516,499,396,543,443,1110,248,337,909,630,484,1585,609,382,1192,426
ENSG00000153395.10,2088,1894,5158,3008,1787,2701,2091,4625,1704,2919,4262,3636,2252,1457,2673,1698,3326,4884
ENSG00000153404.14,40,60,282,189,32,105,91,38,202,174,2186,109,307,60,59,56,126,46
ENSG00000153406.14,2389,1893,2798,2462,1891,1769,2474,2871,1418,2771,1936,1499,2327,2799,1354,1582,1803,3426
ENSG00000153443.13,1654,848,1536,2002,1345,1860,2116,1350,660,1683,2376,1327,2333,2142,1087,711,982,1426
ENSG00000153446.16,139,154,287,1010,84,641,117,144,59,135,64,1518,38,1163,282,93,99,484
ENSG00000153485.6,411,429,396,486,329,330,372,648,277,318,368,568,523,378,420,281,284,381
ENSG00000153487.13,721,1142,1783,1238,814,1035,1318,1257,856,904,987,827,1493,678,882,1335,746,1007
ENSG00000153495.11,12,10,18,27,4,23,147,10,14,22,42,10,29,14,18,15,24,12
ENSG00000153498.12,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0
ENSG00000153531.13,138,247,563,283,150,462,209,452,1429,502,167,259,483,359,449,982,839,350
ENSG00000153551.14,4989,1580,4455,3963,2199,13396,3003,2542,1395,8522,10989,2422,4984,2478,2456,4980,1485,596
ENSG00000153558.16,963,709,839,712,276,571,874,709,648,657,834,579,664,227,487,1039,603,544
ENSG00000153560.12,4556,3524,3871,5359,3071,3343,4007,6214,2730,4260,3802,4579,3195,2906,3367,2471,2148,3142
ENSG00000153561.13,3559,2762,2218,6268,2138,1935,3427,6980,2387,2851,2730,3856,4193,4338,3051,6909,2012,4182
ENSG00000153563.16,486,287,184,293,1805,593,322,2221,114,272,319,1366,149,66,277,85,191,321
ENSG00000153574.9,1529,1368,979,1522,1501,1507,1704,1832,745,815,1060,1397,1289,2039,1019,768,621,3249
ENSG00000153684.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ENSG00000153707.17,273,284,470,434,175,208,188,411,1425,699,520,964,386,113,163,270,478,37
ENSG00000153714.6,473,1151,1529,2323,831,657,857,870,767,2383,1326,1773,857,862,918,1391,1526,1784
ENSG00000153721.19,244,575,756,723,482,921,652,637,289,312,261,897,399,362,600,302,783,425
ENSG00000153767.10,670,496,878,852,708,653,510,1302,756,779,942,519,420,438,578,361,459,628
ENSG00000153774.9,1289,2526,3634,1898,1461,2599,2355,2667,1961,2400,1681,1952,2944,2235,2526,1848,1570,2303
ENSG00000153779.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000153786.13,3789,4131,8341,17155,4205,5168,12156,12842,7393,5308,3382,6383,8387,10354,6297,2777,2529,5773
ENSG00000153789.13,2,3,8,9,8,19,2,61,5,45,2,8,19,4,11,3,20,60
ENSG00000153790.12,208,238,136,198,128,160,289,537,329,278,129,303,144,287,245,125,200,173
ENSG00000153802.12,0,5,1,2,1,159,3,6,1,15,2,0,23,1,3,29,1,4
ENSG00000153814.13,528,1167,1125,801,541,496,727,974,1059,883,704,1379,1119,700,981,491,894,916
ENSG00000153815.16,2870,5042,5470,7333,5556,5097,5765,7364,6340,6627,3679,5468,6504,4245,5670,3837,3164,6798
ENSG00000153820.13,0,10,6,8,5,2,6,3,13,1,2,11,2,6,8,18,12,2
ENSG00000153822.14,16,2224,294,239,1224,12,2194,1044,26,41,743,5592,104,863,457,28,1611,204
ENSG00000153823.19,135,311,440,769,318,316,186,1793,452,350,151,1572,568,140,601,169,632,1031
ENSG00000153827.14,8972,9875,9111,10959,9141,6840,8076,22669,9991,11578,5688,10465,7748,5688,7797,5934,5619,7709
ENSG00000153832.12,205,145,312,116,278,130,115,796,258,150,124,264,236,218,211,131,174,273
ENSG00000153879.9,2924,2537,2353,3492,3065,1785,3254,6533,2073,3902,2824,2534,5172,3044,4470,2277,1137,3415
ENSG00000153885.14,585,825,2323,2518,598,1833,841,996,1420,1952,1754,1495,1555,1165,1562,2122,860,1965
ENSG00000153896.19,231,173,173,252,148,204,221,348,232,340,110,341,196,174,250,166,198,313
ENSG00000153898.13,81,54,59,45,191,277,270,337,17,53,237,176,81,32,216,49,46,39
