sample,condition
TCGA-2J-AAB6-01A,Control
TCGA-2J-AABF-01A,Control
TCGA-2L-AAQL-01A,Control
TCGA-3E-AAAZ-01A,Control
TCGA-F2-6879-01A,Control
TCGA-FB-A78T-01A,Control
TCGA-FB-AAPP-01A,Control
TCGA-FB-AAPU-01A,Control
TCGA-FB-AAQ0-01A,Control
TCGA-FB-AAQ3-01A,Control
TCGA-HV-A5A6-01A,Control
TCGA-HV-AA8X-01A,Control
TCGA-HZ-7919-01A,Control
TCGA-HZ-7925-01A,Control
TCGA-HZ-8003-01A,Control
TCGA-HZ-8637-01A,Control
TCGA-HZ-8638-01A,Control
TCGA-IB-7651-01A,Control
TCGA-IB-7887-01A,Control
TCGA-IB-A5SS-01A,Control
TCGA-IB-AAUN-01A,Control
TCGA-IB-AAUO-01A,Control
TCGA-S4-A8RP-01A,Control
TCGA-US-A774-01A,Control
TCGA-2L-AAQA-01A,Treatment
TCGA-3A-A9IB-01A,Treatment
TCGA-FB-AAPQ-01A,Treatment
TCGA-HZ-8315-01A,Treatment
TCGA-HZ-8636-01A,Treatment
TCGA-IB-7886-01A,Treatment
TCGA-IB-A7LX-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
TCGA-US-A77E-01A,Treatment
