sample,condition
TCGA-2J-AAB6-01A,Control
TCGA-2J-AAB9-01A,Control
TCGA-3A-A9I9-01A,Control
TCGA-3A-A9IB-01A,Control
TCGA-F2-6879-01A,Control
TCGA-FB-AAPU-01A,Control
TCGA-HZ-8315-01A,Control
TCGA-HZ-8317-01A,Control
TCGA-HZ-8636-01A,Control
TCGA-HZ-A77O-01A,Control
TCGA-IB-7888-01A,Control
TCGA-IB-7891-01A,Control
TCGA-IB-A5SO-01A,Control
TCGA-US-A779-01A,Control
TCGA-US-A77J-01A,Control
TCGA-F2-A7TX-01A,Treatment
TCGA-HV-A5A6-01A,Treatment
TCGA-HZ-8637-01A,Treatment
TCGA-IB-AAUQ-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
