,TCGA-2L-AAQI-01A,TCGA-2L-AAQJ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPY-01A,TCGA-FB-AAQ3-01A,TCGA-HZ-7926-01A,TCGA-IB-7644-01A,TCGA-IB-7654-01A,TCGA-IB-AAUO-01A,TCGA-FB-AAQ0-01A,TCGA-H6-A45N-01A,TCGA-HZ-8637-01A,TCGA-LB-A7SX-01A,TCGA-US-A77J-01A
ENSG00000135473.15,1061,404,767,791,1155,304,1308,978,887,1458,1165,908,2712,1853,803
ENSG00000135476.12,220,344,1164,344,256,123,446,717,337,811,581,231,1136,622,281
ENSG00000135477.11,85,41,63,28,35,12,208,39,14,243,55,61,10,64,43
ENSG00000135480.16,42982,27791,74855,33029,31203,24462,64461,14183,22051,84111,27889,15223,5327,12990,17773
ENSG00000135482.7,199,209,322,279,221,128,340,283,403,230,130,181,518,187,233
ENSG00000135486.19,22669,24677,33518,18830,21229,15562,38054,60407,43820,27660,27372,11273,31668,14945,23834
ENSG00000135502.19,0,0,0,3,0,1,1,0,2,3,0,2,2,0,0
ENSG00000135503.13,5186,3692,3687,1764,4730,1734,4957,9827,8164,3706,4134,2563,3572,2605,1611
ENSG00000135506.16,41002,9876,11749,13315,9023,2445,17358,18865,17581,8990,7339,6618,15555,6908,8845
ENSG00000135517.9,1,0,0,0,1,0,0,0,0,1,1,0,2,1,0
ENSG00000135519.8,72,34,52,16,78,51,533,34,61,212,13,116,288,36,98
ENSG00000135521.9,335,460,779,475,422,392,875,513,765,376,463,200,1253,609,592
ENSG00000135525.18,2627,2186,2356,1145,1372,730,5956,2504,3775,1359,2013,1066,2764,1979,807
ENSG00000135535.17,21537,40882,17320,14748,13225,20551,29657,34592,58601,9324,33172,12297,30044,12692,6745
ENSG00000135537.17,239,177,276,167,179,96,310,313,392,102,152,117,525,146,162
ENSG00000135540.11,1090,984,1207,849,745,451,923,1363,1619,324,678,439,4646,1955,368
ENSG00000135541.21,697,489,551,759,894,409,1608,738,954,504,706,601,1665,1272,527
ENSG00000135547.9,163,106,124,201,95,93,113,171,557,98,82,127,149,65,117
ENSG00000135549.15,471,170,190,450,429,611,477,387,380,426,209,572,1337,206,241
ENSG00000135569.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000135577.4,1,2,2,4,1,0,3,3,2,0,0,1,2,1,1
ENSG00000135587.9,560,827,432,486,778,454,681,563,880,541,869,326,892,615,756
ENSG00000135596.18,1777,3112,1893,2918,5039,782,2520,1626,2911,4177,5183,2481,7821,1923,4465
ENSG00000135597.19,1161,1352,2068,1299,1383,477,2509,1331,1988,960,1125,874,2741,1356,1450
ENSG00000135604.10,249,278,495,417,303,124,383,245,256,262,100,179,1354,110,493
ENSG00000135605.13,178,234,288,145,250,148,524,229,182,162,138,94,434,300,201
ENSG00000135617.4,786,485,525,609,625,1177,778,987,663,263,193,492,837,529,844
ENSG00000135622.13,776,292,345,425,310,187,1125,790,1165,377,315,360,861,600,387
ENSG00000135624.16,9344,9386,12499,8012,7167,6247,13751,13622,11691,8937,6785,4662,12078,10153,8057
ENSG00000135625.8,63,169,9,32,8,13,58,3,12,48,10,12,17,8,45
ENSG00000135631.17,3280,2929,1636,3248,1940,1202,6091,4080,5963,3745,2424,1664,2645,3745,1847
ENSG00000135632.12,1414,925,1422,1217,1134,714,1790,1709,1620,1636,1495,757,1373,2409,1102
ENSG00000135636.14,1103,1743,1146,2734,840,289,3474,1122,1922,542,344,1024,3907,535,1218
ENSG00000135637.14,315,282,239,186,308,108,439,299,408,343,294,324,697,541,222
ENSG00000135638.14,35,33,0,73,0,23,22,12,1,189,30,7,33,21,0
ENSG00000135643.5,140,158,532,412,202,118,231,129,291,169,76,213,389,495,290
ENSG00000135655.16,1485,2204,3890,2473,2072,1600,3667,2882,3150,2657,2337,1345,6541,1536,1763
ENSG00000135677.11,7721,9431,11210,9036,7494,4114,19974,19128,15929,3753,6323,6306,23420,4839,6555
ENSG00000135678.12,1770,1810,2378,552,3155,978,17950,3762,4404,645,2359,1417,8113,359,2427
ENSG00000135679.25,1238,2049,3235,2571,1445,1278,4123,2810,2556,6487,1837,1070,4496,1219,2007
