,TCGA-2L-AAQI-01A,TCGA-2L-AAQJ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPY-01A,TCGA-FB-AAQ3-01A,TCGA-HZ-7926-01A,TCGA-IB-7644-01A,TCGA-IB-7654-01A,TCGA-IB-AAUO-01A,TCGA-FB-AAQ0-01A,TCGA-H6-A45N-01A,TCGA-HZ-8637-01A,TCGA-LB-A7SX-01A,TCGA-US-A77J-01A
ENSG00000000005.6,0,1,23,2,3,5,6,3,33,0,0,3,49,2,1
ENSG00000000419.13,1364,1357,1396,1511,924,1299,1951,1806,1690,1489,1362,717,3152,1930,1032
ENSG00000000457.14,645,642,581,610,691,384,1791,1438,917,554,823,479,2012,810,462
ENSG00000000460.17,290,199,509,200,138,76,341,308,197,238,183,146,754,317,145
ENSG00000000938.13,409,516,676,764,1477,281,768,551,640,522,111,768,5368,265,1415
ENSG00000000971.16,7831,4683,6074,6797,7064,4084,14512,5116,8280,2934,1468,5104,22679,2821,6682
ENSG00000001036.14,2086,2522,2900,2829,2726,2561,4686,2334,2902,2176,2651,1162,3638,1781,1613
ENSG00000001084.13,1048,1525,2265,1801,1107,1051,4860,2792,2067,615,893,774,4303,1238,1388
ENSG00000001167.14,1468,2028,1065,1446,836,575,2776,1374,1897,1006,1082,777,2207,1236,795
ENSG00000001460.18,485,310,666,442,496,319,639,1096,1325,260,375,442,1028,896,436
ENSG00000001461.17,1422,2073,2116,2207,1471,572,2714,5385,3219,1013,809,1352,5614,2857,1455
ENSG00000001497.18,2222,1717,2268,2284,1898,1173,3101,2334,2545,2379,1890,1110,2655,2432,1760
ENSG00000001561.7,1701,1895,1448,1890,509,687,2548,2282,3908,597,414,889,3698,1241,552
ENSG00000001617.12,1236,1987,1680,1983,1277,718,2141,4587,2810,1925,1310,854,1917,3178,1227
ENSG00000001626.16,36151,6882,17763,3926,11010,8266,14545,9268,27940,5232,1089,15715,10764,17676,9148
ENSG00000001629.10,3187,1768,3712,3485,1621,1287,4971,4551,5983,2692,2058,1399,4971,4007,996
ENSG00000001630.17,424,194,208,141,54,2,275,214,430,64,86,51,139,202,57
ENSG00000001631.16,263,231,253,257,276,211,347,298,267,322,345,133,482,518,221
ENSG00000002016.18,318,173,346,305,421,242,490,367,2301,416,519,246,949,615,260
ENSG00000002079.14,165,57,55,30,27,20,694,20,134,71,47,78,10,26,20
ENSG00000002330.14,460,453,444,724,771,589,462,790,372,641,592,310,489,876,533
ENSG00000002549.12,6106,4627,10690,5955,4350,2764,8995,5468,6405,5351,1835,3167,32389,3873,4866
ENSG00000002586.20,8881,12102,7665,15086,11870,11789,13302,10259,18289,7691,4356,9107,16946,9568,12016
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,3176,6273,2297,5272,1475,1677,17343,2364,1468,1351,2263,1638,2092,983,1576
ENSG00000002726.21,9631,7074,863,2426,7689,3610,5157,37555,4001,2921,5856,1725,1253,9233,1145
ENSG00000002745.13,19,10,14,24,17,7,36,12,6,21,21,7,34,581,24
ENSG00000002746.15,47,26,33,176,87,34,45,538,446,46,95,67,152,87,102
ENSG00000002822.15,9,36,31,17,30,15,49,10,28,20,14,19,59,17,105
ENSG00000002834.18,13674,27095,14373,16221,9655,3918,20575,21426,24967,12128,11461,6847,18453,13562,8034
ENSG00000002919.15,1072,920,1144,1558,1118,1134,1646,1707,2215,1581,751,717,2475,807,1315
ENSG00000002933.9,2838,9187,3763,8259,6104,5230,8239,12229,2167,1579,4532,3511,16186,4479,8899
ENSG00000003056.8,3259,1581,5295,2882,1874,536,5612,6593,7545,1791,1430,1547,8242,1905,1599
ENSG00000003096.14,224,90,146,552,79,84,296,138,218,37,23,134,851,37,74
ENSG00000003137.8,74,159,172,326,79,27,174,153,131,118,29,156,1176,76,242
ENSG00000003147.19,2105,2154,1310,1522,2193,1623,2592,4347,3896,1994,2749,1061,2386,2706,1293
ENSG00000003249.15,894,1138,373,531,1178,644,1235,2472,844,1546,1002,373,562,1889,587
ENSG00000003393.15,1352,1370,1230,1258,1102,673,2420,2644,1975,906,1191,813,3122,1473,655
ENSG00000003400.15,2141,1579,1296,1413,1923,986,1848,3009,1682,1773,2726,987,4603,1768,910
ENSG00000003402.20,6413,7632,6603,9737,5752,2433,16334,5849,8969,8718,5138,4341,21712,6337,5076
ENSG00000003436.16,8336,6082,4313,3456,4243,3172,12792,4371,7270,1961,2830,3357,3419,1977,2806
ENSG00000003509.16,577,445,366,657,682,548,806,511,587,543,561,378,954,714,389
ENSG00000003756.17,2280,1696,1898,2555,4283,2135,3810,2791,2296,3326,4260,2373,5497,3474,3139
ENSG00000003987.14,73,54,61,69,66,30,67,37,140,37,86,109,406,57,79
ENSG00000003989.18,2298,506,1932,677,1069,273,2163,496,3327,373,326,2432,5201,296,1564
ENSG00000004059.11,4736,5098,4586,3324,4779,5575,5688,6235,5403,5414,3691,2544,5296,6234,4261
ENSG00000004139.14,277,173,220,301,243,73,265,319,371,296,311,249,457,522,247
ENSG00000004142.12,4782,4379,4717,5006,4458,3057,6372,5967,6087,5837,3709,2475,7713,7480,3338
ENSG00000004399.13,4332,6129,6178,8724,5045,1325,6003,4205,8497,6453,2179,4853,14231,9502,6959
ENSG00000004455.17,3987,4234,5726,3975,5110,4603,6013,8293,4178,6152,4520,2508,8458,7188,3522
ENSG00000004468.13,68,306,1678,336,218,54,356,100,108,150,12,143,3490,343,802
ENSG00000004478.8,6154,2885,7155,4401,2936,1969,6320,6705,35377,4776,4021,1600,4591,6836,2262
ENSG00000004487.17,3648,2509,5985,2607,3925,2287,5092,8545,5702,2705,3456,2765,5243,5245,2651
ENSG00000004534.15,3248,1994,2374,3877,4774,1730,3771,3739,2347,3385,5167,2381,7061,4791,5603
ENSG00000004660.15,470,402,417,486,657,177,479,339,625,317,357,602,1110,720,823
ENSG00000004700.16,970,656,1372,1468,536,148,1879,1482,2186,548,362,471,2996,537,437
ENSG00000004766.17,1286,754,1082,1159,655,602,1473,1793,1781,967,591,620,2484,1276,578
ENSG00000004776.13,421,346,239,5674,201,200,380,376,264,111,74,217,368,405,996
ENSG00000004777.18,288,217,260,308,414,236,294,438,162,677,388,549,881,859,267
ENSG00000004779.10,1906,2307,3562,2345,1743,2448,2215,2334,2489,2294,1699,721,2782,2619,1770
ENSG00000004799.8,1900,3589,12808,7080,2177,1326,13678,3665,9863,761,523,4045,8336,2493,11414
ENSG00000004809.14,3,5,7,21,6,4,8,0,5,3,2,6,22,4,11
ENSG00000004838.14,49,14,35,25,38,83,111,32,26,28,61,40,39,59,50
ENSG00000004846.16,28,4,6,78,18,8,20,16,19,8,1,8,38,28,15
ENSG00000004848.8,314,9,156,34,145,15,10,17,128,57,84,110,343,29,83
ENSG00000004864.14,2332,1166,1647,1605,1292,654,2643,2925,2421,1131,1439,802,2551,2733,758
ENSG00000004866.22,1026,924,864,1102,1131,757,1841,1428,1718,1243,993,548,1499,1329,861
ENSG00000004897.12,2282,1564,3694,3125,1706,1423,4807,3864,4520,2452,2030,1359,5394,1750,1656
ENSG00000004939.15,2,2,9,0,2,0,8,2,0,2,3,7,2,3,14
ENSG00000004948.16,5,2,10,2,5,1,32,6,8,5,0,9,93,21,3
ENSG00000004961.15,997,1125,1714,1372,895,1033,1979,2326,1539,1170,948,509,1816,1500,637
ENSG00000004975.12,1105,1117,1194,1390,1425,748,1465,1348,1917,1072,993,1271,2931,1490,1198
ENSG00000005001.10,3176,3962,2530,2773,4155,1894,4106,1550,2750,2566,3270,1820,1216,3481,759
ENSG00000005007.13,9289,7537,7162,5914,6060,1651,11348,14789,12953,6739,5769,4667,12276,6259,4527
ENSG00000005020.13,4677,2756,3775,2893,1954,2007,5477,5772,8113,1488,2958,2044,7985,3246,1687
ENSG00000005022.6,10802,12504,21448,10742,7640,8078,17610,23502,13266,8465,8758,4294,22601,9523,7727
ENSG00000005059.16,705,922,810,1006,985,1237,1618,1136,1205,1632,898,575,1788,1058,1555
ENSG00000005073.6,297,21,92,0,36,28,1,77,41,107,231,47,34,101,0
ENSG00000005075.15,1301,1693,1427,1808,2157,2057,1873,2285,1693,2063,1497,777,1943,2328,1438
ENSG00000005100.13,821,744,1061,1067,665,347,1670,1248,1016,705,642,742,2058,984,507
ENSG00000005102.14,755,208,384,508,436,90,462,119,274,76,17,289,690,170,460
ENSG00000005108.16,437,321,422,915,415,156,1816,269,900,291,45,342,588,154,261
ENSG00000005156.12,1295,933,1294,1344,860,465,1861,2094,2018,923,1381,617,1889,2080,621
ENSG00000005175.10,1461,1069,2210,1206,902,1086,2445,2154,1078,926,892,696,2853,870,971
ENSG00000005187.12,2037,151,1594,247,842,593,929,1047,1550,420,485,650,611,621,481
ENSG00000005189.20,138,68,204,253,133,117,133,156,74,161,87,75,361,309,176
ENSG00000005194.15,1729,1876,2358,1750,1933,1349,2986,3051,2932,2418,1643,967,2788,2463,1657
ENSG00000005206.17,2530,2420,1435,2661,2956,1672,2717,2819,2269,5145,3906,2203,2845,3426,3376
ENSG00000005238.20,1206,2195,1187,3573,1967,757,5361,1859,3922,2376,8605,1256,1878,1020,1493
ENSG00000005243.10,742,529,424,1474,806,1290,900,769,1301,714,284,664,861,386,1430
ENSG00000005249.13,625,223,715,1222,381,385,553,613,1046,294,76,555,1556,687,448
ENSG00000005302.19,1035,1014,1146,1548,1429,1171,1918,1519,1685,1370,874,880,3877,1632,1562
ENSG00000005339.15,5221,3595,6187,4914,3130,1379,9232,8751,15941,3127,2961,2828,7426,6267,3276
ENSG00000005379.17,590,238,425,721,854,173,623,295,345,683,369,1160,1764,1452,758
ENSG00000005381.8,12,5,21,36,16,8,30,5,13,10,3,16,97,17,38
ENSG00000005421.9,7,14,7,16,34,9,239,1,8,18,2,46,12,150,47
ENSG00000005436.14,498,399,678,463,428,428,789,963,982,493,417,366,1223,544,433
ENSG00000005448.17,501,357,503,410,559,530,1136,805,466,753,811,358,592,696,601
ENSG00000005469.12,1014,719,894,822,608,600,2617,1171,1084,408,369,542,1613,946,562
ENSG00000005471.19,805,65,79,194,97,64,320,164,130,47,115,98,241,114,318
ENSG00000005483.21,3574,3748,3237,4203,2687,1831,6872,8598,8263,3744,4432,1955,8442,4086,1715
ENSG00000005486.17,4340,6139,6041,5867,5755,4395,7740,6725,6289,5629,4016,3965,4672,4998,5010
ENSG00000005513.10,177,981,177,176,1313,76,262,131,461,99,11,128,1832,126,627
ENSG00000005700.15,2885,2757,4244,2842,1874,1275,8038,6297,6667,1439,4363,1665,6507,1979,1560
ENSG00000005801.18,822,1258,909,652,931,1114,1499,1700,1459,1003,1251,720,1875,1462,715
ENSG00000005810.18,3219,1627,3685,2564,1828,524,4665,4086,5495,1910,1217,1832,8529,2732,2704
ENSG00000005812.11,2047,1765,1533,1642,1056,1851,3422,3361,3212,1206,1184,1235,3195,2098,1394
ENSG00000005844.19,376,697,1275,565,1179,177,1335,959,605,536,110,915,6044,631,2919
ENSG00000005882.12,639,435,769,863,622,307,739,2019,1458,360,507,563,712,566,590
ENSG00000005884.18,33141,10742,41718,28197,24976,15614,53548,26949,19105,52388,29395,11595,5535,10379,7793
ENSG00000005889.16,1019,1383,1355,1149,717,700,2163,2865,2033,1045,646,1082,3324,1977,1042
ENSG00000005893.16,11758,6478,9036,8782,6154,7015,31398,14589,15398,5423,4264,5759,29731,7960,5770
ENSG00000005961.19,28,10,8,25,22,12,29,33,18,29,28,21,40,16,25
ENSG00000005981.13,17,9,42,6,26,9,31,1,29,6,10,23,78,60,21
ENSG00000006007.12,3729,2731,4398,3898,2200,1278,4861,4431,4275,2830,1400,1409,5092,2650,1559
ENSG00000006015.18,1454,2203,1098,1576,1774,1071,806,851,412,2042,770,840,1821,1976,1784
ENSG00000006016.11,310,127,232,305,45,22,246,67,134,79,48,101,115,166,197
ENSG00000006025.12,1560,1315,671,1367,5056,1828,1513,5897,2095,2919,4735,2503,1784,1766,1245
ENSG00000006042.12,3962,3622,1988,3121,4101,5408,7022,10855,5573,1297,2335,2748,1950,4493,2897
ENSG00000006047.13,29,9,8,284,15,3,82,27,68,19,46,25,17,511,21
ENSG00000006059.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
ENSG00000006062.17,890,1116,982,1175,1027,250,1414,845,788,1112,527,754,4203,633,1374
ENSG00000006071.15,3450,54,2323,124,2644,165,90,61,3925,683,95,8356,11790,574,3949
ENSG00000006116.4,1,0,1,2,1,1,0,0,0,0,0,3,2,0,0
ENSG00000006118.15,1735,2598,3042,2448,2408,706,2565,2904,1369,4010,1234,1526,1610,2764,2349
ENSG00000006125.18,15324,15540,11646,17145,11846,8250,34985,23057,21338,12527,12141,6845,16383,16078,7666
ENSG00000006128.12,42,6,1,580,40,7,842,16,13,18,3,18,10,14,135
ENSG00000006194.10,1324,1421,1701,1495,1514,1093,2323,2220,4184,1843,1700,725,2066,2155,1270
ENSG00000006210.7,3260,3986,6383,2834,3426,2831,6192,3737,4251,26399,851,2594,6583,5711,3090
ENSG00000006282.21,3031,3527,2287,3809,2701,4007,4395,3321,4467,9803,3037,2026,5330,3164,2296
ENSG00000006283.18,12,25,21,28,13,10,52,12,72,151,3,56,91,4,61
ENSG00000006327.14,4657,7462,11547,10275,4864,6559,16714,4271,8503,16310,4852,1339,2651,3044,3815
ENSG00000006377.11,25,2,53,2,14,0,0,1,7,14,1,9,58,93,0
ENSG00000006432.15,427,520,769,270,436,175,1249,427,739,689,725,363,1507,707,366
ENSG00000006451.8,3319,4850,3937,4126,3354,3946,8718,6735,10069,3581,3915,1955,6418,3019,1922
ENSG00000006453.14,3933,6084,4535,4288,4124,3115,15733,6888,5039,5137,9234,2256,3163,3033,2017
ENSG00000006459.11,1642,1625,1197,1145,1326,606,3449,4696,1885,1885,3262,1034,3616,2751,745
ENSG00000006468.14,1231,841,1346,883,823,1322,2286,2896,1989,536,675,1080,2212,407,574
ENSG00000006530.18,829,817,1202,840,1030,626,1415,1330,1045,1318,1196,675,1904,1696,804
ENSG00000006534.16,5664,8085,3569,7222,4957,3311,5924,7444,5801,5737,5819,1799,4231,3744,2295
ENSG00000006555.11,1788,1959,1347,520,1696,979,2054,5435,2211,1864,2016,1001,1550,2385,493
ENSG00000006576.16,986,812,1389,1938,785,1054,1773,1297,1784,1011,678,835,4299,807,1014
ENSG00000006606.9,24,161,37,114,35,71,48,108,33,18,58,8,37,17,52
ENSG00000006607.14,2925,2874,2767,2329,1776,748,4232,5748,3512,1802,2090,1599,6328,3784,927
ENSG00000006611.17,5984,9080,2413,2881,5591,3650,9975,9321,9684,5313,7529,2640,2342,5328,2373
ENSG00000006625.18,777,874,1390,935,804,1315,959,1244,588,975,596,309,1341,1689,662
ENSG00000006634.8,315,280,711,442,256,370,587,737,387,414,394,173,1053,568,420
ENSG00000006638.13,119,196,102,263,104,96,101,141,158,152,70,124,179,65,366
ENSG00000006652.15,304,395,411,468,524,677,526,284,391,683,766,254,602,747,382
ENSG00000006659.13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ENSG00000006695.12,503,442,599,709,405,232,1140,880,808,369,317,279,1106,645,562
ENSG00000006704.11,2085,1723,2645,2176,2092,1389,2812,2386,3510,2506,2749,1179,1725,4133,752
ENSG00000006712.15,3458,2984,4121,9297,3883,1766,4982,4165,3798,3604,2258,1853,4455,3684,3364
ENSG00000006715.16,4048,2860,3746,3807,2481,1639,6872,5795,5183,2490,2517,2419,5836,3704,2601
ENSG00000006740.17,529,393,304,597,481,159,2316,933,561,805,237,372,783,797,414
ENSG00000006744.19,2650,2088,2742,3012,2070,1106,4325,2946,3132,2162,1292,1455,4317,2456,2632
ENSG00000006747.15,581,584,437,482,800,391,1665,3951,1987,305,1805,817,496,680,556
ENSG00000006756.16,4915,3608,2707,2292,2508,3076,4754,7412,5249,2626,1593,2339,3941,7428,2136
ENSG00000006757.12,477,546,627,526,443,1094,621,1451,935,551,297,427,1934,2081,574
ENSG00000006788.14,3,3,2,1,17,5,10,8,6,9,4,14,14,8,8
ENSG00000006831.10,5301,3330,6597,4310,3469,2253,6344,6745,83720,3732,4713,2101,5478,5174,2646
ENSG00000006837.12,17,5,7,30,31,23,19,16,14,27,45,26,33,38,17
ENSG00000007001.13,4,5,6,3,11,7,6,6,4,8,4,10,7,23,6
ENSG00000007038.11,1114,402,446,66,1910,9,1370,479,548,41,982,85,246,4503,140
ENSG00000007047.15,1968,1946,2285,2033,1908,687,2528,2905,2439,1751,1358,1048,2333,2812,1285
ENSG00000007062.12,9686,13140,2906,2102,5147,4164,5576,13937,2653,5333,1412,2470,12933,6925,1863
ENSG00000007080.11,2593,3294,2062,2904,2724,1583,2860,3678,2784,3123,2007,1388,2739,2122,2647
ENSG00000007129.18,41,71,71,115,102,76,49,60,98,41,12,100,502,31,264
ENSG00000007168.14,4256,4008,5257,6590,3448,1962,10534,6543,9757,3537,3281,3987,11142,3874,4425
ENSG00000007171.18,17,121,15,77,24,53,19,87,82,17,16,39,423,138,34
ENSG00000007174.18,151,15,70,31,37,18,49,26,91,52,2,65,50,18,80
ENSG00000007202.15,4042,4155,5025,5287,3179,1206,6757,5599,8880,3670,3772,2715,10000,7555,3797
ENSG00000007216.15,257,43,6,97,132,106,2809,505,109,56,32,58,82,64,133
ENSG00000007237.19,1753,1606,1889,3981,2187,463,4416,3215,6341,846,876,2214,7009,1190,3666
ENSG00000007255.10,1298,1204,855,678,1943,1611,1334,2209,1070,924,777,489,1587,2887,1006
ENSG00000007264.15,74,222,171,127,271,39,299,129,85,122,36,347,483,68,774
ENSG00000007306.15,14647,2307,2103,268,1981,1068,2829,1610,492,413,166,1999,4145,10789,4936
ENSG00000007312.13,55,444,303,44,497,85,697,65,138,34,20,150,792,131,3400
ENSG00000007314.12,23,22,25,6,31,0,35,17,58,11,6,25,35,14,61
ENSG00000007341.19,331,338,341,372,427,265,560,577,660,517,347,281,807,618,268
ENSG00000007350.17,3,5,3,12,7,3,11,11,5,2,1,11,7,520,3
ENSG00000007372.24,395,102,333,108,233,8,71,22,455,705,108,706,1607,86,156
ENSG00000007376.8,934,962,1637,1071,1128,555,1016,1699,1712,1263,827,531,1560,2719,1003
ENSG00000007384.15,2537,4368,1887,2639,3043,1794,3663,2569,6893,6112,5318,1611,2557,5200,1557
ENSG00000007392.17,1797,1633,1028,1925,2935,1653,2193,926,1469,3503,3137,1469,2538,3343,2310
ENSG00000007402.12,472,53,503,144,376,83,109,215,536,208,117,739,1347,364,467
ENSG00000007516.14,1327,263,1300,167,885,225,140,353,1363,343,837,1383,2757,483,1409
ENSG00000007520.4,1589,1864,1993,1945,1534,832,1761,1841,3116,1766,1310,814,1460,1974,1642
ENSG00000007541.17,2294,1790,2020,2574,2425,1484,2806,2626,3286,3482,1807,1528,1770,2923,2091
ENSG00000007545.16,448,667,616,642,672,249,836,521,725,822,863,403,915,1011,756
ENSG00000007866.22,1890,2620,1939,5307,1941,1364,3262,4181,4017,2588,2632,1697,2651,2527,1266
ENSG00000007908.16,133,255,411,233,202,61,864,119,212,126,14,104,834,1346,107
ENSG00000007923.16,964,819,1669,1108,825,176,1542,2824,2123,682,717,721,2159,1624,663
ENSG00000007933.13,402,130,317,165,166,283,63,317,384,67,177,169,515,786,160
ENSG00000007944.15,984,903,981,1964,852,673,1773,2502,2018,700,480,641,1906,950,776
ENSG00000007952.18,32,139,24,70,122,277,146,60,51,38,39,244,2568,190,33
ENSG00000007968.7,98,175,245,127,113,62,161,352,169,155,79,76,594,455,305
ENSG00000008018.9,4763,8269,8552,5992,6296,7652,8580,4872,7084,6490,5724,2518,9557,5784,6131
ENSG00000008056.14,152,190,76,184,165,71,140,194,165,249,522,132,247,102,174
ENSG00000008083.14,955,843,1215,908,971,254,1266,2241,1673,585,684,820,2809,913,1158
ENSG00000008086.13,1083,1116,981,802,674,306,1784,2753,2428,514,507,775,1774,933,379
ENSG00000008118.10,46,46,52,61,77,27,87,35,99,12,29,61,218,54,77
ENSG00000008128.23,48,88,37,50,37,41,75,114,55,126,94,21,117,151,54
ENSG00000008130.15,2188,3120,3597,3085,3213,1187,3873,6498,6939,3697,2115,2412,7290,3655,2595
ENSG00000008196.13,0,0,0,0,0,0,0,0,0,6,0,0,110,87,15
ENSG00000008197.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000008226.20,35,42,30,80,70,49,110,38,38,119,79,71,93,155,66
ENSG00000008256.16,2219,2006,1643,2903,1909,1125,2431,3316,5949,1554,1299,2246,2321,1768,1751
ENSG00000008277.14,386,288,519,463,735,301,770,1227,4525,218,371,860,1454,163,460
ENSG00000008282.9,10422,8039,11646,6666,3170,6975,14036,14563,14971,4363,4818,3111,10539,7904,3700
ENSG00000008283.16,8764,9492,6955,5684,5737,2211,7623,6234,10930,9104,2687,2560,5557,9465,2946
ENSG00000008294.21,4150,2594,5747,5383,2714,2048,14302,6056,8325,3071,4343,2445,7469,2732,2439
ENSG00000008300.17,864,508,272,187,1005,334,642,122,1337,319,516,381,1036,698,269
ENSG00000008311.15,465,468,378,763,607,283,914,790,707,601,880,458,1006,620,544
ENSG00000008323.15,1637,1159,2983,1391,1056,1070,1895,3911,3640,843,2905,789,2297,862,1123
ENSG00000008324.12,500,474,500,510,943,1355,793,1159,534,953,647,305,1079,657,789
ENSG00000008382.16,633,659,462,585,559,362,535,987,682,658,459,266,935,559,490
ENSG00000008394.13,6419,2182,4626,1951,3332,3342,10059,1036,3029,4171,1952,820,5428,2285,2787
ENSG00000008405.12,746,948,1032,1479,615,846,5743,1085,2313,755,741,618,1696,760,749
ENSG00000008438.5,2,5,1,5,2,2,1,0,1,4,0,1,19,4,4
ENSG00000008441.18,4470,3385,2952,8373,3217,1037,6314,10284,10565,4080,2918,2776,4347,3877,2616
ENSG00000008513.16,5420,11910,9020,4851,2948,1081,23111,4666,9350,4137,4574,3418,6886,4528,4092
ENSG00000008516.17,44,47,181,130,110,21,108,69,24,137,44,62,651,107,210
ENSG00000008517.18,7239,13564,13384,7963,6958,8713,6420,9321,17290,12366,5912,2088,11076,4008,5610
ENSG00000008710.20,1452,1354,1811,5284,1438,217,1991,2572,3840,1939,1976,2108,4193,4453,1689
ENSG00000008735.14,382,29,339,192,401,49,225,87,493,311,60,458,703,1554,421
ENSG00000008838.20,3090,4693,3428,3253,3513,1412,4106,6333,4381,4129,3319,2195,5435,4833,2818
ENSG00000008853.17,693,926,1102,1375,1427,368,1049,1238,1858,764,575,687,1239,1678,1640
ENSG00000008869.12,1789,1375,1591,1116,1223,505,3705,3783,2787,1311,986,1177,4033,2050,1008
ENSG00000008952.17,6655,5633,12190,7011,3856,4960,14338,13070,12243,7527,3264,4283,10158,6057,3840
ENSG00000008988.11,32838,33181,49209,26787,41312,49553,38871,41155,35630,52300,30499,15330,44699,30843,52816
ENSG00000009307.16,18520,19441,27449,28973,18107,11065,38394,41734,44937,18125,13130,12527,55021,23711,16359
ENSG00000009335.18,5648,3803,8170,4634,2692,1229,9109,7670,8755,3370,2828,2615,7722,5812,2967
ENSG00000009413.16,868,617,1218,1534,687,219,1827,1303,2500,527,387,626,3506,738,634
ENSG00000009694.13,50,12,313,29,37,2,47,7,23,42,6,39,290,1376,26
ENSG00000009709.12,0,0,532,0,1,0,249,0,0,0,1,2,1,4257,5
ENSG00000009724.17,20,16,21,53,49,14,46,59,36,38,30,46,142,41,27
ENSG00000009765.15,1164,2661,133,410,1071,567,6764,2644,7274,119,366,354,803,1760,148
ENSG00000009780.16,641,684,551,580,593,824,661,1516,917,466,465,425,1306,1028,550
ENSG00000009790.15,163,217,357,184,481,76,583,213,245,160,38,312,2447,170,1215
ENSG00000009830.12,954,787,1014,981,1048,398,1163,887,2265,976,629,866,1802,839,885
ENSG00000009844.16,1657,1983,2351,1713,1055,1092,3583,2571,3432,1234,1217,1049,3990,1515,1306
ENSG00000009950.16,797,423,456,159,1430,582,1710,481,510,442,2495,2114,2686,2648,1602
ENSG00000009954.11,5710,3451,7815,5475,3424,1575,9751,9422,10535,3751,3136,2544,10034,6373,3022
ENSG00000010017.13,1190,1640,1503,2882,1043,1105,2197,2787,1960,930,1225,885,2973,1270,1063
ENSG00000010030.14,804,457,1199,801,874,769,402,1166,577,1238,609,184,1484,273,258
ENSG00000010072.16,438,393,465,530,260,367,777,965,861,345,415,250,1285,453,259
ENSG00000010165.20,2137,1545,1750,1971,1228,630,2940,3692,3237,1233,1147,1096,3901,2564,1680
ENSG00000010219.13,607,332,631,789,868,1043,662,662,2434,733,556,314,906,358,705
ENSG00000010244.19,5189,5163,5382,5404,4695,4450,9560,6047,8067,7947,8011,3269,9533,6640,3550
ENSG00000010256.11,6915,5712,7066,7223,7959,8488,9151,10145,5993,6663,6424,3722,7626,6645,5923
ENSG00000010270.14,1472,1108,1607,2012,888,1422,2211,2042,2029,952,861,854,3420,1173,1150
ENSG00000010278.15,9939,9088,18747,13173,8398,11547,22850,24950,21181,13594,11510,6056,12950,14616,6674
ENSG00000010282.15,13,4,4,0,7,3,0,0,12,7,1,61,51,1,31
ENSG00000010292.13,3011,1551,6299,3679,2106,856,4057,5714,6086,3589,2553,1577,7184,3077,2499
ENSG00000010295.20,451,688,612,1033,1175,436,635,600,929,982,492,915,3170,394,1208
ENSG00000010310.9,674,359,243,208,1575,505,372,337,406,523,2110,1032,927,275,388
ENSG00000010318.21,114,93,109,197,215,124,195,152,137,96,151,121,288,146,188
ENSG00000010319.7,431,1023,459,1228,706,115,983,815,1079,365,49,535,996,339,875
ENSG00000010322.16,4716,2783,3527,4158,5211,1604,4723,4866,6889,3545,5155,6274,10176,4955,6099
ENSG00000010327.10,2520,1857,4306,4950,3258,591,4012,3458,2592,5001,1044,3911,13205,2079,5046
ENSG00000010361.14,675,393,672,502,684,516,674,1016,647,935,532,359,797,1334,569
ENSG00000010379.16,4,1,15,1,5,1,3,3,4,14,6,4,15,36,6
ENSG00000010404.18,335,298,473,517,223,74,682,560,856,134,201,383,1148,349,198
ENSG00000010438.17,2428,3263,2712,1181,1175,2321,9219,1833,30687,922,2572,912,608,1767,408
ENSG00000010539.12,481,241,477,370,306,222,596,484,839,397,272,169,707,236,286
ENSG00000010610.10,2107,1993,3854,1624,3696,738,3049,3856,2450,2331,359,2720,19675,934,5899
ENSG00000010626.15,591,214,218,292,386,614,506,416,592,393,544,189,540,440,381
ENSG00000010671.16,207,419,673,397,779,211,891,424,469,348,45,373,2682,190,1947
ENSG00000010704.18,1280,505,903,647,556,662,1381,1469,1741,695,525,576,1482,622,412
ENSG00000010803.16,1351,1147,1557,2617,2183,824,2749,2747,5613,2753,1353,1212,2720,2391,1638
ENSG00000010810.17,1421,1949,1706,3070,2437,909,3446,2388,3661,1223,1854,1450,5531,925,4262
ENSG00000010818.10,2440,1518,2900,3962,1837,521,8572,3036,4195,1568,1231,1314,3632,1485,1494
ENSG00000010932.17,172,118,152,146,226,120,366,246,378,318,66,359,700,78,234
ENSG00000011007.12,1830,1939,2994,1963,2108,1063,3895,4239,3789,1573,1714,1281,3826,2405,1781
ENSG00000011009.11,2809,4779,4886,3106,5165,2752,5638,7914,5836,3755,3915,2578,3785,5194,3255
ENSG00000011021.23,674,642,699,922,1179,381,1161,1198,1481,716,1117,854,1877,988,892
ENSG00000011028.14,4577,3900,5622,15391,4749,1987,7443,11751,12438,10949,3821,6557,10312,4261,8855
ENSG00000011052.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011083.9,11,13,3,4,47,4,34,9,4,43,22,74,112,37,9
ENSG00000011105.14,3630,2416,2758,5490,3343,1390,5541,4869,17912,2795,1819,3352,4143,5196,3688
ENSG00000011114.15,1785,1807,2335,1739,1275,785,4381,3278,3995,1592,1373,1102,3825,1518,931
