,SampleType,Gene,Expression,LogExpression
0,Tumor,MAGEA1,0.0,0.0
1,Tumor,MAGEA1,0.0,0.0
2,Tumor,MAGEA1,0.0,0.0
3,Tumor,MAGEA1,0.0,0.0
4,Tumor,MAGEA1,0.0,0.0
5,Tumor,MAGEA1,0.7828,0.25110262541413875
6,Tumor,MAGEA1,0.0,0.0
7,Tumor,MAGEA1,0.0,0.0
8,Tumor,MAGEA1,0.0,0.0
9,Tumor,MAGEA1,0.1113,0.04583131434775454
10,Tumor,MAGEA1,0.0,0.0
11,Tumor,MAGEA1,0.0,0.0
12,Tumor,MAGEA1,0.0,0.0
13,Tumor,MAGEA1,0.0,0.0
14,Tumor,MAGEA1,0.0,0.0
15,Tumor,MAGEA1,0.0,0.0
16,Tumor,MAGEA1,0.0,0.0
17,Tumor,MAGEA1,0.0,0.0
18,Tumor,MAGEA1,0.0,0.0
19,Tumor,MAGEA1,0.0,0.0
20,Tumor,MAGEA1,0.092,0.03822263836871846
21,Tumor,MAGEA1,0.0,0.0
22,Tumor,MAGEA1,0.0,0.0
23,Tumor,MAGEA1,0.0,0.0
24,Tumor,MAGEA1,0.026,0.011147360775797479
25,Tumor,MAGEA1,0.0,0.0
26,Tumor,MAGEA1,0.0,0.0
27,Tumor,MAGEA1,0.0,0.0
28,Tumor,MAGEA1,0.0,0.0
29,Tumor,MAGEA1,0.4626,0.16512556908822873
30,Tumor,MAGEA1,0.0368,0.015694988526518093
31,Tumor,MAGEA1,0.0264,0.01131664336687208
32,Tumor,MAGEA1,0.0,0.0
33,Tumor,MAGEA1,0.0,0.0
34,Tumor,MAGEA1,0.2365,0.09219412069731607
35,Tumor,MAGEA1,0.0,0.0
36,Tumor,MAGEA1,0.0497,0.021065197202568914
37,Tumor,MAGEA1,0.0,0.0
38,Tumor,MAGEA1,0.0,0.0
39,Tumor,MAGEA1,0.0,0.0
40,Tumor,MAGEA1,0.0,0.0
41,Tumor,MAGEA1,0.0384,0.016364679456294006
42,Tumor,MAGEA1,0.0,0.0
43,Tumor,MAGEA1,0.0,0.0
44,Tumor,MAGEA1,0.1007,0.041668966475610345
45,Tumor,MAGEA1,0.0,0.0
46,Tumor,MAGEA1,0.0416,0.017700971224116763
47,Tumor,MAGEA1,0.0,0.0
48,Tumor,MAGEA1,0.0633,0.026655813877043136
49,Tumor,MAGEA1,0.0,0.0
50,Tumor,MAGEA1,0.0,0.0
51,Tumor,MAGEA1,0.0,0.0
52,Tumor,MAGEA1,0.0453,0.019240950395850963
53,Tumor,MAGEA1,0.0,0.0
54,Tumor,MAGEA1,0.0,0.0
55,Tumor,MAGEA1,0.0,0.0
