gene,ChildN,ChildP,Elderly-80N,Elderly-80P,Elderly-90N,Elderly-90P,Senior-40N,Senior-40P,Senior-60N,Senior-60P,Senior-70N,Senior-70P,YoungN,YoungP
MAGEA1,0,0,3.95480225988701,2.82485875706215,0,0,18.0790960451977,2.82485875706215,37.8531073446328,9.03954802259887,19.774011299435,2.25988700564972,1.69491525423729,1.69491525423729
MAGEA2,0,0,6.77966101694915,0.0,0,0,20.9039548022599,0.0,45.1977401129944,1.69491525423729,21.4689265536723,0.564971751412429,3.38983050847458,0.0
MAGEA2B,0,0,6.77966101694915,0.0,0,0,20.9039548022599,0.0,45.7627118644068,1.12994350282486,22.0338983050847,0.0,3.38983050847458,0.0
MAGEA3,0,0,5.64971751412429,1.12994350282486,0,0,18.0790960451977,2.82485875706215,42.9378531073446,3.95480225988701,19.2090395480226,2.82485875706215,3.38983050847458,0.0
MAGEA4,0,0,4.51977401129944,2.25988700564972,0,0,18.0790960451977,2.82485875706215,38.9830508474576,7.90960451977401,19.774011299435,2.25988700564972,3.38983050847458,0.0
MAGEA5,0,0,2.25988700564972,4.51977401129944,0,0,6.21468926553672,14.6892655367232,14.6892655367232,32.2033898305085,7.90960451977401,14.1242937853107,0.564971751412429,2.82485875706215
MAGEA6,0,0,6.21468926553672,0.564971751412429,0,0,19.2090395480226,1.69491525423729,38.9830508474576,7.90960451977401,19.774011299435,2.25988700564972,2.82485875706215,0.564971751412429
MAGEA7P,0,0,6.21468926553672,0.564971751412429,0,0,18.6440677966102,2.25988700564972,41.8079096045198,5.08474576271187,20.3389830508475,1.69491525423729,2.82485875706215,0.564971751412429
MAGEA8,0,0,2.25988700564972,4.51977401129944,0,0,1.69491525423729,19.2090395480226,6.21468926553672,40.6779661016949,1.12994350282486,20.9039548022599,0.0,3.38983050847458
MAGEA9,0,0,6.21468926553672,0.564971751412429,0,0,20.3389830508475,0.564971751412429,44.6327683615819,2.25988700564972,20.3389830508475,1.69491525423729,3.38983050847458,0.0
MAGEA9B,0,0,6.77966101694915,0.0,0,0,19.774011299435,1.12994350282486,44.6327683615819,2.25988700564972,19.774011299435,2.25988700564972,2.25988700564972,1.12994350282486
MAGEA10,0,0,3.38983050847458,3.38983050847458,0,0,6.21468926553672,14.6892655367232,18.6440677966102,28.2485875706215,7.34463276836158,14.6892655367232,0.564971751412429,2.82485875706215
MAGEA11,0,0,5.08474576271187,1.69491525423729,0,0,15.819209039548,5.08474576271187,40.6779661016949,6.21468926553672,18.0790960451977,3.95480225988701,2.82485875706215,0.564971751412429
MAGEA12,0,0,5.64971751412429,1.12994350282486,0,0,14.6892655367232,6.21468926553672,29.9435028248588,16.9491525423729,14.6892655367232,7.34463276836158,2.25988700564972,1.12994350282486
MAGEB1,0,0,6.77966101694915,0.0,0,0,20.3389830508475,0.564971751412429,44.0677966101695,2.82485875706215,22.0338983050847,0.0,3.38983050847458,0.0
MAGEB2,0,0,6.77966101694915,0.0,0,0,17.5141242937853,3.38983050847458,36.7231638418079,10.1694915254237,18.0790960451977,3.95480225988701,3.38983050847458,0.0
MAGEB3,0,0,6.77966101694915,0.0,0,0,20.9039548022599,0.0,46.3276836158192,0.564971751412429,21.4689265536723,0.564971751412429,3.38983050847458,0.0
MAGEB4,0,0,4.51977401129944,2.25988700564972,0,0,18.0790960451977,2.82485875706215,45.7627118644068,1.12994350282486,22.0338983050847,0.0,2.82485875706215,0.564971751412429
MAGEB5,0,0,4.51977401129944,2.25988700564972,0,0,16.9491525423729,3.95480225988701,40.1129943502825,6.77966101694915,16.9491525423729,5.08474576271187,2.82485875706215,0.564971751412429
MAGEB6,0,0,6.21468926553672,0.564971751412429,0,0,20.3389830508475,0.564971751412429,45.7627118644068,1.12994350282486,20.9039548022599,1.12994350282486,3.38983050847458,0.0
MAGEB10,0,0,6.21468926553672,0.564971751412429,0,0,18.0790960451977,2.82485875706215,42.9378531073446,3.95480225988701,18.6440677966102,3.38983050847458,3.38983050847458,0.0
MAGEB16,0,0,6.21468926553672,0.564971751412429,0,0,19.2090395480226,1.69491525423729,44.0677966101695,2.82485875706215,20.9039548022599,1.12994350282486,3.38983050847458,0.0
MAGEB17,0,0,1.69491525423729,5.08474576271187,0,0,6.77966101694915,14.1242937853107,19.2090395480226,27.683615819209,6.77966101694915,15.2542372881356,1.69491525423729,1.69491525423729
MAGEB18,0,0,6.77966101694915,0.0,0,0,19.774011299435,1.12994350282486,43.5028248587571,3.38983050847458,20.9039548022599,1.12994350282486,3.38983050847458,0.0
MAGEC1,0,0,5.08474576271187,1.69491525423729,0,0,18.0790960451977,2.82485875706215,40.6779661016949,6.21468926553672,20.9039548022599,1.12994350282486,3.38983050847458,0.0
MAGEC2,0,0,5.08474576271187,1.69491525423729,0,0,16.9491525423729,3.95480225988701,38.4180790960452,8.47457627118644,20.3389830508475,1.69491525423729,3.38983050847458,0.0
MAGEC3,0,0,0.564971751412429,6.21468926553672,0,0,6.21468926553672,14.6892655367232,13.5593220338983,33.3333333333333,6.77966101694915,15.2542372881356,1.69491525423729,1.69491525423729
CSAG1,0,0,2.25988700564972,4.51977401129944,0,0,9.6045197740113,11.2994350282486,14.1242937853107,32.7683615819209,4.51977401129944,17.5141242937853,0.564971751412429,2.82485875706215
CSAG2,0,0,6.77966101694915,0.0,0,0,19.2090395480226,1.69491525423729,38.9830508474576,7.90960451977401,18.6440677966102,3.38983050847458,3.38983050847458,0.0
CSAG3,0,0,4.51977401129944,2.25988700564972,0,0,11.864406779661,9.03954802259887,29.3785310734463,17.5141242937853,15.819209039548,6.21468926553672,3.38983050847458,0.0
CSAG4,0,0,5.64971751412429,1.12994350282486,0,0,20.9039548022599,0.0,45.1977401129944,1.69491525423729,21.4689265536723,0.564971751412429,3.38983050847458,0.0
MAGED1,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
MAGED2,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
TRO,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
MAGED4,0,0,3.38983050847458,3.38983050847458,0,0,12.9943502824859,7.90960451977401,16.9491525423729,29.9435028248588,11.2994350282486,10.7344632768362,0.0,3.38983050847458
MAGED4B,0,0,3.38983050847458,3.38983050847458,0,0,5.64971751412429,15.2542372881356,11.2994350282486,35.5932203389831,4.51977401129944,17.5141242937853,0.564971751412429,2.82485875706215
MAGEE1,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
MAGEE2,0,0,0.0,6.77966101694915,0,0,1.12994350282486,19.774011299435,1.12994350282486,45.7627118644068,0.564971751412429,21.4689265536723,0.0,3.38983050847458
MAGEF1,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
NSMCE3,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
MAGEH1,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
MAGEL2,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
TRIM28,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
NDN,0,0,0.0,6.77966101694915,0,0,0.0,20.9039548022599,0.0,46.8926553672316,0.0,22.0338983050847,0.0,3.38983050847458
