,SampleType,Gene,Expression,LogExpression
104,Tumor,MAGED1,60.5416,1.7891687831389032
105,Tumor,MAGED1,67.516,1.8357920006940085
106,Tumor,MAGED1,39.7978,1.6106367446187835
107,Tumor,MAGED1,27.3505,1.452560722676054
108,Tumor,MAGED1,43.2535,1.6459476246513725
109,Tumor,MAGED1,70.237,1.8527056217558402
110,Tumor,MAGED1,52.8839,1.7314590214827041
111,Tumor,MAGED1,77.0003,1.89209627305066
112,Tumor,MAGED1,35.2878,1.5597606392718626
113,Tumor,MAGED1,64.3598,1.8153107145918428
114,Tumor,MAGED1,64.2192,1.8143754673047068
115,Tumor,MAGED1,76.6157,1.8899495786513405
116,Tumor,MAGED1,61.0665,1.792857255719794
117,Tumor,MAGED1,75.3494,1.8828056284557926
118,Tumor,MAGED1,54.6718,1.7456352632941794
119,Tumor,MAGED1,81.4737,1.9163154786608358
120,Tumor,MAGED1,57.2624,1.7653883705300355
121,Tumor,MAGED1,42.0609,1.6340831026112264
122,Tumor,MAGED1,39.4442,1.60685624934504
123,Tumor,MAGED1,107.249,2.0344238930486096
124,Tumor,MAGED1,68.7883,1.8437826193086975
125,Tumor,MAGED1,43.4185,1.6475638884600412
126,Tumor,MAGED1,59.3025,1.7803353173424468
127,Tumor,MAGED1,55.6694,1.7533486144754717
128,Tumor,MAGED1,55.1772,1.749560089175749
129,Tumor,MAGED1,88.128,1.9500141612219786
130,Tumor,MAGED1,82.4972,1.9216719120711683
131,Tumor,MAGED1,54.3634,1.7432227533398994
132,Tumor,MAGED1,49.0373,1.6992938672336717
133,Tumor,MAGED1,34.9985,1.5562844047868725
134,Tumor,MAGED1,54.1335,1.7414155633560717
135,Tumor,MAGED1,58.6758,1.7757982497693945
136,Tumor,MAGED1,56.3149,1.7582675390107554
137,Tumor,MAGED1,25.5432,1.4239532794389786
138,Tumor,MAGED1,45.7049,1.6693624465474104
139,Tumor,MAGED1,15.0839,1.206391364257832
140,Tumor,MAGED1,37.583,1.5863959929499576
141,Tumor,MAGED1,44.4841,1.6578596056885244
142,Tumor,MAGED1,42.8898,1.642363601827104
143,Tumor,MAGED1,60.6839,1.790171824428993
144,Tumor,MAGED1,34.9824,1.5560901271027856
145,Tumor,MAGED1,56.4331,1.7591622583246813
146,Tumor,MAGED1,52.0507,1.7246911187582201
147,Tumor,MAGED1,66.5996,1.829944126144199
148,Tumor,MAGED1,58.7432,1.7762884808245596
149,Tumor,MAGED1,39.2673,1.6049525103024243
150,Tumor,MAGED1,77.0026,1.8921090789319412
151,Tumor,MAGED1,33.1083,1.532860074170873
152,Tumor,MAGED1,79.6801,1.9067664278330094
153,Tumor,MAGED1,57.5176,1.7672865059677898
154,Tumor,MAGED1,74.769,1.8794915554644502
155,Tumor,MAGED1,87.3882,1.9463942897082274
156,Tumor,MAGED1,91.2362,1.9649014023414326
157,Tumor,MAGED1,49.4357,1.7027380528043494
158,Tumor,MAGED1,42.258,1.6360664362994952
159,Tumor,MAGED1,40.1518,1.6143888362182899
160,Tumor,MAGED1,28.0324,1.4628829388173292
161,Tumor,MAGED1,40.6077,1.619173709426306
162,Tumor,MAGED1,60.7654,1.7907452583069887
163,Tumor,MAGED1,46.4778,1.676490586651628
164,Tumor,MAGED1,57.1468,1.7645258191404376
165,Tumor,MAGED1,47.1132,1.6822642427085361
166,Tumor,MAGED1,59.6366,1.7827348416570528
167,Tumor,MAGED1,53.0851,1.7330776370280028
168,Tumor,MAGED1,70.8109,1.856190369737675
169,Tumor,MAGED1,57.5599,1.7676003264266116
170,Tumor,MAGED1,63.9702,1.8127142036710588
171,Tumor,MAGED1,60.3579,1.7878704872835105
172,Tumor,MAGED1,65.8458,1.8250741252236429
173,Tumor,MAGED1,51.3681,1.719066817275851
174,Tumor,MAGED1,70.6711,1.855344070023664
175,Tumor,MAGED1,58.3269,1.7732516558030256
176,Tumor,MAGED1,104.0969,2.021589906011596
177,Tumor,MAGED1,61.8501,1.7983059730229891
178,Tumor,MAGED1,39.0115,1.6021848330463724
179,Tumor,MAGED2,106.6235,2.0319071115347653
180,Tumor,MAGED2,146.8381,2.1697863724040483
181,Tumor,MAGED2,175.4755,2.2466844210362487
182,Tumor,MAGED2,133.2166,2.1278062329906215
183,Tumor,MAGED2,110.3053,2.046515844531941
184,Tumor,MAGED2,182.16,2.2628306348556597
185,Tumor,MAGED2,141.2893,2.153172242841313
186,Tumor,MAGED2,105.7569,2.0283959542833156
187,Tumor,MAGED2,169.464,2.2316326751047355
188,Tumor,MAGED2,139.2883,2.1470214525157476
189,Tumor,MAGED2,121.4997,2.088135025120926
190,Tumor,MAGED2,153.7495,2.1896292544767
191,Tumor,MAGED2,149.8232,2.1784681509303803
192,Tumor,MAGED2,144.0948,2.161651848193951
193,Tumor,MAGED2,222.1439,2.3485850191955966
194,Tumor,MAGED2,152.4296,2.185909152810908
195,Tumor,MAGED2,97.9121,1.9952494224545696
196,Tumor,MAGED2,129.5835,2.115888304721163
197,Tumor,MAGED2,152.4722,2.1860297187055875
198,Tumor,MAGED2,117.0133,2.0719309546884586
199,Tumor,MAGED2,117.7373,2.074587169161094
200,Tumor,MAGED2,133.5397,2.1288504549471265
201,Tumor,MAGED2,130.197,2.117923904412037
202,Tumor,MAGED2,89.4479,1.95639848795648
203,Tumor,MAGED2,93.9846,1.9776531981607337
204,Tumor,MAGED2,147.8337,2.1727012784339994
205,Tumor,MAGED2,88.5737,1.9521805138861705
206,Tumor,MAGED2,134.194,2.130957417754187
207,Tumor,MAGED2,111.2622,2.0502335488269834
208,Tumor,MAGED2,136.3483,2.137823288400277
209,Tumor,MAGED2,130.896,2.1202316249302244
210,Tumor,MAGED2,88.2163,1.9504442081131383
211,Tumor,MAGED2,126.6864,2.1061446426080423
212,Tumor,MAGED2,182.095,2.2626764846509113
213,Tumor,MAGED2,238.6172,2.379517988996842
214,Tumor,MAGED2,161.9718,2.212112462293995
215,Tumor,MAGED2,178.1203,2.2531448079505823
216,Tumor,MAGED2,180.5065,2.2588921823395447
217,Tumor,MAGED2,190.8223,2.2828990939920013
218,Tumor,MAGED2,103.4392,2.018863536485681
219,Tumor,MAGED2,88.156,1.9501505755451176
220,Tumor,MAGED2,144.3564,2.1624341583871023
221,Tumor,MAGED2,134.1888,2.1309407130576883
222,Tumor,MAGED2,168.9126,2.23022558550573
223,Tumor,MAGED2,231.5652,2.366544729400737
224,Tumor,MAGED2,172.8995,2.24029833331063
225,Tumor,MAGED2,118.8098,2.078492343193959
226,Tumor,MAGED2,186.3489,2.27265114752145
227,Tumor,MAGED2,201.6213,2.3066850974222497
228,Tumor,MAGED2,95.9802,1.9866830754157896
229,Tumor,MAGED2,98.013,1.9956922194219084
230,Tumor,MAGED2,143.1624,2.1588520037826044
231,Tumor,MAGED2,220.331,2.345042246218539
232,Tumor,MAGED2,171.1551,2.235919892966047
233,Tumor,MAGED2,156.8384,2.198212669844914
234,Tumor,MAGED2,220.6731,2.345712994736632
235,Tumor,MAGED2,95.3548,1.9838733542959746
236,Tumor,MAGED2,162.4462,2.213374828016936
237,Tumor,MAGED2,173.8065,2.242557577392481
238,Tumor,MAGED2,137.5804,2.1417018105515977
239,Tumor,MAGED2,207.798,2.319726334401471
240,Tumor,MAGED2,131.0227,2.120648610275214
241,Tumor,MAGED2,174.4437,2.2441377777702347
242,Tumor,MAGED2,142.7392,2.1575752234026524
243,Tumor,MAGED2,166.1026,2.2229832072654343
244,Tumor,MAGED2,130.9868,2.1205304995860423
245,Tumor,MAGED2,127.8457,2.1100699293096357
246,Tumor,MAGED2,154.2299,2.190975377710316
247,Tumor,MAGED2,134.818,2.132957330935917
248,Tumor,MAGED2,164.2571,2.218160127307947
249,Tumor,MAGED2,118.8406,2.0786039747215197
250,Tumor,MAGED2,169.2871,2.231181749483362
251,Tumor,MAGED2,190.8814,2.2830328784933416
252,Tumor,MAGED2,79.3107,1.9047734112983576
253,Tumor,MAGED2,127.8796,2.1101841795056497
254,Tumor,MAGED2,134.414,2.1316635669224935
255,Tumor,MAGED2,177.882,2.252566641886719
256,Tumor,MAGED2,196.7679,2.2961558020023736
257,Tumor,MAGED2,198.1664,2.299216073417972
258,Tumor,MAGED2,107.8732,2.03692098788686
259,Tumor,MAGED2,149.8396,2.178515372062785
260,Tumor,MAGED2,169.7071,2.2322515845400224
261,Tumor,MAGED2,106.8051,2.032639306764134
262,Tumor,MAGED2,134.6174,2.1323154140088656
263,Tumor,MAGED2,115.7098,2.0671073248305296
264,Tumor,MAGED2,177.5232,2.2516946628978585
265,Tumor,MAGED2,132.4658,2.125369993984424
266,Tumor,MAGED2,97.8012,1.9947622193873589
267,Tumor,MAGED2,194.6503,2.291480518161793
268,Tumor,MAGED2,176.0117,2.248001973014384
269,Tumor,MAGED2,181.5897,2.261476275063942
270,Tumor,MAGED2,87.9314,1.9490551292378366
271,Tumor,MAGED2,168.7416,2.229788291559829
272,Tumor,MAGED2,149.6829,2.178063969919058
273,Tumor,MAGED2,164.3397,2.21837714528847
274,Tumor,MAGED2,138.0129,2.143055103411399
275,Tumor,MAGED2,132.8648,2.1266663934759276
276,Tumor,MAGED2,129.1028,2.1142866433061207
277,Tumor,MAGED2,117.523,2.0738026356105497
278,Tumor,MAGED2,235.4115,2.373668598541986
279,Tumor,MAGED2,136.2906,2.1376408030205694
280,Tumor,MAGED2,192.0677,2.2857096228984526
281,Tumor,MAGED2,143.9817,2.1613131878171727
282,Tumor,MAGED2,145.3694,2.165450292568055
283,Tumor,MAGED2,154.6427,2.1921287560878238
284,Tumor,MAGED2,163.1163,2.2151517172413984
285,Tumor,MAGED2,160.5124,2.208205870598056
286,Tumor,MAGED2,102.6536,2.015584390202038
287,Tumor,MAGED2,133.1464,2.1275790222847863
288,Tumor,MAGED2,190.1328,2.2813352220454237
289,Tumor,MAGED2,144.083,2.1616165272638916
290,Tumor,MAGED2,171.0639,2.2356897623940775
291,Tumor,MAGED2,72.6777,1.8673360600104645
292,Tumor,MAGED2,172.3909,2.239026300847855
293,Tumor,MAGED2,159.941,2.206666695469454
294,Tumor,MAGED2,120.6793,2.085216702630973
295,Tumor,MAGED2,134.3518,2.1314640356873853
296,Tumor,MAGED2,156.7246,2.1978994346799356
297,Tumor,MAGED2,139.4901,2.147645721630027
298,Tumor,MAGED2,158.4413,2.2026008267142876
299,Tumor,MAGED2,141.7162,2.1544732735440855
300,Tumor,MAGED2,153.6628,2.1893858683374514
301,Tumor,MAGED2,149.0878,2.176345391723515
302,Tumor,MAGED2,224.4436,2.3530379108595487
303,Tumor,MAGED2,163.0549,2.214989206445204
304,Tumor,MAGED2,167.2237,2.225887180844438
305,Tumor,MAGED2,178.9172,2.255072683679179
306,Tumor,MAGED2,144.6863,2.1634187136495537
307,Tumor,MAGED2,197.6665,2.2981246406794127
308,Tumor,MAGED2,146.1917,2.167883321239054
309,Tumor,MAGED2,198.0642,2.2989931628881184
310,Tumor,MAGED2,167.6463,2.2269768174658666
311,Tumor,MAGED2,142.6752,2.1573818103565334
312,Tumor,MAGED2,96.872,1.9906584631537272
313,Tumor,MAGED2,179.5029,2.2564841837700986
314,Tumor,MAGED2,155.1313,2.193489975801948
315,Tumor,MAGED2,178.0968,2.253087826190977
316,Tumor,MAGED2,100.8501,2.007961459741945
317,Tumor,MAGED2,172.1926,2.2385293319779636
318,Tumor,MAGED2,49.1635,1.7003878304075435
319,Tumor,MAGED2,134.9018,2.133225208939194
320,Tumor,MAGED2,146.4051,2.168512509734302
321,Tumor,MAGED2,133.7069,2.129389841863866
322,Tumor,MAGED2,119.6108,2.081386198105957
323,Tumor,MAGED2,118.5901,2.077695229039275
324,Tumor,MAGED2,161.649,2.21125139749296
325,Tumor,MAGED2,138.5216,2.144641448001241
326,Tumor,MAGED2,119.678,2.081628103987527
327,Tumor,MAGED2,76.976,1.8919609530565888
328,Tumor,MAGED2,115.2255,2.065301423186154
329,Tumor,MAGED2,208.08,2.320312491425713
330,Tumor,MAGED2,107.4574,2.0352591890798224
331,Tumor,MAGED2,204.6902,2.3132136004584063
332,Tumor,MAGED2,155.8355,2.195444372819667
333,Tumor,MAGED2,218.9027,2.3422305617296058
334,Tumor,MAGED2,204.7472,2.3133339336397207
335,Tumor,MAGED2,238.1795,2.3787239536675173
336,Tumor,MAGED2,138.9126,2.145856827172784
337,Tumor,MAGED2,148.0542,2.1733442179474833
338,Tumor,MAGED2,130.3561,2.1184502456399885
339,Tumor,MAGED2,48.4799,1.694428813238973
340,Tumor,MAGED2,130.4089,2.1186247799116997
341,Tumor,MAGED2,189.3737,2.2796069506986405
342,Tumor,MAGED2,145.5631,2.166024642313511
343,Tumor,MAGED2,171.158,2.235927208714402
344,Tumor,MAGED2,133.7108,2.129402415265536
345,Tumor,MAGED2,181.2515,2.260671111415483
346,Tumor,MAGED2,168.3815,2.22886597455039
347,Tumor,MAGED2,190.3956,2.2819319495448736
348,Tumor,MAGED2,185.4914,2.2706588092349973
349,Tumor,MAGED2,129.7015,2.1162805718038395
350,Tumor,MAGED2,176.5398,2.249295726308356
351,Tumor,MAGED2,159.645,2.2058672128865897
352,Tumor,MAGED2,133.3047,2.1280912110927575
353,Tumor,MAGED2,184.7296,2.2688811234072035
354,Tumor,MAGED2,136.9975,2.139871218676313
355,Tumor,MAGED2,210.4453,2.32519803610505
356,Tumor,MAGED2,156.6073,2.1975763291198764
357,Tumor,MAGED2,65.5647,1.8232439790278792
358,Tumor,TRO,2.7888,0.578501680706807
359,Tumor,TRO,6.949,0.9003124969837266
360,Tumor,TRO,16.1324,1.2338182055660447
361,Tumor,TRO,5.6272,0.8213300772133586
362,Tumor,TRO,6.0797,0.8500148549913233
363,Tumor,TRO,6.8855,0.8968292360741065
364,Tumor,TRO,9.7194,1.0301704771495057
365,Tumor,TRO,6.0865,0.8504317914603501
366,Tumor,TRO,14.3063,1.1848702211499573
367,Tumor,TRO,8.9181,0.9964284827844165
368,Tumor,TRO,8.32,0.9694159123539814
369,Tumor,TRO,9.3935,1.0167618203890902
370,Tumor,TRO,9.312,1.0133429043453466
371,Tumor,TRO,9.7556,1.031634642470658
372,Tumor,TRO,6.3525,0.866435033179107
373,Tumor,TRO,13.5238,1.1620802598295064
374,Tumor,TRO,10.8727,1.0745494941660199
375,Tumor,TRO,9.479,1.020319840357309
376,Tumor,TRO,7.9098,0.9498679554542437
377,Tumor,TRO,7.3425,0.9212962153268304
378,Tumor,TRO,7.4877,0.9287900209113
379,Tumor,TRO,8.2519,0.9662309300126657
380,Tumor,TRO,15.0018,1.2041688380370752
381,Tumor,TRO,8.8283,0.9924784044580315
382,Tumor,TRO,6.1442,0.8539536040104695
383,Tumor,TRO,8.1732,0.9625208623781405
384,Tumor,TRO,6.4641,0.8729774492214643
385,Tumor,TRO,8.0814,0.958152805063628
386,Tumor,TRO,3.361,0.6395860866734265
387,Tumor,TRO,8.3934,0.9728228163314663
388,Tumor,TRO,6.0003,0.8451166522360793
389,Tumor,TRO,5.1337,0.7877225307708996
390,Tumor,TRO,4.8111,0.7642583490361767
391,Tumor,TRO,10.5474,1.062484209962859
392,Tumor,TRO,12.4816,1.1297414374467538
393,Tumor,TRO,10.4595,1.0591656689421776
394,Tumor,TRO,10.4612,1.0592300911125816
395,Tumor,TRO,9.978,1.0405232264455961
396,Tumor,TRO,11.0897,1.0824155241890532
397,Tumor,TRO,8.7217,0.9877422151385623
398,Tumor,TRO,5.5212,0.8143275198768999
399,Tumor,TRO,7.0624,0.9064643410116935
400,Tumor,TRO,5.4489,0.8094856425932717
401,Tumor,TRO,6.4745,0.8735821462267381
402,Tumor,TRO,10.9826,1.0785510620549768
403,Tumor,TRO,8.6229,0.9833059726824199
404,Tumor,TRO,2.4267,0.5348760845735399
405,Tumor,TRO,11.8686,1.1095313017336887
406,Tumor,TRO,10.79,1.0715138050950892
407,Tumor,TRO,4.0271,0.7013175243799022
408,Tumor,TRO,2.8843,0.5893127648284227
409,Tumor,TRO,13.6012,1.1643885497544504
