,TCGA-02-0055,TCGA-06-0129,TCGA-06-0130,TCGA-06-0190,TCGA-06-0190,TCGA-06-0210,TCGA-06-0210,TCGA-06-2558,TCGA-12-0619,TCGA-14-1402,TCGA-16-1045,TCGA-19-2625,TCGA-32-1982,TCGA-32-2638,TCGA-76-4927,TCGA-06-2565,TCGA-12-0821,TCGA-14-0871
ENSG00000109181.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000109182.12,2,0,0,28,9,1,1,11,47,2,2,80,0,0,4,0,5,2
ENSG00000109184.15,1986,2749,2994,1862,2216,2047,1511,2681,3025,2537,1833,2205,599,2245,856,2288,2413,397
ENSG00000109189.13,1437,2308,1465,1372,1220,2027,2771,2570,1366,1073,1292,1156,400,1842,930,1933,2853,640
ENSG00000109193.12,47,1,0,1,8,2,1,2,1,0,1,0,0,0,1,0,0,0
ENSG00000109205.16,13,1,1,9,20,4,0,0,2,0,0,0,0,0,1,0,0,2
ENSG00000109208.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000109220.11,1415,748,937,977,1131,1729,960,797,797,1284,784,722,199,802,328,1000,929,105
ENSG00000109255.11,47,207,18,52,96,72,55,97,104,23,6,36,27,10,13,75,51,61
ENSG00000109265.14,332,1305,38,467,337,443,620,886,811,113,468,657,65,617,399,576,582,52
ENSG00000109270.13,2873,2575,2862,2442,2196,4489,2772,3574,2205,5768,3135,3147,1142,3618,1561,3741,4828,356
ENSG00000109272.4,15,1,1,11,74,2,0,5,3,2,2,0,0,4,2,0,1,0
ENSG00000109320.13,3811,2578,3266,2456,3411,2346,2636,1340,2977,753,2066,1842,441,2299,1149,1484,1672,379
ENSG00000109321.11,6168,9,12,2075,521,43,4,12,182,48,68,4,24,27,15,5,43,3
ENSG00000109323.11,2137,1376,2431,1981,2825,2895,2264,1165,1952,1103,1931,1313,572,1742,1068,1132,1320,218
ENSG00000109332.20,19238,13458,15696,12379,13997,15074,12404,15798,11407,17236,10798,10653,4417,14616,6640,12004,16320,2055
ENSG00000109339.24,1261,4350,2745,1954,1216,1242,2193,4124,1446,3167,1991,2446,760,3031,1385,2406,5223,72
ENSG00000109381.20,1436,1790,1696,1308,1866,1203,1457,1863,2336,1160,1340,1656,453,2078,835,1972,2146,245
ENSG00000109390.13,2198,952,1822,1414,1492,2292,1628,1890,1379,3493,1671,3173,868,2113,1390,2220,3422,161
ENSG00000109424.4,2,0,2,3,2,1,2,1,2,0,2,6,0,3,2,6,1,0
ENSG00000109436.8,1975,1553,2437,1375,2048,949,1379,1164,1749,463,1441,1151,277,1503,416,1285,897,519
ENSG00000109445.11,1655,1261,2132,1235,1658,1845,1589,1310,1344,666,1578,1477,388,1774,787,1331,1579,221
ENSG00000109452.12,362,164,683,324,311,395,753,485,264,209,245,266,249,562,373,638,1056,170
ENSG00000109458.8,751,9814,1114,2269,997,2424,4025,4799,2900,3205,2186,2030,1077,7980,2940,9782,4196,157
ENSG00000109466.14,2678,988,1582,1674,2632,2085,1580,1620,1656,915,1054,1003,328,1241,779,1341,1251,48
ENSG00000109471.5,0,0,2,0,0,1,1,0,0,0,1,0,2,1,1,0,0,0
ENSG00000109472.14,19534,10529,8901,25949,54997,83923,33919,38345,21362,30027,14359,32103,5903,40724,7628,23730,37577,907
ENSG00000109475.16,27670,15578,18014,10425,11894,19145,10476,12197,9104,20170,9387,16643,6898,12379,8854,10208,15772,8318
ENSG00000109501.14,1694,2104,1554,2004,2137,1807,3280,2385,2842,630,2729,4462,555,2956,1338,1426,2850,275
ENSG00000109511.12,5,2,7,1,1,1,0,5,3,0,4,4,0,2,1,1,4,0
ENSG00000109519.13,2358,1524,1723,1429,1288,2147,1811,1724,1490,1366,989,1778,504,1525,1089,1535,2594,316
ENSG00000109534.17,918,992,1343,855,838,780,929,811,744,404,559,834,209,969,735,908,994,289
ENSG00000109536.12,1444,734,1196,982,814,1285,922,1260,893,2131,547,1020,399,1144,494,1318,1576,205
ENSG00000109572.14,3348,5573,5060,5805,3633,8479,9706,9757,5209,3043,7566,7250,1341,10014,5802,10277,13478,616
ENSG00000109576.14,232,793,805,363,344,726,582,588,410,491,193,607,134,484,408,1286,533,200
ENSG00000109586.12,1609,789,2536,1097,1136,1709,1379,867,1126,631,1057,485,232,1413,717,1236,1201,172
ENSG00000109606.13,6347,9532,5013,5575,4106,5618,5462,6443,5720,4822,4317,4973,1686,6313,3033,8456,6875,1343
ENSG00000109610.6,1657,76,911,1392,3135,562,499,311,739,337,588,1495,721,636,522,841,502,26
ENSG00000109618.12,594,1496,969,583,338,619,593,864,726,775,550,754,234,945,337,1446,703,80
ENSG00000109625.19,10,3,3,2,29,2,3,0,10,3,3,2,1,8,2,5,0,3
ENSG00000109654.16,1862,2743,3562,2479,1545,4973,4764,7732,4216,5753,4253,5354,1072,4949,3140,5534,8706,261
ENSG00000109667.12,314,210,375,324,330,200,354,171,285,122,323,154,48,292,122,174,222,19
ENSG00000109670.16,961,936,1370,964,650,1139,1026,1745,996,862,716,837,406,1763,485,1705,1320,164
ENSG00000109674.4,110,339,323,165,237,110,165,404,236,254,49,150,56,109,109,110,347,64
ENSG00000109680.11,590,419,762,421,263,414,284,408,363,407,321,420,101,416,214,471,438,91
ENSG00000109684.15,5,6,31,6,17,6,12,6,18,2,4,34,1,4,4,8,22,0
ENSG00000109685.19,2477,14025,4572,3508,3489,4332,6255,5669,7215,1574,3024,6628,1228,5363,3356,6008,6862,924
ENSG00000109686.19,1788,3122,1658,1144,1284,1166,1610,2521,1449,1372,855,938,249,679,489,2738,1192,144
ENSG00000109689.18,1280,3914,2126,1713,834,2559,2142,1875,1214,1887,1745,1587,321,2652,1631,4781,918,315
ENSG00000109705.8,61,120,136,40,11,127,142,47,19,82,14,20,22,55,25,135,233,6
ENSG00000109736.15,4485,4184,4847,3717,3277,5096,3808,2186,4002,1234,2634,7125,1146,5491,1728,3500,3639,756
ENSG00000109738.11,871,524,362,751,472,1268,867,1311,826,1057,383,771,417,645,534,770,169,77
ENSG00000109743.11,520,110,407,260,552,276,157,162,217,218,325,276,61,182,309,114,210,25
ENSG00000109756.9,1283,3444,2091,1480,2434,1942,3016,2985,1767,798,2514,1536,591,2872,1631,3509,2330,430
ENSG00000109758.9,21,519,41,91,14,129,58,354,220,43,81,409,28,107,50,101,79,19
ENSG00000109762.16,994,417,551,440,881,685,486,537,545,377,662,726,172,649,325,563,614,95
ENSG00000109771.15,144,378,295,204,126,289,203,576,288,445,189,449,80,300,280,740,344,36
ENSG00000109775.11,1339,781,1145,1040,1207,1652,1462,1503,920,1370,1211,744,327,1304,895,1501,1815,180
ENSG00000109787.13,3123,3440,4772,3209,3286,5053,4360,2858,3481,1701,2830,2504,971,4583,2052,4654,4151,575
ENSG00000109790.16,3069,3592,2817,2512,1883,3394,2859,3557,1848,1309,2404,1752,676,3105,1455,2591,2931,153
ENSG00000109794.13,119,1347,231,590,201,530,766,645,613,471,416,270,300,618,371,554,481,77
ENSG00000109805.10,547,2817,1030,744,1198,365,799,1047,855,635,236,409,157,589,424,563,1206,247
ENSG00000109814.12,3960,2959,3010,1816,2548,1526,1265,1990,1287,733,1437,839,308,1479,818,1632,1521,571
ENSG00000109819.9,256,692,217,527,94,310,463,215,416,740,2614,764,352,1036,216,1367,386,19
ENSG00000109832.14,69,1183,206,374,10,503,194,258,351,250,141,87,290,307,308,198,598,148
ENSG00000109846.9,28535,68806,23197,30858,7497,27517,70052,17226,34588,44879,30656,144410,47568,75459,20825,59569,83857,817
ENSG00000109851.7,1,8,2,0,0,1,4,7,2,0,1,0,0,2,0,6,3,0
ENSG00000109854.14,471,477,896,1185,1296,575,604,454,2011,841,1205,678,429,434,700,169,1109,56
ENSG00000109861.17,9673,5525,12707,6304,12802,5550,8244,3302,6905,2313,8343,2150,1221,4366,3288,2914,1619,245
ENSG00000109881.17,434,511,1705,569,1056,598,577,701,684,790,427,718,142,706,509,502,1154,199
ENSG00000109906.14,3202,15732,155,1629,160,1287,1028,1098,4376,527,2620,3456,1430,1058,515,611,2613,51
ENSG00000109911.19,501,697,594,730,570,703,834,860,589,1289,538,720,269,1355,709,1404,1378,104
ENSG00000109917.11,2995,3150,1720,2096,1632,3597,2500,2676,2649,1583,1312,3017,735,3057,1506,2685,2991,578
ENSG00000109919.10,3496,3698,4905,4173,3789,4682,4678,4931,5092,4836,3410,5483,1396,4774,3593,4685,5115,422
ENSG00000109920.13,2014,5904,3479,2458,2921,3810,1991,2313,3415,1827,1921,3707,988,3761,1282,6832,2881,486
ENSG00000109927.11,70,590,71,103,44,238,201,197,202,85,74,194,49,319,114,562,237,71
ENSG00000109929.10,1657,3037,831,1865,789,3578,2311,4479,2142,5073,1744,2098,694,2980,1448,3268,4376,310
ENSG00000109943.9,41,8,217,45,66,11,16,19,48,25,66,5,9,25,9,13,12,2
ENSG00000109944.11,162,21,251,191,171,270,318,68,375,165,375,618,84,93,450,476,706,50
ENSG00000109956.13,590,8448,454,4245,473,3448,7246,7017,4854,1352,3478,2924,1462,6586,5233,5667,3314,90
ENSG00000109971.14,69704,38537,58070,59498,51081,71462,82859,74353,65312,80472,44484,38225,22882,87786,41087,82558,65870,15559
ENSG00000109991.9,3,33,5,7,1,5,19,53,19,6,6,11,147,7,1,239,7,3
ENSG00000110002.16,1618,1817,1254,1847,1529,2393,2163,1223,1649,1585,1668,2154,279,2194,1672,1534,3662,65
ENSG00000110011.13,1292,1043,1663,759,991,1526,1065,845,1575,728,859,1808,458,1297,703,1202,1096,303
ENSG00000110013.13,1921,889,709,2392,1584,1654,1410,1320,1552,1639,2157,1089,572,1677,1938,1710,1399,59
ENSG00000110025.13,13,127,50,35,31,75,43,66,55,17,36,63,24,85,17,125,39,17
ENSG00000110031.13,833,1181,3672,1163,1311,793,1003,883,1075,527,1087,775,364,860,676,789,509,62
ENSG00000110042.8,249,3366,527,749,972,2239,2926,3242,428,961,1041,1526,116,2819,628,4751,1933,50
ENSG00000110046.13,1274,3328,1679,1197,1258,1941,2521,1608,2700,576,1699,2521,537,3443,1343,2629,2420,323
ENSG00000110047.18,3594,5414,4960,1835,2501,2939,4769,3428,3254,1245,1685,7172,546,4674,2411,2789,2905,583
ENSG00000110048.12,2556,4711,3538,3009,3938,3504,3230,3037,3639,1887,2477,2804,736,4284,2096,4809,3667,713
ENSG00000110057.8,2098,3398,3950,1818,1860,1949,2435,782,2814,1020,1845,1903,587,2524,1449,1486,419,70
ENSG00000110060.9,559,880,418,412,274,631,564,618,559,526,312,488,183,687,348,617,829,120
ENSG00000110063.10,740,995,656,777,644,1021,1073,773,1125,504,450,996,289,1197,792,1042,1127,153
ENSG00000110066.15,1465,4196,2059,1094,1370,2309,2161,2713,2266,1050,1423,2231,510,2808,1222,3347,3745,328
ENSG00000110074.11,1056,2569,1163,1059,570,1335,1432,1762,1514,1658,1021,1942,505,1647,1072,1298,1421,338
ENSG00000110075.15,2324,5405,3262,1802,2185,3657,3139,3272,3416,2361,2498,2904,894,4161,2184,4893,3976,442
ENSG00000110076.19,853,9685,364,855,656,1278,6144,9051,2742,980,2939,4398,892,4913,2717,3690,2816,255
ENSG00000110077.14,5828,4321,17249,5753,6762,6083,7336,3417,6507,3879,10948,1471,1937,6541,2871,3221,1455,111
ENSG00000110079.18,3373,899,4503,2255,3937,2002,2569,837,3091,999,5027,754,414,1860,754,616,647,50
ENSG00000110080.20,1807,689,828,1464,2088,1788,1695,1112,2360,1157,796,1815,840,1247,1554,870,1724,139
ENSG00000110090.13,1938,1654,3021,1538,1885,1431,2303,2288,2883,1557,2239,1223,994,3870,1854,3227,917,388
ENSG00000110092.4,2813,2498,1949,1205,2513,1836,5100,7679,1369,1095,1378,645,379,3392,2235,7688,2466,2266
ENSG00000110104.13,823,714,757,467,536,872,796,687,822,381,607,1007,246,1034,691,771,1029,229
ENSG00000110107.9,4520,7400,6253,3523,3172,4935,5867,5918,7237,3689,3560,8205,1641,7779,4979,6196,7994,1416
ENSG00000110108.10,4105,3195,7285,2703,4126,3146,4445,2632,4877,1339,2993,2973,1218,4832,2432,2655,2328,624
ENSG00000110148.10,54,3,0,8,3,10,12,92,15,20,7,12,23,49,9,13,164,7
ENSG00000110169.11,22,145,95,96,44,131,49,32,62,44,47,235,21,78,33,75,147,17
ENSG00000110171.20,579,984,895,814,930,910,923,715,1073,533,619,1076,319,1285,486,1243,880,125
ENSG00000110172.12,916,1408,663,753,713,974,1034,1051,1234,549,543,665,199,1028,499,1322,1122,185
ENSG00000110195.14,934,13,32,181,193,412,172,47,85,330,271,703,22,208,196,145,292,3
ENSG00000110200.8,275,266,175,181,117,255,206,223,218,304,116,304,113,237,236,245,326,25
ENSG00000110203.9,90,1,36,54,39,31,8,15,16,10,11,52,0,19,2,4,8,0
ENSG00000110218.9,1932,1822,1477,954,1266,1042,1245,1200,1097,423,847,1172,145,946,697,941,1160,117
ENSG00000110237.5,2185,6189,2785,3664,2806,2759,4754,4147,4532,1199,2660,4142,1444,5246,3157,7890,3114,349
ENSG00000110243.12,1,1,2,1,0,0,1,0,2,1,1,4,0,0,1,2,0,0
ENSG00000110244.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000110245.12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000110274.16,900,2760,1165,1141,973,1824,1572,1059,1996,554,1013,2903,453,2058,910,2624,1557,265
ENSG00000110315.7,2164,2939,2086,2964,2073,5982,4867,4086,2791,5250,3328,3576,1095,5250,3260,5214,5104,143
ENSG00000110318.15,225,256,376,40,16,288,222,241,518,216,412,431,61,60,70,825,608,117
ENSG00000110321.19,37185,29986,52015,51370,59634,46644,44811,42696,42735,35005,33534,32560,13078,56686,31850,56028,66354,5717
ENSG00000110324.11,2644,1988,6357,2713,3340,2147,2800,1181,4420,696,3054,575,892,3086,889,848,338,49
ENSG00000110328.6,397,312,307,1107,620,801,1048,946,1084,236,1034,769,857,966,674,876,1041,29
ENSG00000110330.8,3722,3906,2751,2711,2093,4400,2614,3279,2384,3918,2340,2284,881,3473,1879,4306,4020,325
ENSG00000110344.10,1102,3717,931,1160,949,2194,1886,2317,2132,777,1578,928,379,2477,967,3491,1446,235
ENSG00000110367.13,3788,11953,4611,4571,3915,7256,8610,7393,7194,4155,4928,6114,1821,7573,4181,9667,8527,1521
ENSG00000110375.3,5,23,20,12,8,17,8,46,18,10,5,66,14,18,13,22,22,4
ENSG00000110395.7,1314,5413,2320,1708,1870,3086,3609,2818,3150,698,2201,2256,519,3273,1859,3526,2019,361
ENSG00000110400.11,1234,4402,959,1084,1646,1905,2928,4639,3361,333,889,633,396,1178,1735,1272,1603,278
ENSG00000110422.12,3751,3855,3422,2788,3683,4931,3386,2181,3630,2553,3691,2495,967,4321,1473,3392,2187,294
ENSG00000110427.17,226,1891,313,1076,764,510,1002,935,1181,379,595,1194,250,1536,775,1768,860,30
ENSG00000110429.14,1679,2213,1472,1605,1386,2426,2186,1951,1717,3608,1643,1539,760,3020,1138,3168,3039,266
ENSG00000110435.12,1311,1411,1118,1232,1322,1590,1252,951,1237,1244,975,1802,360,1565,841,1494,1949,140
ENSG00000110436.13,2439,4200,870,5744,786,21406,8839,19260,5659,16801,14646,17362,4165,27680,7091,19885,24213,399
ENSG00000110442.12,2094,2301,2493,2145,1764,2524,3116,2103,2318,3508,2266,4018,714,3311,1928,2357,3679,205
ENSG00000110446.11,1417,2871,4812,2117,2146,1918,3986,892,2559,409,1866,1180,595,3070,1313,1259,774,73
ENSG00000110448.11,53,31,266,82,154,43,125,21,37,12,87,17,48,49,41,61,47,2
ENSG00000110455.14,195,370,1601,618,460,560,274,257,884,467,624,837,410,584,171,913,551,30
ENSG00000110484.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000110492.15,6289,3506,29801,12639,12629,12034,4913,3795,13235,7586,2549,13180,2305,11618,6430,7217,16919,1774
ENSG00000110497.14,1137,3055,1911,1879,1654,1766,2329,1680,2156,806,1885,3142,537,2927,1296,1893,2381,93
ENSG00000110514.19,1839,5458,2556,2392,2868,2724,3388,2536,4874,832,2919,2241,1076,3813,2036,3811,2863,259
ENSG00000110536.14,97,85,118,112,112,171,128,155,159,236,100,261,48,203,152,244,265,12
ENSG00000110583.13,782,4771,2306,871,653,1768,1421,1980,2677,1203,1498,2100,623,2692,915,2962,1579,325
ENSG00000110619.18,2759,2208,2928,3179,3129,3504,2380,1635,2481,2022,1716,2857,758,4115,2243,5835,3315,209
ENSG00000110628.16,654,360,1019,789,966,1131,486,199,1129,263,441,846,236,937,258,1487,87,46
ENSG00000110651.12,37968,32273,50932,46491,60290,43418,58647,32232,44785,21367,29029,61506,12194,45371,28418,31488,49218,2056
ENSG00000110660.15,1774,819,436,1139,950,1702,1341,767,2183,654,828,1909,494,1616,690,1505,478,229
ENSG00000110665.12,21,308,204,33,42,89,97,20,67,19,64,25,33,12,22,21,9,3
ENSG00000110675.13,2985,488,139,1422,425,3207,647,765,1162,790,598,1687,316,1845,1040,608,193,27
ENSG00000110680.13,35,4,3,21,1,1,1,4,17,1,3,0,1,3,1,0,20,0
ENSG00000110693.18,144,15018,98,948,254,938,1753,3312,1658,637,913,903,467,3403,1558,5061,1446,121
ENSG00000110696.10,8564,9916,9082,8017,8106,9059,6290,8208,6458,12908,5972,7311,3124,9515,5044,10155,12023,901
ENSG00000110697.13,2389,1943,3136,3204,3745,1109,1448,1430,3195,724,2068,1768,583,3144,1190,1624,461,382
ENSG00000110700.7,25523,14329,17832,11948,15658,21899,11930,11920,11034,27096,10093,17305,6434,15816,10793,11871,19012,3948
ENSG00000110711.10,3065,2702,2615,2429,2429,2717,2187,2345,2214,3053,1519,3192,857,2997,1597,2394,2612,509
ENSG00000110713.17,3485,3213,4465,3493,4803,4074,4129,2505,4426,1983,2539,3303,880,4351,2299,4157,4339,734
ENSG00000110717.13,3913,3382,4304,2159,1816,3753,3288,3278,3592,4297,2093,6078,1532,4078,2601,3403,4052,326
ENSG00000110719.10,2170,2381,6674,2119,3205,3190,2181,901,3572,324,2001,3394,729,2095,1029,955,588,143
ENSG00000110721.12,540,1758,830,576,409,1175,722,977,1057,744,896,1423,477,1352,632,1965,850,92
ENSG00000110723.12,31,141,32,67,30,24,169,185,173,97,290,288,18,97,68,200,130,11
ENSG00000110756.18,1437,2676,2140,1584,1647,1528,1687,1415,2394,1051,1206,2203,452,2035,1079,1692,1561,185
ENSG00000110768.12,2087,2638,3042,1994,2181,2502,1700,1604,1981,2905,1536,2209,557,2398,1163,2092,2492,244
ENSG00000110777.12,22,26,41,33,88,12,46,18,137,22,18,14,5,6,12,10,21,0
ENSG00000110786.18,305,689,20,62,9,18,26,570,70,239,51,44,158,280,62,85,263,11
ENSG00000110799.14,2726,2782,5532,7937,10090,3456,17633,11398,17907,1034,16900,4532,19799,24814,7644,19534,16278,639
ENSG00000110801.14,314,177,265,192,180,289,212,239,246,391,158,301,94,319,146,359,333,41
ENSG00000110811.20,2297,845,4136,1670,3644,1113,628,453,931,235,526,1039,234,1300,467,758,421,729
ENSG00000110841.14,3374,1162,9461,2500,6277,2499,1731,2315,1757,881,1644,732,620,2376,1264,3700,1262,316
ENSG00000110844.14,200,649,297,221,138,411,245,293,396,180,387,494,127,597,172,923,474,93
ENSG00000110848.8,321,502,549,341,167,243,185,251,228,572,126,81,306,162,81,66,73,7
ENSG00000110851.12,1136,1424,1804,1169,1335,2017,1543,1347,1581,528,1202,1719,312,1913,987,1595,1731,421
ENSG00000110852.4,1708,117,1168,458,941,4593,942,252,437,542,576,252,235,447,198,173,1715,27
ENSG00000110871.15,1095,1433,1505,1171,911,1798,1302,2102,943,3241,1165,1588,549,1657,1062,1710,2016,224
ENSG00000110876.10,1955,2185,4505,3196,3200,2292,7498,1347,4312,736,2563,1339,1271,3819,1116,836,746,38
ENSG00000110880.11,10475,31709,8894,8634,9895,14644,13810,13487,8729,7782,11276,11604,2412,9942,5855,9730,10381,804
ENSG00000110881.12,276,22217,445,1300,892,2994,3993,3731,1045,674,1985,2013,375,4763,2842,3068,1327,195
ENSG00000110887.8,1,9,3,3,1,4,13,4,4,25,101,64,0,2,12,2,162,3
ENSG00000110888.17,924,1172,1669,1897,1238,2944,1126,1188,1344,1595,1658,1413,968,1984,845,5935,1754,342
ENSG00000110900.16,717,3632,2567,3195,1583,1290,1334,2907,419,744,1171,2425,132,1574,2352,2352,2423,541
ENSG00000110906.13,3227,2167,4387,2914,4294,2846,3242,2986,2446,1089,2133,2220,836,3043,1731,2542,2236,474
ENSG00000110911.16,2788,4507,3608,3536,2861,5045,4497,4945,3189,2999,4031,3693,1211,4569,3070,4005,3967,425
ENSG00000110917.8,4547,7297,10849,6477,10892,10657,11101,7206,8397,3706,10547,6342,1998,12495,7005,12600,9627,1357
ENSG00000110921.14,451,479,620,657,457,487,529,698,598,403,428,812,125,743,419,424,403,173
ENSG00000110925.7,1705,4017,2191,2464,2280,3733,2137,3102,2256,1487,1758,2426,772,3460,1403,2619,3341,401
ENSG00000110931.19,1814,2153,2619,1788,2634,1975,2325,3117,2049,1292,2084,1939,715,2734,1375,2663,2297,574
ENSG00000110934.13,583,2459,2267,738,802,964,1130,563,678,239,1257,309,324,680,407,424,273,32
ENSG00000110944.9,48,61,71,49,37,88,33,21,32,29,32,37,11,78,30,38,17,9
ENSG00000110955.9,20470,25529,25891,22824,22641,28239,23432,28096,18540,26756,23290,20389,10058,28348,17819,31161,30231,4730
ENSG00000110958.16,14698,13351,16819,10684,11342,17172,12927,17958,11080,17890,9414,12209,4536,18129,9128,16334,21574,1583
ENSG00000110975.8,4,2,0,0,0,0,0,4,0,1,0,0,0,0,0,2,3,0
ENSG00000110987.9,353,2136,99,666,736,492,1306,2723,834,611,566,836,247,1032,723,1626,1342,173
ENSG00000111011.18,2494,3154,2846,2253,2724,3195,2494,2777,3025,1470,2123,2855,781,3647,1522,4628,3444,680
ENSG00000111012.10,91,6397,166,80,71,129,59,620,97,53,36,87,71,110,32,243,63,28
ENSG00000111046.4,2,0,1,3,2,0,0,1,2,0,1,17,5,2,1,0,3,0
ENSG00000111049.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000111052.7,1441,471,680,1057,666,1126,631,682,640,566,1064,1168,308,833,564,597,719,80
ENSG00000111057.11,1028,13,159,283,1044,33,68,106,114,25,30,15,25,64,46,51,85,190
ENSG00000111058.8,1167,165,885,3480,1699,3131,1145,359,950,1943,3628,2485,930,4830,1961,4443,2522,88
ENSG00000111077.18,2294,2643,3466,2973,4025,1805,3137,4545,2637,597,2907,2256,1934,4303,1750,5910,2887,398
ENSG00000111087.10,63,1065,84,72,309,106,41,65,113,51,19,28,15,245,44,450,74,485
ENSG00000111110.12,191,559,371,348,212,206,792,1255,288,181,739,94,233,623,518,884,431,665
ENSG00000111142.14,4306,6203,4792,4665,4377,7003,4875,5674,4091,4950,2996,4556,1223,6293,3561,6952,6805,842
ENSG00000111144.10,2624,2942,4260,2751,3008,3284,3969,2406,2351,1319,3271,2244,687,3169,1462,2887,2626,568
ENSG00000111145.8,4550,1388,6026,3363,3731,3522,3218,1806,2200,1773,2275,1930,949,3706,1383,4191,2003,1004
ENSG00000111181.12,90,302,284,87,75,120,233,663,188,117,467,266,83,221,164,438,188,24
ENSG00000111186.13,1099,102,450,144,902,105,79,75,110,70,98,49,82,189,138,121,122,62
ENSG00000111196.10,764,514,1092,532,572,575,354,908,483,1215,409,708,204,733,435,797,1082,131
ENSG00000111199.12,223,59,486,121,362,138,187,62,155,33,213,50,16,101,53,106,32,74
ENSG00000111203.13,665,702,773,534,585,987,868,811,666,413,519,760,280,1036,642,1145,938,366
ENSG00000111206.13,706,3297,2180,1044,2099,877,2099,2163,2426,493,603,1670,325,1314,1909,1313,2561,459
ENSG00000111215.12,4,27,20,10,12,11,15,6,14,9,20,27,8,14,4,24,9,1
ENSG00000111218.12,54,21,4,14,2,16,21,158,25,116,40,15,18,67,8,20,166,3
ENSG00000111224.14,380,1604,700,537,406,874,702,892,613,528,656,539,209,1122,546,1157,965,135
ENSG00000111229.16,8390,6315,9764,5673,6033,7577,5746,6246,4970,8933,5031,5782,2830,6732,4396,5685,7691,841
ENSG00000111231.9,1132,1876,1464,840,797,1137,1087,1263,853,1543,927,859,422,987,640,864,1327,170
ENSG00000111237.19,2893,2879,4002,2033,1840,2869,1826,3122,1847,6123,2103,2253,1225,2831,1709,3205,3060,279
ENSG00000111241.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000111245.17,5,2,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0
ENSG00000111247.15,214,2611,812,301,364,318,302,912,431,620,149,334,123,454,324,451,774,137
ENSG00000111249.14,74,243,41,17,18,21,28,173,107,75,8,2,27,47,14,53,25,185
ENSG00000111252.11,2376,2453,5638,2476,4864,2850,4046,2669,3876,695,2156,626,868,4456,1888,2280,1391,164
ENSG00000111254.8,56,152,162,65,63,160,180,205,191,90,81,119,24,116,138,102,149,22
ENSG00000111261.14,367,950,532,903,415,673,703,1223,1063,707,1109,1280,576,1450,788,1329,1518,78
ENSG00000111262.6,149,39,69,25,18,82,15,251,5,149,12,15,35,217,20,164,54,2
ENSG00000111266.9,625,3109,1093,1644,1470,1868,2040,1939,2084,884,2072,1993,371,3477,1404,2685,3013,164
ENSG00000111269.3,2352,3736,5603,3760,3975,4016,4133,2599,4172,2294,5361,2390,1117,4066,1943,2304,2511,306
ENSG00000111271.15,691,1456,1165,1093,778,1227,1139,1284,1230,535,1172,1527,402,1509,833,1790,1002,193
ENSG00000111275.13,2421,3185,5336,3185,1902,2747,5718,3854,2823,3265,6085,4612,1177,3010,2738,2967,9522,379
ENSG00000111276.11,1097,4673,1729,2156,2007,3164,3046,5771,3759,4782,2944,3413,1486,4321,2517,4164,5667,242
ENSG00000111291.8,2,7,5,1,8,7,1,0,0,1,4,14,3,0,1,4,2,0
ENSG00000111300.10,921,1521,1633,902,952,1579,893,1115,1052,797,855,1206,315,1371,540,2270,1393,276
ENSG00000111305.19,3,6,4,21,6,18,2,7,12,18,7,20,15,5,5,56,19,0
ENSG00000111319.13,381,17,51,50,65,11,8,8,41,4,19,19,6,16,8,9,8,0
ENSG00000111321.11,1528,913,1773,3469,4901,1576,1913,851,1511,288,2349,1127,541,1606,998,683,993,340
ENSG00000111325.16,19,37,71,32,29,57,25,41,53,15,22,38,9,34,15,84,17,11
ENSG00000111328.7,6666,20862,11589,13846,12827,17614,14068,16470,11303,20084,9041,14533,5924,20459,12479,24228,25232,1419
ENSG00000111331.13,1848,17002,5669,1743,2323,1458,2235,813,1685,2673,2706,2527,837,8334,1897,5494,2210,248
ENSG00000111335.13,1317,6935,8036,995,1507,389,1031,875,1572,2786,1594,704,366,4308,944,2945,572,156
ENSG00000111339.12,3,4,2,0,2,1,1,2,1,7,2,2,0,0,0,0,4,0
ENSG00000111341.10,23295,208,5880,3949,7619,16495,4886,1253,6880,7619,1505,3643,2247,3558,1013,3874,4369,181
ENSG00000111344.11,82,29,4,17,12,46,21,387,21,74,31,31,47,88,64,48,198,1
ENSG00000111348.9,6803,7200,16525,7698,6803,6465,11601,7598,8130,3569,8661,4290,5563,8632,6714,5254,5833,257
ENSG00000111358.14,1334,1380,1842,1137,1125,1922,1201,1574,1120,1718,1214,1671,511,2117,1018,2385,1596,273
ENSG00000111361.13,2080,3399,3199,2232,2030,3333,2680,2981,2604,2276,2182,3694,1005,3549,2193,3701,3898,648
ENSG00000111364.16,679,1413,1031,621,693,1406,860,917,910,523,634,1139,307,1062,510,1493,987,292
