timeline,survival_probability
0.0,1.0
0.021917808219178082,0.9642857142857144
0.38082191780821917,0.9285714285714287
0.3917808219178082,0.8928571428571428
0.44931506849315067,0.8214285714285715
0.5780821917808219,0.7857142857142859
0.6657534246575343,0.7500000000000001
0.673972602739726,0.7142857142857143
0.736986301369863,0.6785714285714285
0.7561643835616438,0.6428571428571428
0.7863013698630137,0.6071428571428573
0.821917808219178,0.5714285714285714
0.9178082191780822,0.5357142857142858
0.9534246575342465,0.49999999999999994
1.0767123287671232,0.46428571428571436
1.104109589041096,0.42857142857142866
1.632876712328767,0.39285714285714296
1.641095890410959,0.35714285714285726
1.7315068493150685,0.3214285714285715
1.9095890410958904,0.2857142857142857
2.756164383561644,0.25
2.835616438356164,0.2142857142857143
2.9123287671232876,0.17857142857142858
3.3232876712328765,0.14285714285714288
6.134246575342465,0.14285714285714288
