timeline,survival_probability
0.0,1.0
0.1589041095890411,0.9444444444444446
0.1863013698630137,0.888888888888889
0.3835616438356164,0.8333333333333335
0.4821917808219178,0.7777777777777778
0.5095890410958904,0.7222222222222223
1.0164383561643835,0.6666666666666669
1.515068493150685,0.6111111111111113
1.841095890410959,0.5555555555555558
1.8575342465753424,0.5000000000000002
1.9095890410958904,0.4444444444444444
1.9671232876712328,0.38888888888888895
2.1671232876712327,0.33333333333333337
2.356164383561644,0.2777777777777778
2.835616438356164,0.22222222222222224
3.5753424657534247,0.1666666666666667
6.134246575342465,0.1666666666666667
