gene,classification,Stage I,Stage IA,Stage IB,Stage IIA,Stage IIB,Stage III,Stage IIIB,Stage IV
MAGEA1,Positive,0.564971751412429,0,1.69491525423729,2.25988700564972,6.21468926553672,6.77966101694915,0,1.12994350282486
MAGEA1,Negative,0,1.69491525423729,7.34463276836158,8.47457627118644,35.5932203389831,20.9039548022599,0.564971751412429,6.77966101694915
MAGEA2,Positive,0,0,0.564971751412429,0,1.12994350282486,0,0,0.564971751412429
MAGEA2,Negative,0.564971751412429,1.69491525423729,8.47457627118644,10.7344632768362,40.6779661016949,27.683615819209,0.564971751412429,7.34463276836158
MAGEA2B,Positive,0,0,0,0,1.12994350282486,0,0,0
MAGEA2B,Negative,0.564971751412429,1.69491525423729,9.03954802259887,10.7344632768362,40.6779661016949,27.683615819209,0.564971751412429,7.90960451977401
MAGEA3,Positive,0,0,0.564971751412429,2.25988700564972,4.51977401129944,1.69491525423729,0,1.69491525423729
MAGEA3,Negative,0.564971751412429,1.69491525423729,8.47457627118644,8.47457627118644,37.2881355932203,25.9887005649718,0.564971751412429,6.21468926553672
MAGEA4,Positive,0.564971751412429,1.12994350282486,1.12994350282486,1.12994350282486,6.21468926553672,3.38983050847458,0.564971751412429,1.12994350282486
MAGEA4,Negative,0,0.564971751412429,7.90960451977401,9.6045197740113,35.5932203389831,24.2937853107345,0,6.77966101694915
MAGEA5,Positive,0.564971751412429,1.69491525423729,5.64971751412429,7.90960451977401,29.9435028248588,17.5141242937853,0.564971751412429,4.51977401129944
MAGEA5,Negative,0,0,3.38983050847458,2.82485875706215,11.864406779661,10.1694915254237,0,3.38983050847458
MAGEA6,Positive,0,0.564971751412429,1.12994350282486,2.25988700564972,5.08474576271187,2.82485875706215,0,1.12994350282486
MAGEA6,Negative,0.564971751412429,1.12994350282486,7.90960451977401,8.47457627118644,36.7231638418079,24.8587570621469,0.564971751412429,6.77966101694915
MAGEA7P,Positive,0,0,0.564971751412429,1.69491525423729,3.95480225988701,2.82485875706215,0,1.12994350282486
MAGEA7P,Negative,0.564971751412429,1.69491525423729,8.47457627118644,9.03954802259887,37.8531073446328,24.8587570621469,0.564971751412429,6.77966101694915
MAGEA8,Positive,0.564971751412429,1.69491525423729,8.47457627118644,9.6045197740113,35.5932203389831,24.8587570621469,0.564971751412429,7.34463276836158
MAGEA8,Negative,0,0,0.564971751412429,1.12994350282486,6.21468926553672,2.82485875706215,0,0.564971751412429
MAGEA9,Positive,0,0,0.564971751412429,1.12994350282486,2.82485875706215,0.564971751412429,0,0
MAGEA9,Negative,0.564971751412429,1.69491525423729,8.47457627118644,9.6045197740113,38.9830508474576,27.1186440677966,0.564971751412429,7.90960451977401
MAGEA9B,Positive,0,0,0,0.564971751412429,3.38983050847458,1.69491525423729,0,1.12994350282486
MAGEA9B,Negative,0.564971751412429,1.69491525423729,9.03954802259887,10.1694915254237,38.4180790960452,25.9887005649718,0.564971751412429,6.77966101694915
MAGEA10,Positive,0.564971751412429,1.12994350282486,6.21468926553672,5.64971751412429,28.2485875706215,16.9491525423729,0,5.08474576271187
MAGEA10,Negative,0,0.564971751412429,2.82485875706215,5.08474576271187,13.5593220338983,10.7344632768362,0.564971751412429,2.82485875706215
MAGEA11,Positive,0,0,2.25988700564972,2.25988700564972,7.34463276836158,3.38983050847458,0,2.25988700564972
MAGEA11,Negative,0.564971751412429,1.69491525423729,6.77966101694915,8.47457627118644,34.4632768361582,24.2937853107345,0.564971751412429,5.64971751412429
MAGEA12,Positive,0,0,2.82485875706215,2.82485875706215,15.2542372881356,8.47457627118644,0.564971751412429,2.82485875706215
MAGEA12,Negative,0.564971751412429,1.69491525423729,6.21468926553672,7.90960451977401,26.5536723163842,19.2090395480226,0,5.08474576271187
MAGEB1,Positive,0,0,0.564971751412429,0.564971751412429,1.12994350282486,0.564971751412429,0,0.564971751412429
MAGEB1,Negative,0.564971751412429,1.69491525423729,8.47457627118644,10.1694915254237,40.6779661016949,27.1186440677966,0.564971751412429,7.34463276836158
MAGEB2,Positive,0,0,1.12994350282486,1.69491525423729,9.03954802259887,3.95480225988701,0,1.69491525423729
MAGEB2,Negative,0.564971751412429,1.69491525423729,7.90960451977401,9.03954802259887,32.7683615819209,23.728813559322,0.564971751412429,6.21468926553672
