,ITGA3,CAMK1G,FAS,COL9A2,PKP2,WNT8A,COL17A1,TRO,ATP2A3,PLD1,MAP2,TNS1,TMEM40,TGFB2,TLR8,CORO2B,PDGFRL,CA2,GLI3,PDLIM1,ACTA2,WNT3,DTX4,MGP,LAMA4,WNT5A,ADAM23,WNT6,SDC1,PLA2G4A,PIK3R3,GRIA2,TNFSF18,TP53AIP1,CDKN1A,A4GALT,FLNC,COL5A1,SEC14L4,PIWIL4,RAPGEF5,SCN7A,TMPRSS13,CASP1,CASP5,STAMBPL1,GPR87,SLC40A1,FGF2,FRAS1,PPP3CA,LUM,PELI2,ITGA10,CGN,CREB3L4,THSD7B,DDIT4L,IGFBP1,SPATA4,IL18,AP1S3,KCNK13,GJA1,ANKRD22,UBASH3B,CDH12,SAMSN1,GRAMD2B,PCDH1,HKDC1,FZD1,CREB3L1,NRG2,EMC10,CYP4A22,PRKAA2,WNT4,COL6A3,IFI16,AIM2,PTX3,CXCL1,EMCN,NDST3,SP8,SHH,COL1A2,ALDH7A1,CYBB,MID1IP1,MYRFL,TAC3,COL3A1,LRP1B,PCDH7,CD14,SFN,FZD8,UBE2U,ADAMTSL1,TRIML2,PLCXD3,COL18A1,GNG2,KRT16,WNT7B,CERKL,LAMB3,ENPP1,HRNR,SUCNR1,GJC2,CARD16,PRR29,PEG10,ATP1B1P1,CARD17,KCNE1B,year_of_birth
count,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0
mean,100.74065921787711,2.16976312849162,19.502558100558662,11.373917318435755,21.76761731843575,0.07124972067039105,140.38654134078214,8.927309497206705,21.0977217877095,25.37087709497207,9.742147486033518,57.974678770949716,1.3899217877094971,16.507610614525138,7.814566480446929,2.581076536312849,15.192088826815642,61.069453631284915,5.94738659217877,101.39410558659219,275.4826474860335,1.6956597765363128,29.29935642458101,291.38210055865926,61.34251396648045,27.574416201117316,3.841121787709497,0.39737486033519553,222.46610446927372,31.869015083798885,7.909364245810056,1.861132960893855,5.399045810055866,0.20914581005586588,104.94455586592179,11.331341340782123,12.678150837988827,167.4937407821229,2.097712849162011,15.594746368715084,35.43362569832403,17.086422346368714,2.000808379888268,26.70820279329609,1.6752385474860336,13.211621229050277,1.1349525139664804,224.06507932960895,7.314397765363128,13.701193854748603,51.446696648044686,1802.24489273743,22.238120111731842,5.164188826815643,45.67699329608939,13.595328491620112,4.878411731843575,3.415967597765363,8.419045810055866,0.14145195530726257,42.793702234636875,7.36243184357542,1.5432407821229048,103.54869944134077,21.258562011173183,12.69136927374302,0.15943016759776535,19.081606703910612,17.772172625698325,68.94444860335196,33.575620111731844,22.28255251396648,18.947193296089385,0.6441312849162011,14.237750837988827,1.195027374301676,6.837070949720671,5.5818938547486034,423.0324832402235,89.48953631284917,9.741127932960895,5.492565921787709,34.67008770949721,6.677497206703911,0.6502608938547486,0.030507821229050276,6.779800558659217,1554.278541340782,6.386801675977652,131.51899608938547,19.198877094972065,1.4955189944134077,0.5098290502793296,4001.406287150838,0.5895966480446928,27.042629608938547,128.06056759776536,88.59735474860335,7.125368715083799,0.42774134078212295,3.357138547486034,0.04834357541899442,5.441629608938547,44.10462122905029,10.889883798882682,71.87449999999998,3.063254748603352,1.3149849162011173,259.69464692737427,16.8347530726257,2.9177195530726254,7.810062011173184,5.182592178770951,15.34435810055866,0.9841564245810055,16.363305586592176,9.218078212290504,1.2365418994413409,0.10098715083798881,1952.4022346368715
std,74.12297732936011,1.1869682921672264,7.772749475085894,9.455657736638482,9.835253025648024,0.1742704850287871,144.0787740050637,3.092890279964366,12.233015634634793,8.431517732226766,5.889974557520436,28.337610488220967,2.8470767013156357,14.031934492121136,4.610841621339035,1.2546306420559357,9.633519773189663,93.03153722533267,3.4810833418101623,32.32776811613922,143.93975469977536,1.6629183892735748,12.391767856565579,175.79566412386203,26.918978815150734,17.5737339947912,2.3238967492692533,0.36184191033144825,123.77855697642799,26.003970823861774,3.2153631454710965,2.156364410813275,6.022348607555307,0.4730976136559478,49.212813201025156,10.47878296973559,11.786820730148067,116.61977203821213,2.5992559396229975,8.348946176716813,11.820098622732957,17.45648764983126,1.534054382555341,11.171294466348499,2.684022192577274,5.343815993623292,1.5761075091417016,131.75174281474867,5.347635457340162,8.206443774365114,16.14627577521561,935.0648149947448,9.136096631662584,3.8319340864807283,26.553895797916056,6.924606917941541,3.6832077781156616,2.9148295950077356,20.25486047102796,0.10603764136666158,19.342009798880643,4.064370570289079,0.7710674986567505,63.2609684693941,12.464345944882842,6.1454494935030315,0.45351035651551064,9.50586280415489,5.967071451074133,36.515389471001356,19.79105280102228,13.757656352754463,12.696517912344872,0.481527490113344,4.504806653414569,0.7886797844808024,4.106501846803801,3.3152692722701507,213.95731306462088,31.538576684098008,13.25852962087585,7.9679173540955714,25.619362604984747,3.804842670807677,0.5001588783883149,0.07554706803739326,7.231014147045697,969.3810481354535,2.1178631967010983,66.19559578263005,6.841258711610863,1.7556102725158071,0.9068267090657045,2246.678277630505,0.6800385887017975,14.735206088334543,60.69318276063187,64.06227167294597,3.3590634170223037,0.7264247198177088,2.0996947164991644,0.1269809500910311,7.5204368565260085,24.051506731046842,5.2124506429926925,115.47568812213926,2.749549307954558,0.9263981973493361,223.3582704600043,11.019840920206692,1.4528049546656019,9.037378285229986,5.757241658115323,5.73009867659007,0.8662311446465566,19.535057581023434,2.4977658340432245,1.3107461091151162,0.10314251132758141,10.878036604626882
min,7.7711,0.2832,3.0895,1.0754,6.8787,0.0,0.5532,2.4086,3.1449,8.1385,0.5894,18.2654,0.0,1.7454,1.0408,0.3581,2.8559,4.3576,0.9367,28.0919,26.8189,0.3472,7.8332,39.0451,4.4006,3.1435,0.1883,0.0,19.0775,7.7162,1.7837,0.0,0.1916,0.0,17.8555,1.2964,1.1657,15.5024,0.0261,4.0487,13.0106,0.0731,0.1689,3.6165,0.0,2.5694,0.0,19.3597,1.227,0.9957,11.5618,211.6899,4.9499,0.6357,4.3062,3.7424,0.0718,0.1426,0.0,0.0,8.4533,0.7426,0.1765,13.9445,1.5407,1.5871,0.0,2.3023,4.2559,6.601,2.0218,3.0336,2.7479,0.0485,2.7514,0.1056,0.3629,0.4458,35.9005,10.5881,0.5134,0.2599,1.5979,0.6743,0.0711,0.0,0.288,131.5611,2.2265,18.0745,7.8679,0.048,0.0,292.2147,0.0,0.9169,18.4089,0.7039,1.3156,0.0,0.3176,0.0,0.0,7.0944,2.1533,0.0821,0.033,0.1265,2.81,2.7209,0.1848,0.4903,0.4577,2.446,0.1408,0.9584,2.9429,0.0,0.0,1932.0
25%,48.3083,1.3565,14.90545,5.9482,15.22865,0.0,38.58185,6.70895,12.84385,20.3797,5.36485,39.7839,0.11954999999999999,8.04265,4.7141,1.7078,8.37825,22.234299999999998,3.40935,78.757,171.75920000000002,0.979,20.3974,157.739,42.06855,15.083549999999999,2.3117,0.1555,131.39530000000002,17.88335,5.6861,0.6061,1.66835,0.07335,72.78935,6.40995,5.8904,82.85365,0.58975,9.7255,27.349899999999998,5.9381,0.99795,20.30145,0.7646,9.64645,0.3145,139.61374999999998,3.51655,8.0384,40.8138,1105.0647,16.0175,2.7079500000000003,27.2897,9.413499999999999,2.26135,1.49655,0.40685,0.06955,31.1449,4.293900000000001,1.0008,60.64765,11.7349,8.1416,0.033049999999999996,12.849450000000001,13.4252,42.499849999999995,20.43945,13.187999999999999,11.34235,0.31825000000000003,11.14085,0.6788000000000001,4.1433,2.9866,266.92115,69.7051,2.9875,2.0078,16.80075,4.0497,0.32735000000000003,0.0,1.8284500000000001,850.34325,4.85245,86.46575,15.22325,0.46475,0.09545000000000001,2337.56495,0.1915,16.66905,85.1297,43.9922,4.64795,0.043050000000000005,1.8189000000000002,0.0,2.0383,29.67705,7.312849999999999,9.62595,1.3291499999999998,0.71425,129.9182,9.83085,1.97665,2.6849499999999997,1.76925,11.5933,0.57335,5.44295,7.44665,0.44815000000000005,0.025750000000000002,1946.0
50%,84.5142,1.8117,18.6017,8.3756,20.0667,0.0393,98.167,8.7062,18.6466,23.7725,8.3815,49.7553,0.4728,13.2218,6.96,2.3643,12.7213,34.4836,5.3145,101.1611,239.64,1.3643,27.3173,264.914,57.7109,23.2267,3.4199,0.3023,199.9203,24.8129,7.5326,1.3093,3.7498,0.1478,94.1498,9.2247,9.7353,136.0491,1.2638,13.3505,33.6837,12.5623,1.5393,25.8904,1.1679,12.5309,0.6496,205.132,5.8828,11.6104,51.6376,1736.7814,21.1732,3.8219,40.7741,12.1282,3.9291,2.7378,1.6326,0.1221,40.016,6.6089,1.3697,90.2921,18.9002,11.3456,0.0779,17.5292,18.15,62.9964,28.9728,17.8418,16.0542,0.548,13.7101,1.0527,6.1464,4.9204,373.1862,88.4605,5.2999,3.0792,28.4218,5.7267,0.5417,0.0,4.2396,1294.2584,6.1265,121.6573,18.1935,0.9305,0.2084,3291.0731,0.4177,23.9251,117.816,75.5619,6.4377,0.1829,3.0026,0.0217,3.8238,37.9683,10.1277,25.8377,2.3029,1.0674,215.4854,13.0798,2.7392,5.1187,3.0232,15.6518,0.8154,9.9644,8.795,0.865,0.076,1952.0
75%,129.36200000000002,2.8365,23.99525,14.0607,25.89075,0.07935,199.2593,11.00135,25.906149999999997,29.495150000000002,12.74405,68.583,1.4726,19.348100000000002,9.6927,3.26445,18.60125,61.7977,7.6317,124.51795,357.50925,1.89155,38.188100000000006,385.8502,76.3866,34.20565,4.61435,0.48225,302.70105,38.86305,9.3875,2.15485,6.7479,0.222,126.42150000000001,12.84255,15.84095,220.38035000000002,2.747,19.15165,41.7769,21.202199999999998,2.69915,31.372799999999998,1.9818500000000001,15.636099999999999,1.2283,268.53915,9.102599999999999,17.667099999999998,61.3906,2256.43355,26.563499999999998,6.40665,58.07965,15.5154,6.5745000000000005,4.4176,8.078949999999999,0.2007,51.61945,9.52145,1.9881,131.42665,29.0556,16.48775,0.14165,22.55175,21.7989,86.6891,43.91395,27.8569,22.969549999999998,0.83605,16.41315,1.5215999999999998,8.701350000000001,7.3142499999999995,554.19985,107.7843,11.52485,6.206049999999999,45.1453,8.770900000000001,0.76155,0.02395,7.86975,1965.7224999999999,7.25005,165.34109999999998,21.4257,1.80155,0.53125,5097.673199999999,0.7153,35.89515,160.41584999999998,110.06075,8.8628,0.50615,4.152150000000001,0.0518,6.46225,51.64855,13.2929,88.9153,3.95515,1.7335,307.62530000000004,21.02085,3.6958,8.4814,6.479900000000001,18.60335,1.1269,20.11385,10.82885,1.51355,0.15139999999999998,1957.0
max,522.3195,7.5195,63.046,88.576,75.4364,1.4402,1029.3849,16.1447,77.1444,50.3375,37.322,163.3472,19.2643,89.7383,36.1908,6.9701,53.001,984.3214,25.5876,190.4357,764.5795,16.8489,73.79,1007.6256,153.1388,91.4244,16.9769,2.0094,597.5966,274.1932,20.7529,14.3145,47.6662,6.176,306.5197,108.2607,123.0558,628.059,16.8904,49.8416,72.3076,96.9095,12.177,113.4713,34.1412,36.2582,14.7401,836.2894,29.0802,40.2336,103.4159,5409.6526,65.5983,23.7082,174.6708,55.5562,20.4223,19.5636,182.3541,0.5379,155.6321,23.5358,4.2227,431.3772,70.796,44.4454,5.1923,53.6893,37.5543,236.6766,133.3696,81.4234,96.4531,3.9208,31.2636,5.1435,23.0524,16.1184,975.0418,190.8849,111.7297,63.7121,169.614,21.8503,3.2551,0.767,35.3777,5586.6467,16.7511,457.121,51.3061,14.7285,6.6119,11199.9059,5.6964,82.62,396.5218,402.443,24.6838,6.7303,12.9433,1.4426,85.0256,201.2202,42.4104,805.7755,15.2122,5.9852,1625.5737,72.5209,11.1785,55.6861,40.0478,34.1162,9.2733,141.4571,16.8614,10.8576,0.6418,1985.0
