,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000136869.16,2130,2986,2119,1888,4677,2563,4300,3813,545,3594,3918,1592,1964,2006,4503,3270,1698
ENSG00000136870.10,992,3370,2868,1511,2023,1304,2892,4343,458,3589,2236,1232,1113,1314,3761,1533,1938
ENSG00000136872.20,224,1046,277,184,128,158,440,1742,80,280,936,534,62,185,478,50,485
ENSG00000136874.11,1674,2075,2281,2294,2896,2225,3221,4213,756,3722,3430,1698,1648,2266,3842,2523,2765
ENSG00000136875.13,809,1317,1338,1747,1103,1241,1506,2457,388,1197,1378,725,975,1400,1350,1269,867
ENSG00000136877.15,892,1618,1196,1159,1466,1352,1507,1725,514,1267,1502,561,1135,1615,1742,799,704
ENSG00000136878.14,772,1135,1046,671,1655,977,1033,1126,466,1202,834,517,897,717,1271,623,662
ENSG00000136881.12,142,219,220,21,31,83,327,100,11,406,160,72,19,18,492,12,92
ENSG00000136883.14,794,3037,1377,457,48,328,2764,1417,390,3431,787,687,297,476,3393,131,1985
ENSG00000136888.8,1594,2188,2890,3494,2409,3024,3556,5356,604,2602,2871,1553,2082,3552,3495,2541,1782
ENSG00000136891.14,1050,1318,1279,1350,1909,1381,1490,2443,435,2145,1553,990,1323,1511,2098,1647,1252
ENSG00000136895.19,473,629,398,398,682,320,509,528,141,696,550,359,370,249,615,477,317
ENSG00000136897.8,478,932,966,759,876,844,1197,2111,219,1096,980,571,558,760,1502,851,854
ENSG00000136908.18,381,944,626,433,512,628,704,930,269,635,825,274,545,835,703,459,484
ENSG00000136918.8,6,13,6,10,22,18,14,24,13,22,20,0,14,24,13,16,18
ENSG00000136925.15,779,994,872,836,1122,897,1116,1454,349,1508,898,580,722,814,1445,935,845
ENSG00000136928.7,11,3,6,2,6,22,5,5,0,2,2,3,8,2,3,30,54
ENSG00000136929.13,1,2,18,4,23,2,0,9,0,8,0,3,0,0,4,8,1
ENSG00000136930.13,1788,2552,2411,2743,2119,2637,2903,3816,918,2741,3987,1475,1887,3217,3144,2288,1851
ENSG00000136931.10,1,14,2,0,173,0,3,1,8,1,1,0,1,0,139,0,2
ENSG00000136932.14,343,596,543,425,1020,493,714,915,149,786,514,289,271,367,900,504,484
ENSG00000136933.17,354,618,564,503,477,635,612,995,230,654,703,361,428,378,701,540,387
ENSG00000136935.14,990,1070,929,1085,1655,1134,1319,2055,507,2041,1567,795,830,1170,1997,1111,1321
ENSG00000136936.11,511,724,724,632,1159,702,677,1102,182,1009,593,398,414,460,1092,583,721
ENSG00000136937.13,2029,2810,3138,2817,3828,2805,3268,5359,791,4139,3343,1826,1974,3284,4375,2947,2878
ENSG00000136938.9,923,657,1193,696,1113,884,771,1322,587,1718,873,590,750,1293,1787,1241,1065
ENSG00000136939.1,6,27,17,8,22,10,8,4,2,31,7,7,7,14,24,9,10
ENSG00000136940.14,671,810,869,981,842,1064,1150,2113,287,1207,1060,643,711,903,1373,1174,668
ENSG00000136942.15,5742,7209,6652,6740,7532,7782,9413,11217,2082,7308,8042,3608,4798,8117,10142,8534,9208
ENSG00000136943.11,55,65,226,157,31,791,215,674,47,109,195,89,423,141,451,568,38
ENSG00000136944.19,9,24,10,0,28,15,59,4,5,71,35,1,7,2,61,4,38
ENSG00000136950.13,597,697,1025,919,889,1108,755,1726,311,597,1273,395,681,1728,1146,501,491
ENSG00000136960.13,2559,2419,3779,2686,4197,2028,3833,1790,392,3177,2849,1969,3747,1393,3491,1542,1476
ENSG00000136982.6,227,105,150,194,142,204,154,326,46,186,245,158,122,271,328,200,172
ENSG00000136986.10,2666,2398,2429,3478,2535,2905,2516,4500,601,2872,3118,2450,2903,3743,4006,2930,2159
ENSG00000136997.21,1409,2436,1833,1560,1856,1060,2541,2885,742,3139,1328,855,1408,1565,3290,1888,1537
ENSG00000136999.5,387,424,567,310,330,326,273,333,31,590,403,494,346,557,668,365,257
ENSG00000137033.11,267,684,1262,929,1902,517,949,468,18,1001,648,231,1134,219,1275,143,559
ENSG00000137038.8,625,891,1075,846,1147,1092,1175,1206,190,813,934,602,652,536,1207,1087,714
ENSG00000137040.10,1133,1244,1543,1773,2157,2041,1896,2930,389,1619,2086,1069,1177,1364,2379,1965,1322
ENSG00000137054.16,621,912,706,572,740,660,743,1390,206,890,687,416,574,581,817,887,1083
ENSG00000137055.15,1783,1193,1446,1714,1377,1567,1549,2238,326,1718,1908,979,1108,2081,1776,1468,1158
ENSG00000137070.18,224,399,234,228,663,242,318,331,145,497,210,137,215,98,421,283,196
ENSG00000137073.23,2738,2338,1977,1694,2166,2147,1927,2206,607,2541,1881,1269,1796,2404,2984,2126,1915
ENSG00000137074.20,1096,1135,983,1171,1222,1015,1279,1239,257,1628,1171,742,860,1446,1683,1070,1134
ENSG00000137075.18,1900,2555,1625,1574,2510,1665,1915,2805,486,3951,1824,1162,1172,1747,3181,1944,1641
ENSG00000137076.21,15604,17610,15723,15983,23907,17668,19624,24616,10319,26794,17545,8648,16898,14494,31817,19330,8453
ENSG00000137077.8,134,518,553,177,8396,573,372,757,257,1250,225,614,21,305,1022,20,113
ENSG00000137078.9,25,118,100,48,1090,92,105,40,13,71,72,37,33,62,102,17,27
ENSG00000137080.4,1,0,0,1,1,1,1,1,0,1,0,0,1,0,3,0,0
ENSG00000137090.12,0,0,0,1,0,3,0,0,0,0,0,1,2,0,1,1,0
ENSG00000137094.15,285,466,418,325,435,454,295,606,238,399,373,178,909,161,497,390,321
ENSG00000137098.14,59,72,39,58,135,55,78,93,23,150,39,42,28,49,86,75,46
ENSG00000137100.16,769,843,952,579,693,954,869,1199,242,982,676,341,596,579,955,609,537
ENSG00000137101.13,130,456,491,211,1561,265,872,162,13,428,234,157,278,164,433,107,119
ENSG00000137103.20,519,504,455,271,482,331,403,662,197,1255,302,214,420,221,888,410,490
ENSG00000137106.18,1898,2946,2381,1727,1992,2050,2835,4130,665,2033,2322,1162,1593,1857,2667,2096,1535
ENSG00000137124.8,1793,1595,1349,1160,1177,2397,1960,4692,1408,1119,4206,727,4127,737,1388,4154,1159
ENSG00000137133.11,5,9,13,2,31,7,10,8,3,16,3,2,1,5,16,3,5
ENSG00000137135.18,196,195,174,134,208,136,272,381,65,164,225,108,122,241,219,127,105
ENSG00000137142.5,80,70,105,43,23,81,127,139,44,87,88,43,77,143,100,79,75
ENSG00000137145.20,4905,6236,6779,6792,6587,5779,7027,8097,1412,7908,6879,6133,4416,5788,8932,6234,5504
ENSG00000137154.13,23493,29494,32660,28893,27793,29640,27671,41892,6052,31551,24882,17226,20074,18643,37909,44737,51143
ENSG00000137161.17,1172,2160,1498,1632,2214,1407,2564,2396,606,2040,1915,1181,1649,1922,3268,1386,1338
ENSG00000137166.16,900,404,650,405,683,308,487,484,838,1158,295,344,456,372,1458,582,802
ENSG00000137168.8,515,566,552,800,406,638,976,1581,231,381,1295,576,698,897,833,833,519
ENSG00000137171.15,1059,1149,853,1182,681,1135,922,2504,519,1158,1592,993,696,1240,2087,660,945
ENSG00000137177.20,6086,4125,4174,6190,3458,4507,4369,7854,1957,4464,5294,4878,4121,5106,4955,6611,2789
ENSG00000137185.13,670,529,458,924,851,722,561,1321,249,936,816,676,724,991,1018,924,536
ENSG00000137193.14,2312,1666,1295,2552,2737,2194,3297,4331,485,1275,1904,1180,2728,818,2571,2114,664
ENSG00000137198.10,63,343,252,65,107,128,426,111,54,441,197,117,79,131,255,49,177
ENSG00000137200.13,2162,2543,2271,2396,3030,2205,2996,3552,984,2749,4373,2068,2644,3307,3086,2301,2023
ENSG00000137203.15,399,34,116,228,38,384,45,219,55,36,110,101,406,374,73,212,74
ENSG00000137204.15,8,2,10,2,12,1,6,4,0,6,7,4,1,2,8,3,3
ENSG00000137207.12,2087,2745,1777,2132,1232,2156,2231,3680,967,1867,2475,1446,2258,2822,3383,1679,1667
ENSG00000137210.14,860,962,666,1226,797,750,940,1556,277,1058,915,634,739,1940,1079,1024,833
ENSG00000137216.19,1231,1425,1046,2236,747,1388,817,2412,1040,1184,1759,953,1525,1691,2781,906,730
ENSG00000137218.10,130,158,87,103,189,167,125,176,75,180,124,103,120,102,240,109,79
ENSG00000137221.14,752,790,589,629,863,656,664,1083,503,1167,739,491,695,704,1292,633,582
ENSG00000137225.13,17,38,27,52,50,19,42,12,4,56,27,6,16,5,31,9,10
ENSG00000137251.16,59,5,26,63,5,29,69,184,7,6,76,108,3,3,45,23,11
ENSG00000137252.9,1,2,2,2,0,1,3,0,6,3,1,1,2,0,3,3,0
ENSG00000137261.14,97,281,503,140,83,159,356,134,11,563,143,196,50,90,435,58,275
ENSG00000137265.15,142,381,289,134,3466,488,303,263,45,421,612,126,164,203,395,184,132
ENSG00000137266.15,1143,1037,1430,994,889,660,885,1080,700,1788,724,653,1355,1260,1361,1098,2009
ENSG00000137267.6,397,577,712,683,160,605,437,1345,259,317,397,190,572,279,395,396,738
ENSG00000137269.15,1303,933,999,3185,535,999,1279,2441,381,848,2209,2363,1083,1617,1829,1190,988
ENSG00000137270.11,4,5,3,16,10,6,4,20,1,3,14,8,12,7,7,0,0
ENSG00000137273.6,196,116,115,264,47,204,106,234,92,199,175,124,127,74,248,228,30
ENSG00000137274.13,315,411,285,410,375,352,366,601,218,676,346,211,297,355,539,351,452
ENSG00000137275.15,2447,2288,2192,2864,2522,2193,2012,4370,935,2946,2265,1088,1845,2110,2724,2073,1821
ENSG00000137285.10,38,167,163,72,92,65,191,234,34,144,36,53,80,19,154,90,110
ENSG00000137288.10,632,795,549,716,466,653,876,1112,367,729,851,581,707,822,908,840,619
ENSG00000137309.20,2531,2430,2455,6086,2140,2791,6059,7080,1260,991,3192,1500,2888,11046,3260,2886,822
ENSG00000137310.12,442,451,426,476,606,672,556,1400,283,401,1095,658,374,1105,596,428,297
ENSG00000137312.15,3960,3202,3352,3469,2701,4100,3555,5201,1295,3704,4470,1917,3591,4820,4768,3228,1659
ENSG00000137331.12,2226,1112,522,824,406,1501,1079,2737,763,167,1595,829,1533,1476,938,844,815
ENSG00000137337.15,709,556,479,537,1064,565,637,870,430,1551,639,559,627,1125,1242,835,612
ENSG00000137338.5,234,226,153,244,296,289,158,404,121,233,264,212,214,222,271,421,163
ENSG00000137343.18,386,268,185,221,381,289,203,453,236,564,304,295,278,253,428,340,198
ENSG00000137364.5,797,799,864,1447,515,920,889,2077,205,943,1173,742,659,1094,1009,942,795
ENSG00000137392.10,8,178461,23277,30,0,53,40891,1187,2,78493,10044,295,16,4,39629,2,132111
ENSG00000137393.10,1666,1959,1472,1995,1748,1425,2747,2061,142,2792,1936,1557,2810,1613,2851,848,990
ENSG00000137404.14,259,263,192,289,342,336,245,585,157,326,432,183,229,369,386,293,159
ENSG00000137409.19,4262,6590,4958,6442,4366,4610,5961,9552,1913,4973,6395,4717,6670,7463,6414,5302,3940
ENSG00000137411.19,32,18,14,31,54,12,17,41,10,36,40,18,19,23,25,17,15
ENSG00000137413.16,1151,1299,873,1285,1406,941,2271,1867,563,1997,1788,1148,946,1503,2706,1010,863
ENSG00000137414.6,1486,2101,1653,1875,1321,1637,1733,2615,496,2326,1722,1350,1067,1271,2925,1705,2255
ENSG00000137434.11,6,23,7,10,14,16,16,82,7,25,7,7,13,58,16,12,16
ENSG00000137440.5,20,162,34,97,40,250,166,385,195,14,92,767,769,78,94,18,7
ENSG00000137441.8,5,6,3,4,19,19,7,7,4,3,6,16,46,2,10,8,3
ENSG00000137449.17,817,1053,1211,1261,1105,1103,1054,1873,276,1458,1177,1068,786,2063,1705,1144,873
ENSG00000137460.9,596,460,794,466,345,490,224,1150,270,427,259,279,943,664,568,509,286
ENSG00000137462.9,1467,3728,2237,1744,2014,2010,3291,3070,251,3706,4317,2594,3358,8216,4379,2050,1149
ENSG00000137463.5,4,4,4,2,5,3,3,7,1,7,3,2,5,0,5,13,0
ENSG00000137473.18,6,4,1,5,2,3,1,3,0,2,2,1,14,42,0,5,0
ENSG00000137474.22,429,702,668,519,868,447,797,614,175,1138,718,481,421,658,1078,589,692
ENSG00000137478.15,1535,1672,1554,1537,4945,1761,1544,1623,465,2753,1921,1154,1396,865,2664,1427,1069
ENSG00000137486.17,1189,2450,1349,1182,1551,1286,1506,1702,619,2871,1007,755,719,366,2371,732,1023
ENSG00000137491.15,4150,7939,3440,3276,8021,3878,7565,3996,1612,9539,5580,2669,3890,3351,9646,4375,2059
ENSG00000137492.8,1729,2193,2365,2581,2500,2072,2628,3920,453,3093,2949,2388,1731,1217,4069,2637,4791
ENSG00000137494.14,608,634,678,779,649,652,670,1095,215,830,828,1273,470,395,881,574,434
ENSG00000137496.18,410,393,314,502,816,310,369,436,222,691,380,284,369,307,593,409,245
ENSG00000137497.18,7405,7741,5515,7386,8274,7928,8107,8436,3202,9126,6261,6141,6399,3488,9112,6175,4200
ENSG00000137500.9,1115,1223,1354,2317,1506,1871,1598,3301,371,1651,2112,2547,1141,1183,2248,1830,1106
ENSG00000137501.17,9561,3391,15006,8786,3717,5238,5120,16970,2266,3238,6076,5458,4947,1658,7501,7733,2144
ENSG00000137502.10,702,689,1084,992,3138,804,715,983,204,1274,988,816,705,388,1559,939,605
ENSG00000137504.14,3339,4483,4019,5007,4295,4501,4386,6447,972,4210,5219,5166,3489,2322,5161,3933,3216
ENSG00000137507.11,2530,2663,2453,4006,2458,1693,2052,2534,759,3461,1737,1601,2101,726,4848,1904,788
ENSG00000137509.11,1943,3440,3683,2817,3472,2846,4975,4591,710,3935,4188,2937,3584,1545,4872,2834,2436
ENSG00000137513.10,554,507,612,648,663,544,754,826,177,651,740,813,488,2237,862,584,502
ENSG00000137522.18,990,960,992,1677,961,1084,1143,1639,455,1534,1337,975,1184,534,1474,1244,654
ENSG00000137547.9,886,900,1067,1061,720,1281,938,1766,254,869,921,708,733,1594,2046,1073,614
ENSG00000137558.9,380,636,816,693,589,477,467,1072,30,664,1281,781,1131,1324,1391,1014,299
ENSG00000137561.5,13,11,14,3,0,9,57,28,4,67,34,8,3,5,48,5,37
ENSG00000137563.13,232,256,569,419,165,739,438,840,80,235,667,347,977,734,642,498,544
ENSG00000137571.11,110,205,558,128,262,183,235,229,39,238,204,249,94,84,261,98,123
ENSG00000137573.14,55536,24771,34776,52714,35451,52128,37620,108839,26463,36235,96357,20320,40681,18008,57594,53851,3625
ENSG00000137574.11,1643,1158,1521,1469,1664,1894,1373,2454,433,1411,1649,1169,1270,1420,2386,1665,1107
ENSG00000137575.12,5581,7256,9028,8989,4535,8082,12732,13653,1318,8657,7586,5315,7946,9102,12968,6706,4373
ENSG00000137601.17,1425,1174,1558,1688,1774,1735,1452,2098,419,2308,1589,1019,983,1303,2662,1848,1052
ENSG00000137628.17,2630,2948,6018,4789,3905,4764,7080,7904,808,2641,12870,4072,2510,10584,3737,2668,1136
ENSG00000137634.10,22,26,49,18,22,28,20,42,10,41,18,22,14,22,37,39,73
ENSG00000137642.13,11965,12522,13736,12840,12529,7944,16751,11777,2509,23317,12358,7868,10644,1816,21912,10264,8692
ENSG00000137648.19,9459,4040,6337,5402,2152,5701,2770,20877,3986,380,7000,3959,15975,12850,2306,2277,808
ENSG00000137656.12,733,631,685,786,803,729,851,1335,260,727,966,512,587,486,982,713,493
ENSG00000137672.13,451,256,459,337,445,430,278,641,107,488,547,323,161,258,521,170,146
ENSG00000137673.9,11251,13513,19109,2797,7573,20030,10669,44282,1308,29370,37270,10053,13092,5684,41126,5974,3204
ENSG00000137674.4,1,1,3,5,5,2,11,9,0,0,7,0,12,1,12,8,0
ENSG00000137675.5,0,0,1,1,0,2,1,0,0,0,1,0,3,0,0,0,1
ENSG00000137691.13,63,82,187,168,55,101,105,123,26,120,132,114,71,102,180,129,41
ENSG00000137692.12,1027,953,1030,1769,816,1837,778,2049,342,1036,1295,1622,1131,755,1307,1300,719
ENSG00000137693.14,6175,3995,4710,6303,2979,6134,4323,8790,1704,4933,7437,4007,6081,4112,6571,6386,2208
ENSG00000137699.17,2285,4206,444,2721,892,8198,1169,7945,1208,66,6883,2885,11800,1830,162,3850,39
ENSG00000137700.18,852,1845,1291,962,430,568,1387,1088,337,2291,936,874,468,1118,2036,396,1187
ENSG00000137707.13,3,1,2,3,5,1,0,2,0,2,2,1,3,0,0,4,0
ENSG00000137709.10,208,106,117,37,339,623,187,427,116,145,235,65,72,96,118,40,22
ENSG00000137710.17,1904,3793,3388,11318,2989,3834,4190,5456,621,4652,5958,3459,2939,4388,5305,3795,3139
ENSG00000137713.16,2090,3540,2860,3498,2277,2331,3315,4263,638,4852,3287,1421,1971,1345,3917,1820,3559
ENSG00000137714.3,621,864,846,864,623,705,1106,996,140,925,836,764,596,592,1054,435,797
ENSG00000137720.8,249,297,292,377,172,437,254,506,89,308,277,209,191,201,384,278,320
ENSG00000137726.17,265,343,303,169,197,269,357,319,147,324,183,149,208,60,362,216,149
ENSG00000137727.12,288,301,228,413,443,327,267,529,232,348,407,251,349,172,441,529,119
ENSG00000137731.14,135,794,293,64,93,76,878,160,15,2016,178,173,130,83,1127,35,492
ENSG00000137745.12,941,231,235,1352,51,2554,218,2490,1274,80,1031,2409,8603,55,78,1911,28
ENSG00000137747.16,114,150,195,19,61,104,252,117,12,241,287,130,362,77,201,297,113
ENSG00000137752.24,698,844,1026,847,1621,1210,1950,1103,136,1319,1747,1056,1027,2011,1431,872,465
ENSG00000137757.11,19,16,10,70,32,21,24,24,2,24,46,34,15,100,43,24,11
ENSG00000137760.15,715,547,608,876,915,1090,825,1106,144,925,850,627,479,332,1090,913,434
ENSG00000137764.20,722,525,557,806,890,717,620,1060,260,1390,784,579,423,260,1161,765,562
ENSG00000137766.17,20,45,75,268,9,61,69,163,9,22,233,116,7,0,66,18,13
ENSG00000137767.14,577,782,1172,1271,725,929,1050,2157,191,784,1606,574,823,1753,856,838,475
ENSG00000137770.14,1993,1741,2155,3171,2876,2793,2211,4496,605,3174,3106,1687,1717,1798,3619,2993,1783
ENSG00000137776.17,5217,4339,4986,6287,6371,6296,5321,8885,1457,5809,6646,4873,3769,4154,5797,4526,3610
ENSG00000137801.11,53118,43909,47118,54653,58268,95943,32127,133119,22526,64185,82565,33245,99988,27205,83671,123591,21432
ENSG00000137802.14,1084,1062,927,1732,1540,1223,923,1708,642,1517,1124,764,1290,555,1398,1358,821
ENSG00000137804.14,11,17,6,10,11,13,6,12,9,8,9,9,9,8,5,7,9
ENSG00000137806.10,321,368,460,401,303,424,403,682,115,453,559,257,287,209,540,417,326
ENSG00000137807.16,544,255,339,1014,428,1160,691,2080,226,295,1524,771,518,2299,506,808,340
ENSG00000137808.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000137809.17,4501,2251,2364,3679,2836,6030,2903,6700,8716,4706,7862,1878,5266,760,5612,13574,790
ENSG00000137812.20,866,303,813,1009,809,1589,599,1163,296,373,2109,753,510,1583,906,616,581
ENSG00000137814.12,658,695,888,1005,664,1166,756,1807,191,766,1140,622,735,763,1098,982,509
ENSG00000137815.14,1847,1378,1760,1848,2098,2242,1756,2805,755,2488,2165,1044,1454,1322,2536,1562,1229
ENSG00000137817.17,2185,1897,1558,1865,2616,2346,2200,2515,690,3035,2702,2216,1842,2412,2337,2074,1711
ENSG00000137818.12,16864,15197,19134,16354,12081,23741,12339,28700,6077,17065,13975,10334,13101,13743,18353,20691,12826
ENSG00000137819.14,362,678,305,1023,324,417,715,1552,313,990,1151,502,282,1576,977,450,543
ENSG00000137821.12,505,423,437,707,408,499,567,1044,109,565,608,537,471,428,645,624,232
ENSG00000137822.13,593,469,525,456,776,503,482,674,277,1032,669,459,463,369,917,585,710
ENSG00000137824.16,1074,1020,1199,1051,1005,1127,1796,1457,406,1317,1519,609,1074,813,1436,906,686
ENSG00000137825.11,98,52,349,356,143,91,103,280,34,29,136,37,43,102,120,58,55
ENSG00000137831.15,10506,5032,5731,16745,6518,11941,6806,16432,1780,8268,10555,9751,3927,6568,13473,8706,2721
ENSG00000137834.15,724,459,285,1155,614,929,499,1166,473,360,1109,439,366,172,597,646,592
ENSG00000137841.12,611,1119,747,508,2874,976,1509,1306,279,2481,866,455,645,409,2204,423,438
ENSG00000137842.7,1241,859,1177,1225,1263,1290,1029,2337,343,1179,3062,1020,540,1026,1475,722,824
ENSG00000137843.12,106,125,152,180,76,195,148,119,69,222,142,81,249,58,190,158,131
ENSG00000137845.15,9044,5977,7002,13956,6865,16228,9349,20962,2605,9283,18652,10802,10249,7570,11044,10793,4615
ENSG00000137857.17,592,338,317,1054,777,862,405,780,405,921,300,224,1351,264,604,659,230
ENSG00000137860.12,63,42,94,35,76,31,217,8,173,206,11,79,5,0,124,27,101
ENSG00000137868.19,1086,1046,675,1430,716,2096,1374,1341,118,1626,932,625,492,124,1513,596,43
ENSG00000137869.15,81,109,200,471,102,59,71,348,1,66,383,373,167,290,112,321,83
ENSG00000137871.20,1493,1131,1259,1595,1367,1669,1522,2509,333,2129,1975,1583,849,751,2136,1982,1616
ENSG00000137872.17,350,602,346,430,360,507,641,466,202,1004,396,235,394,55,974,625,647
ENSG00000137875.4,5,7,9,4,10,3,28,17,2,15,12,12,1,5,15,23,9
ENSG00000137876.11,2347,2021,2634,3913,2172,3103,2431,5743,436,2603,3071,2152,1659,1799,3515,4291,2759
ENSG00000137877.10,364,483,389,256,773,1699,308,496,137,251,721,288,374,176,294,382,249
ENSG00000137878.17,215,382,458,357,117,233,616,855,80,638,405,308,122,352,748,90,743
ENSG00000137880.6,20,31,26,8,36,23,42,19,9,7,14,4,19,7,32,10,13
ENSG00000137936.18,773,895,1112,1916,1435,1767,896,3442,432,735,1672,1182,2144,7988,1005,1160,450
ENSG00000137941.17,708,1185,1542,518,584,589,1580,1112,219,2298,714,989,270,1144,2001,657,2284
ENSG00000137942.17,3179,3822,5122,6197,1795,4716,4723,9745,983,5276,4866,6189,3748,3771,6814,4626,3264
ENSG00000137944.18,779,783,850,1143,895,952,1270,1649,244,1487,955,1255,757,1594,1681,937,819
ENSG00000137947.12,711,1048,1173,1567,927,1249,1399,3065,303,1126,1267,879,1169,1899,1446,1153,850
ENSG00000137948.18,0,5,8,14,2,3,2,1,0,0,2,0,21,0,8,48,0
ENSG00000137955.16,2027,2212,2466,3320,2860,2458,2849,5953,709,2629,3030,3263,2468,4796,3175,2655,2068
ENSG00000137959.16,645,2811,2699,3115,3501,4791,12533,2380,205,1816,17722,4816,2787,10389,2240,1466,634
ENSG00000137960.6,292,586,640,1023,182,538,928,1134,106,1360,591,463,154,187,1753,123,1684
ENSG00000137962.13,2417,3181,2706,3189,3545,1804,4122,4319,342,4011,4022,3046,1864,5255,7224,2829,2387
ENSG00000137965.11,756,1582,1968,2098,1978,2950,5994,2687,289,1937,7667,3396,2269,4733,1989,1553,648
ENSG00000137968.16,20,183,620,1287,727,1558,297,67,79,337,867,65,1381,2838,244,997,345
ENSG00000137970.7,24,39,51,59,46,49,66,96,11,90,37,40,58,78,118,79,93
ENSG00000137975.8,21,4,7,18,10,223,7,14,0,5,24,28,7721,55,6,167,20
ENSG00000137976.7,3,31,15,7,8,5,26,2,0,7,0,19,0,1,5,0,4
ENSG00000137992.14,1062,1397,1033,1499,1000,1317,1546,2045,413,1898,1471,1279,1251,1234,1888,1550,1575
ENSG00000137996.13,922,1199,1289,1821,1150,1634,1534,2460,367,1696,1705,995,1301,1669,1855,1336,1018
ENSG00000138002.16,2127,1897,1624,2093,1658,1983,1909,3096,846,3535,1718,1185,1441,1212,2605,1972,1651
ENSG00000138018.18,1968,2220,2932,4073,1630,2541,2734,4700,574,2415,3009,1551,2269,3589,3684,2241,2542
ENSG00000138028.16,487,263,430,232,183,247,228,261,41,301,147,163,140,67,599,179,184
ENSG00000138029.14,3024,4129,3580,5750,3134,4025,5008,6304,935,4480,4644,2518,3418,3944,5255,4203,3433
ENSG00000138030.13,106,118,73,50,61,72,87,88,15,107,61,41,36,48,147,66,150
ENSG00000138031.14,888,1262,954,896,1330,901,1144,1201,269,1367,785,569,700,615,1502,581,456
ENSG00000138032.21,741,1064,1125,960,919,859,825,1403,173,1815,1036,577,556,816,1481,956,988
ENSG00000138035.15,1239,1286,1198,1388,1218,1481,2179,2475,367,1547,2680,1002,1167,2069,1830,1649,1283
ENSG00000138036.18,873,935,897,1349,569,989,1081,1633,247,1186,1164,652,740,653,1335,1110,762
ENSG00000138039.15,117,54,35,48,92,80,69,88,33,58,133,20,28,6,64,123,3
ENSG00000138050.15,644,604,639,692,646,720,580,1115,153,879,675,453,566,592,889,777,574
ENSG00000138061.12,3541,3741,3945,4121,4348,2271,3304,2586,153,7085,4542,1841,5177,1079,9282,3377,1669
ENSG00000138068.10,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
ENSG00000138069.18,4355,4580,4779,7358,2710,5285,5028,8192,1138,5050,6695,3736,5213,5241,6193,5445,4454
ENSG00000138071.14,9230,7744,9486,20042,9774,12553,11693,21025,2788,12984,14333,7076,9006,10778,16153,12351,6389
ENSG00000138073.14,1380,2019,1487,1662,1377,1402,1838,2145,529,1595,1516,665,1358,1180,2261,1229,1604
ENSG00000138074.15,730,780,644,932,872,777,850,1186,435,909,908,535,861,725,997,711,473
ENSG00000138075.14,44,10,21,12,14,8,13,8,6,28,5,8,6,0,26,23,26
ENSG00000138078.16,2440,2395,3006,2722,2283,2404,3233,4651,633,4612,2861,2177,1763,2324,4766,2731,3297
ENSG00000138079.14,95,175,113,39,76,69,319,119,40,726,88,87,19,47,527,32,342
ENSG00000138080.14,6074,6633,3376,4325,4985,5142,5121,6879,4606,4075,6409,1878,9591,1838,8906,5411,1538
ENSG00000138081.21,2024,1588,1685,1891,3085,2198,2015,3033,616,3475,2107,1227,1829,1978,3437,2384,1648
ENSG00000138083.5,0,10,16,12,0,0,6,2,0,13,1,1,1,0,12,0,9
ENSG00000138085.17,1488,2173,1799,2516,1357,2288,2118,2986,563,1783,1696,1073,1724,2246,2595,1808,1476
ENSG00000138092.11,265,208,196,384,398,392,256,514,140,349,316,108,216,372,353,292,190
ENSG00000138095.19,5932,5351,5505,5112,5702,5773,6999,10765,1929,6503,6367,4113,4986,7158,8693,8115,5866
ENSG00000138100.14,101,105,37,11,23,198,86,65,20,13,3,48,35,15,76,33,1
ENSG00000138101.19,659,756,555,2136,857,1588,701,498,182,895,449,658,667,581,822,596,533
ENSG00000138107.13,2540,3529,2795,4045,2836,3808,4098,5680,1286,3239,3912,2522,2980,3317,4114,3166,1802
ENSG00000138109.11,322,705,123,454,24,354,165,340,210,67,287,161,37,53,87,22,23
ENSG00000138111.14,248,308,195,154,228,337,330,343,84,225,203,109,188,174,231,102,87
ENSG00000138115.14,41,92,84,46,46,45,121,37,6,111,50,62,17,35,85,20,90
ENSG00000138119.17,16677,9822,10968,24256,14015,18688,13193,30537,7219,10531,19122,8783,21671,17708,14763,29291,3544
ENSG00000138131.4,442,1265,1208,691,463,866,1874,1794,284,1586,1277,1061,1769,455,1740,674,533
ENSG00000138134.12,1231,787,781,1138,1775,1285,740,1629,436,741,1046,629,527,1069,1064,925,361
ENSG00000138135.7,253,285,147,143,215,228,225,214,19,164,227,111,435,37,355,205,125
ENSG00000138136.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138138.13,2356,2237,2336,3846,2403,3375,2769,5308,636,2704,3124,1681,2006,3261,3620,3212,1828
ENSG00000138152.10,45,57,14,52,20,43,23,80,114,16,43,35,11,27,30,77,20
ENSG00000138160.7,739,425,474,823,578,1139,737,1770,246,422,1325,653,605,2103,871,1006,477
