,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000004700.16,1852,1521,1786,3807,2519,2531,2324,3495,509,1947,3052,2167,1929,3066,2791,3655,857
ENSG00000004766.17,1701,1463,1757,2294,2075,2247,2172,6623,307,2281,2562,1931,1171,2544,3142,2305,1710
ENSG00000004776.13,53,58,67,24,119,16,16,22,24,57,5,11,24,7,358,7,46
ENSG00000004777.18,186,142,89,48,267,141,113,122,104,241,84,83,163,53,232,99,97
ENSG00000004779.10,917,930,1200,1265,666,1204,1033,1845,319,827,1569,909,883,1092,1406,934,728
ENSG00000004799.8,1467,37433,13290,2564,8357,1171,6676,5953,73,10429,2338,3436,967,2311,9880,590,7361
ENSG00000004809.14,4,19,30,5,9,9,32,11,2,15,41,11,16,18,16,9,11
ENSG00000004838.14,46,51,38,17,75,68,45,61,33,41,41,16,11,279,54,42,50
ENSG00000004846.16,24,34,36,61,67,21,41,48,9,35,12,20,46,3,30,35,17
ENSG00000004848.8,14,12,110,29,3,27,67,6,1,58,8,25,10,4,90,0,78
ENSG00000004864.14,1677,1367,1509,2488,1394,2050,1783,4609,317,1640,2701,1496,1539,1998,2190,1794,1106
ENSG00000004866.22,777,713,746,919,580,878,828,1113,266,870,1211,639,656,895,1042,952,1119
ENSG00000004897.12,2884,2573,2728,4483,3172,3749,3711,6571,1030,3795,5322,3520,3193,4382,5078,4381,2559
ENSG00000004939.15,1,5,1,6,7,3,0,2,3,20,5,14,2,3,5,7,2
ENSG00000004948.16,28,25,26,48,18,10,31,35,2,19,21,5,10,21,33,31,15
ENSG00000004961.15,429,401,622,487,452,594,492,986,141,442,594,296,489,712,560,386,288
ENSG00000004975.12,788,997,832,786,886,866,985,1249,467,1181,952,816,756,946,1251,918,527
ENSG00000005001.10,1615,724,2013,1275,286,576,448,2132,422,414,1627,333,1814,1083,835,825,165
ENSG00000005007.13,3221,3165,2951,2353,3150,2179,3270,3504,1500,4179,2621,2143,2665,2422,4340,2699,2344
ENSG00000005020.13,3430,2246,3396,4020,2596,4076,2706,5327,776,3189,3660,2927,2558,5866,4213,3262,1171
ENSG00000005022.6,3279,4217,5238,5171,2209,2965,5251,6838,1273,5194,4040,2486,3754,6424,5561,3148,5000
ENSG00000005059.16,696,796,1039,697,1526,996,761,1365,143,815,966,525,533,1457,1224,886,355
ENSG00000005073.6,59,0,114,66,10,72,20,27,0,6,21,13,62,0,40,40,5
ENSG00000005075.15,443,502,529,622,395,527,511,2646,199,430,521,379,487,818,548,465,311
ENSG00000005100.13,700,713,683,626,752,642,569,921,436,1104,647,678,738,821,1080,851,736
ENSG00000005102.14,316,433,411,975,250,212,391,254,4,681,122,206,51,17,818,58,83
ENSG00000005108.16,660,1254,1672,1415,1425,1100,1234,1424,207,1146,1582,747,779,375,1567,2240,323
ENSG00000005156.12,1477,1741,1388,1853,1661,1253,1645,2709,602,2147,1725,1644,1636,1498,1917,1391,1770
ENSG00000005175.10,894,695,1299,1488,1384,1175,1231,1528,268,1384,1771,642,1005,1130,1706,1197,818
ENSG00000005187.12,780,3417,709,232,1360,408,2739,1743,101,7331,1255,501,151,641,5396,165,1972
ENSG00000005189.20,197,343,136,120,144,193,208,251,59,545,230,147,97,282,449,125,149
ENSG00000005194.15,801,1065,1121,1441,967,1079,1314,1903,423,992,1559,830,971,1331,1192,1093,622
ENSG00000005206.17,1066,1166,926,664,1177,806,958,1277,685,1202,791,692,700,735,1371,448,751
ENSG00000005238.20,815,1087,809,1422,995,1535,850,2632,384,867,1045,495,1055,1027,1317,826,305
ENSG00000005243.10,551,751,639,833,350,671,547,1105,444,624,907,315,894,122,781,957,335
ENSG00000005249.13,294,732,495,288,904,247,837,429,67,1084,491,227,544,445,989,321,611
ENSG00000005302.19,1028,1079,1169,1267,2772,1346,1420,1789,392,1800,1607,991,1173,1446,1842,1422,737
ENSG00000005339.15,4872,3207,2849,3345,6562,2666,3133,3756,2148,8855,3504,2331,2904,2255,7538,4179,3112
ENSG00000005379.17,729,952,457,216,1349,624,857,783,610,1137,397,581,623,205,1103,817,887
ENSG00000005381.8,14,21,12,7,22,8,30,16,7,13,20,4,24,13,29,5,10
ENSG00000005421.9,3,35,127,57,12,26,46,86,2,96,200,38,23,15,65,22,81
ENSG00000005436.14,770,971,804,3299,860,726,1018,1285,164,1461,1157,984,705,685,1445,817,920
ENSG00000005448.17,274,310,261,638,368,462,343,509,150,330,397,365,301,692,387,402,137
ENSG00000005469.12,735,612,752,1182,581,1144,766,3214,144,831,1015,906,1068,453,896,1233,544
ENSG00000005471.19,138,117,399,189,1235,324,150,640,87,178,232,146,232,54,198,376,103
ENSG00000005483.21,5082,3965,4353,6339,9050,4165,4480,4634,1268,8491,5344,4166,4745,5272,8902,6119,4523
ENSG00000005486.17,1141,1740,1630,1866,1065,1803,1313,1873,386,1381,1405,869,1229,1733,1973,964,607
ENSG00000005513.10,41,289,101,55,126,50,196,97,69,108,35,100,50,11,126,32,59
ENSG00000005700.15,3540,4680,4573,6091,3527,4599,5457,8700,1061,5732,6530,5073,4320,6346,7291,6181,6315
ENSG00000005801.18,1094,1635,1850,2551,2266,1575,1693,3915,482,2525,3007,935,1176,1926,2524,1330,1969
ENSG00000005810.18,8443,11061,10891,9484,23018,10851,12959,12318,2555,14509,15764,8472,9622,11378,15930,9731,9406
ENSG00000005812.11,1527,1675,1865,2364,1689,2301,2139,3829,348,2454,2694,1610,1417,2016,3013,2819,1321
ENSG00000005844.19,480,851,608,351,3917,684,1311,336,155,1193,559,340,192,560,1187,176,290
ENSG00000005882.12,357,535,372,260,320,329,384,531,204,651,363,149,246,143,548,300,454
ENSG00000005884.18,9551,3497,5015,17800,8495,20692,4946,14907,4955,3856,17329,7534,17675,35587,5325,11570,1794
ENSG00000005889.16,3894,4024,2593,3275,3406,2731,2930,8269,1145,3785,4995,3010,3349,2332,3917,3453,3708
ENSG00000005893.16,5677,8017,7404,11146,4111,7033,12166,12147,1168,9700,12862,6536,9339,20830,10241,9606,6345
ENSG00000005961.19,27,26,12,21,45,25,21,38,31,24,28,23,61,14,39,45,11
ENSG00000005981.13,1,39,88,24,5,21,33,15,0,53,13,27,15,31,55,12,76
ENSG00000006007.12,1781,1956,2023,3859,1249,2989,2749,3406,832,2457,3435,2239,1923,2681,3198,2325,1678
ENSG00000006015.18,733,915,800,316,872,776,675,527,307,375,644,354,608,484,1032,401,412
ENSG00000006016.11,134,75,75,142,122,406,39,185,16,74,60,107,54,49,130,175,112
ENSG00000006025.12,1434,869,941,1456,965,1036,604,1784,888,1109,1538,1170,778,354,1269,557,626
ENSG00000006042.12,1994,2013,2246,2092,744,1424,2084,2663,791,2807,1961,1416,1592,434,3315,2187,1603
ENSG00000006047.13,30,13,25,9,4,9,10,16,2,20,5,13,9,5,61,3,24
ENSG00000006059.4,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0
