,C3L-01637-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000005302.19,1295,1267,1080,2162,1055,2098,1466,1058,1422
ENSG00000005339.15,2990,3345,3716,4936,3576,3695,6163,3833,4179
ENSG00000005379.17,537,216,728,475,963,467,836,663,817
ENSG00000005381.8,20,7,13,13,12,10,21,13,5
ENSG00000005421.9,30,57,25,40,78,33,46,42,22
ENSG00000005436.14,865,3299,1266,1533,862,1226,1423,817,817
ENSG00000005448.17,370,638,478,537,316,167,497,471,402
ENSG00000005469.12,1209,1182,537,1287,802,882,936,736,1233
ENSG00000005471.19,187,189,197,322,248,263,384,271,376
ENSG00000005483.21,5230,6339,6160,7094,5028,6113,8559,4772,6119
ENSG00000005486.17,1663,1866,1163,3281,1360,1041,1614,1076,964
ENSG00000005513.10,111,55,42,201,99,88,127,89,32
ENSG00000005700.15,5677,6091,3964,8287,3806,6459,6438,4388,6181
ENSG00000005801.18,1799,2551,2300,4363,1302,2481,2063,1363,1330
ENSG00000005810.18,12224,9484,9254,16101,11595,18521,17192,10872,9731
ENSG00000005812.11,2615,2364,2169,3224,1844,2557,2974,1751,2819
ENSG00000005844.19,887,351,404,685,818,2768,773,673,176
ENSG00000005882.12,562,260,437,598,285,442,409,269,300
ENSG00000005884.18,7898,17800,22228,6967,6210,2702,10347,8676,11570
ENSG00000005889.16,4095,3275,3336,8886,2739,4739,3519,2417,3453
ENSG00000005893.16,10311,11146,6662,12869,6327,6939,8561,6293,9606
ENSG00000005961.19,21,21,78,15,17,19,22,18,45
ENSG00000005981.13,29,24,14,35,182,4,83,35,12
ENSG00000006007.12,3544,3859,1596,4641,1775,1784,2946,2646,2325
ENSG00000006015.18,1068,316,518,1713,512,479,510,590,401
ENSG00000006016.11,43,142,90,68,79,38,46,58,175
ENSG00000006025.12,2072,1456,716,2038,839,521,921,762,557
ENSG00000006042.12,2233,2092,1099,3999,2038,1381,3036,2211,2187
ENSG00000006047.13,5,9,10,324,6,113,15,15,3
ENSG00000006059.4,1,0,0,0,0,0,0,0,2
ENSG00000006062.17,490,441,695,620,524,706,689,570,345
ENSG00000006071.15,1852,1513,798,1850,7554,19,4761,2483,20
ENSG00000006116.4,1,1,0,3,1,0,0,0,0
ENSG00000006118.15,698,610,1453,676,610,370,621,718,1142
ENSG00000006125.18,10051,10017,11881,7746,7759,9450,14110,8944,9359
ENSG00000006128.12,6,11,5,213,34,5,9,14,14
ENSG00000006194.10,1813,1940,902,3287,1085,1769,1874,1365,1702
ENSG00000006210.7,421,279,580,990,416,1151,780,593,667
ENSG00000006282.21,2236,1067,1489,1194,2200,604,2433,1966,1281
ENSG00000006283.18,20,15,32,4,23,20,11,21,34
ENSG00000006327.14,2459,4591,1312,3303,1260,828,1517,1658,2194
ENSG00000006377.11,0,1,11,22,9,0,20,7,23
ENSG00000006432.15,690,1119,1052,1316,869,589,915,648,1342
ENSG00000006451.8,3022,2712,2084,3973,1501,2027,2616,1858,2678
ENSG00000006453.14,4140,4236,1902,5177,1653,1240,1621,1326,2775
ENSG00000006459.11,5402,3787,3177,10446,2365,4920,3506,2210,4338
ENSG00000006468.14,1829,2253,1811,1515,1803,792,3320,2208,2977
ENSG00000006530.18,1792,1343,1622,2355,1177,1778,1591,1082,1473
ENSG00000006534.16,1564,3703,1471,1694,2621,449,1741,1308,931
ENSG00000006555.11,1883,740,787,2253,520,611,488,295,293
ENSG00000006576.16,2411,2865,2573,1861,2135,2411,2934,2276,3455
ENSG00000006606.9,25,38,39,72,21,62,22,17,40
ENSG00000006607.14,4822,4249,1717,10282,2661,3264,4139,3024,3858
ENSG00000006611.17,4101,3636,1305,9384,1748,1575,2182,1234,653
ENSG00000006625.18,678,497,425,1616,274,476,581,399,462
ENSG00000006634.8,661,542,661,1172,349,655,586,396,531
ENSG00000006638.13,37,45,49,43,30,50,43,26,20
ENSG00000006652.15,1012,1186,935,1502,358,1770,708,454,723
ENSG00000006659.13,0,0,0,0,0,0,0,0,0
ENSG00000006695.12,498,367,406,702,464,667,587,424,443
ENSG00000006704.11,1244,1111,1155,2294,676,543,980,769,1166
ENSG00000006712.15,1515,1489,1491,2068,903,1221,1110,958,1082
ENSG00000006715.16,7523,6088,4774,8655,5241,4882,7975,5889,6836
ENSG00000006740.17,567,209,511,815,495,448,826,535,142
ENSG00000006744.19,2529,1411,1554,2957,1503,1977,1845,1465,1612
ENSG00000006747.15,2606,672,586,3086,792,918,739,479,394
ENSG00000006756.16,3061,1620,2142,10201,2097,1401,3510,2431,1877
ENSG00000006757.12,438,227,201,888,237,332,314,212,236
ENSG00000006788.14,43,109,46,75,91,5,55,52,64
ENSG00000006831.10,4181,6015,2755,5063,2481,2807,5662,3695,3557
ENSG00000006837.12,54,51,48,69,50,30,58,43,40
ENSG00000007001.13,25,18,25,26,23,39,71,43,20
ENSG00000007038.11,232,71,12,470,46,47,645,496,353
ENSG00000007047.15,474,602,509,504,517,443,693,599,708
ENSG00000007062.12,12215,4527,4960,5703,2663,1224,8627,5068,1174
ENSG00000007080.11,911,257,653,840,223,290,373,271,305
ENSG00000007129.18,106,51,37,78,76,158,79,75,28
ENSG00000007168.14,6733,8115,5723,7865,6499,6937,8493,6137,7075
ENSG00000007171.18,22,44,36,877,5,160,24,16,24
ENSG00000007174.18,87,60,41,99,200,72,267,123,36
ENSG00000007202.15,6990,9840,8098,7504,5651,7216,8940,6227,7343
ENSG00000007216.15,33,1,3,119,8,1,56,24,0
ENSG00000007237.19,2002,3536,1721,1793,2945,2411,3670,3249,2781
ENSG00000007255.10,602,323,128,918,356,319,868,636,418
ENSG00000007264.15,324,56,43,118,100,304,104,87,73
ENSG00000007306.15,1754,938,5274,2272,815,3,2439,647,290
ENSG00000007312.13,120,21,27,41,123,328,70,38,32
ENSG00000007314.12,5,6,9,9,19,230,16,9,1
ENSG00000007341.19,858,1163,842,1591,795,966,1219,825,761
ENSG00000007350.17,3,4,3,444,7,16,6,3,24
ENSG00000007372.24,388,300,361,338,815,70,973,602,39
