,C3L-01637-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000110925.7,1274,1576,1637,1834,1155,1437,1563,1094,1518
ENSG00000110931.19,1825,2009,1791,2542,1552,2131,1966,1524,1857
ENSG00000110934.13,1036,402,368,708,582,1758,665,535,389
ENSG00000110944.9,66,88,43,58,38,128,52,61,69
ENSG00000110955.9,20453,14433,9475,22486,9410,13235,12097,8540,8820
ENSG00000110958.16,8054,9428,9068,8575,3689,7250,6523,3944,7317
ENSG00000110975.8,1,13,3,3,5,2,8,8,15
ENSG00000110987.9,596,380,533,791,400,351,466,381,540
ENSG00000111011.18,4421,5344,4403,6249,2903,4874,4280,2708,3078
ENSG00000111012.10,151,27,42,211,37,50,49,45,24
ENSG00000111046.4,3,0,0,0,0,0,1,0,0
ENSG00000111049.4,0,0,0,0,0,0,0,0,0
ENSG00000111052.7,373,271,423,234,450,320,847,428,280
ENSG00000111057.11,16224,43868,14645,22843,6274,10838,6407,4792,6673
ENSG00000111058.8,673,894,529,569,1079,1185,1428,1227,967
ENSG00000111077.18,1286,1948,1694,1847,2931,2187,3431,2558,1620
ENSG00000111087.10,485,781,334,602,555,460,1018,656,367
ENSG00000111110.12,2644,932,737,2359,1518,815,1990,1443,775
ENSG00000111142.14,3347,3554,3143,4022,2053,3147,3481,2260,2706
ENSG00000111144.10,7472,3095,2929,3623,2429,3773,2827,2334,3523
ENSG00000111145.8,1709,3129,2530,1518,1869,2391,2355,1721,2617
ENSG00000111181.12,240,73,83,135,28,98,40,31,57
ENSG00000111186.13,82,199,283,163,346,82,212,252,433
ENSG00000111196.10,938,946,718,1297,491,736,910,605,805
ENSG00000111199.12,927,338,217,221,586,157,295,239,281
ENSG00000111203.13,1114,880,707,1301,793,869,1120,853,1083
ENSG00000111206.13,338,410,741,781,119,226,407,362,355
ENSG00000111215.12,69,60,56,78,31,55,55,26,68
ENSG00000111218.12,3,7,3,2,6,1,8,6,3
ENSG00000111224.14,424,570,724,540,590,736,928,530,866
ENSG00000111229.16,7081,6761,3231,7091,2987,4777,3693,2541,3997
ENSG00000111231.9,640,597,485,630,367,552,544,375,555
ENSG00000111237.19,2519,2429,1894,2818,1309,2175,1740,1235,1634
ENSG00000111241.2,0,0,0,0,0,0,0,4,0
ENSG00000111245.17,2,0,4,0,0,4,0,1,0
ENSG00000111247.15,449,457,713,780,98,234,472,377,339
ENSG00000111249.14,10,2,20,2,6,37,12,3,2
ENSG00000111252.11,1446,1589,2081,1759,1343,2880,1860,1444,1232
ENSG00000111254.8,49,35,62,60,41,40,146,89,46
ENSG00000111261.14,1679,1495,1181,2498,991,754,2072,1234,759
ENSG00000111262.6,12,14,17,7,6,27,15,6,32
ENSG00000111266.9,3169,2934,2580,4870,2203,2544,4084,2587,2222
ENSG00000111269.3,4230,3647,2136,3447,3375,4158,5513,3763,2819
ENSG00000111271.15,1454,1239,1024,1804,1008,1212,1276,1032,1023
ENSG00000111275.13,6126,2851,932,4310,2117,3837,2753,1741,1003
ENSG00000111276.11,2393,2410,2003,2022,1322,3774,2946,2236,2158
ENSG00000111291.8,74,207,61,172,201,82,151,146,123
ENSG00000111300.10,2797,3038,2764,3168,1908,2701,2559,1801,2317
ENSG00000111305.19,2,29,10,6,12,14,65,34,11
ENSG00000111319.13,1079,3739,1627,6703,2579,449,4980,3292,2679
ENSG00000111321.11,3191,4877,2730,3479,1586,1720,2975,2309,3272
ENSG00000111325.16,60,73,57,68,78,47,77,66,74
ENSG00000111328.7,2563,3497,1979,2233,1922,1971,2777,2192,2877
ENSG00000111331.13,1994,3224,6819,22374,1519,3710,5419,5316,1476
ENSG00000111335.13,1416,1733,4126,16733,1046,3822,3276,2857,1029
ENSG00000111339.12,402,729,125,496,1144,638,896,733,77
ENSG00000111341.10,9440,15128,5580,14788,16628,25583,29483,20939,3561
ENSG00000111344.11,1375,650,755,1422,620,455,425,339,201
ENSG00000111348.9,6037,4330,2360,4088,2706,7927,5384,4066,2255
ENSG00000111358.14,1299,1606,817,1330,773,1192,895,757,1031
ENSG00000111361.13,2314,2128,1756,2258,1195,1615,1483,1122,1673
ENSG00000111364.16,1161,1092,1049,1304,624,1069,893,748,1087
ENSG00000111371.16,7755,13715,8203,7103,5581,10169,7349,4423,5807
ENSG00000111404.7,68,50,964,56,23,116,135,102,9
ENSG00000111405.9,6,22,32,34,24,25,46,34,8
ENSG00000111412.6,2784,4375,1492,3720,1421,1728,2020,1438,2107
ENSG00000111424.12,1854,1497,1236,1750,780,1087,785,872,1707
ENSG00000111432.4,10,27,23,8,93,24,18,2,13
ENSG00000111445.14,561,667,974,921,351,455,532,348,488
ENSG00000111450.14,949,1269,1150,1682,1084,1005,1328,1083,1548
ENSG00000111452.13,802,1086,460,1372,1899,671,3260,2771,248
ENSG00000111481.10,5298,5194,2637,7402,2685,3189,3928,2066,3079
ENSG00000111490.15,161,124,117,258,147,146,272,171,76
ENSG00000111530.13,11022,11831,9353,12896,7445,9049,11746,8334,9789
ENSG00000111536.5,18,4,8,3,7,44,2,0,1
ENSG00000111537.5,29,15,10,12,4,271,12,3,10
ENSG00000111540.16,4271,5208,3094,5161,3660,3549,5606,3226,3644
ENSG00000111554.14,546,646,764,786,576,847,924,646,757
ENSG00000111581.10,2315,3152,2823,2884,1326,2384,2451,1952,2430
ENSG00000111596.14,5341,7582,5036,6350,3871,4560,6045,3712,5086
ENSG00000111602.12,1034,900,1472,1193,500,728,711,553,564
ENSG00000111605.18,6490,6354,6342,8042,4196,5409,6425,3714,5024
ENSG00000111615.14,1777,2033,2213,2404,1664,2479,2243,1354,2069
ENSG00000111639.8,1857,2325,1331,2310,1204,1668,2327,1621,2155
ENSG00000111640.15,55753,52271,47120,35831,11244,20483,32289,21113,60649
ENSG00000111641.12,34,36,41,67,16,54,31,30,36
ENSG00000111642.16,711,887,692,744,424,626,689,524,709
ENSG00000111644.8,106,55,66,137,77,102,118,76,43
ENSG00000111647.13,2376,2481,1825,2434,1867,2108,2688,1756,2332
ENSG00000111652.10,1987,2206,1206,2301,1341,1384,1706,1507,1848
ENSG00000111653.20,1274,1407,808,1470,866,873,1431,1187,1504
ENSG00000111664.11,48,61,61,139,111,40,167,147,84
ENSG00000111665.12,217,243,270,692,76,105,231,172,176
ENSG00000111666.11,3309,1123,752,2984,1586,2504,2096,1344,1483
ENSG00000111667.14,2869,3617,2034,3733,1580,1900,2770,2147,2436
ENSG00000111669.15,23915,21694,13299,21383,6916,8252,16368,10972,19893
ENSG00000111670.16,5631,3795,3150,4012,3297,4677,4543,3438,5899
ENSG00000111671.10,650,393,268,965,302,206,383,330,188
ENSG00000111674.9,2201,2745,4229,971,1002,495,1430,1195,6069
ENSG00000111676.15,486,949,1468,820,1113,725,1760,1325,1417
ENSG00000111678.11,938,615,597,808,637,528,1231,668,738
ENSG00000111679.17,3219,1587,1197,2258,1204,2417,1512,1280,1199
ENSG00000111684.11,579,703,339,904,257,412,590,482,365
ENSG00000111696.12,1277,680,1636,2095,956,1116,1530,1064,1102
ENSG00000111700.13,17,764,9,3,76,0,111,102,197
ENSG00000111701.7,221,102,10,198,40,57,20,7,24
ENSG00000111704.11,16,1,5,5,2,3,6,6,0
ENSG00000111707.12,3849,4272,3222,4858,2672,2967,3637,2298,2866
ENSG00000111711.10,2054,4286,2498,2239,1381,1967,2482,1623,3704
ENSG00000111713.3,0,1,0,0,0,1,0,0,0
ENSG00000111716.14,194,432,703,135,107,497,426,207,309
ENSG00000111725.11,2461,1441,1497,3020,1471,1608,1709,1386,975
ENSG00000111726.13,2040,2230,1118,2158,659,1075,1914,1252,1474
ENSG00000111727.12,1946,1999,1826,1852,2037,1648,2658,1697,1946
ENSG00000111728.10,171,128,185,111,198,745,185,100,561
ENSG00000111729.14,37,32,10,19,15,30,28,21,31
ENSG00000111731.12,5348,2499,3169,4106,3185,3505,5581,3522,3852
ENSG00000111732.11,6,3,5,3,3,4,7,5,9
ENSG00000111737.12,1697,1807,1126,2563,1166,1456,1490,1122,1124
ENSG00000111752.11,406,486,571,601,567,371,817,704,746
ENSG00000111775.3,1895,1154,1024,1739,480,775,770,442,571
ENSG00000111780.8,0,0,0,0,0,0,0,0,0
ENSG00000111783.13,8,6,4,19,5,6,8,5,5
ENSG00000111785.21,1078,1092,1263,1997,992,1222,1695,1137,1102
ENSG00000111786.9,2229,1605,1501,2787,831,1248,1219,857,1119
ENSG00000111788.10,299,160,350,411,360,186,371,396,150
ENSG00000111790.14,2659,3933,2411,3078,2002,3218,3439,2623,3644
ENSG00000111796.4,198,133,136,84,244,289,419,323,60
ENSG00000111799.21,50256,46150,34945,22448,15489,17922,24318,38353,215915
ENSG00000111801.16,1532,1847,1042,4545,1228,4144,2616,2296,1320
ENSG00000111802.14,1857,1669,1686,2303,1400,1390,2705,1590,1497
ENSG00000111816.8,2220,7604,2504,6377,2586,2767,7653,4739,3026
ENSG00000111817.19,3123,4419,3179,2535,2594,4322,3941,3387,5888
ENSG00000111832.13,1268,1609,865,1740,1156,1589,2034,1186,1576
ENSG00000111834.13,42,75,42,34,54,62,65,52,53
ENSG00000111837.12,143,308,429,244,281,250,499,298,265
ENSG00000111843.14,2744,2284,2520,2613,2185,2180,2340,1789,2264
ENSG00000111845.5,693,639,652,776,555,705,754,539,744
ENSG00000111846.19,644,976,821,469,404,594,1029,869,373
ENSG00000111850.11,403,529,417,448,402,616,709,481,634
ENSG00000111859.17,3633,5226,3273,4633,5756,5905,4750,4541,3797
ENSG00000111860.14,997,923,779,907,1363,2872,1774,1065,1026
ENSG00000111863.13,662,1052,67,1847,19,173,99,93,192
ENSG00000111875.8,559,770,515,1007,555,1095,1160,848,878
ENSG00000111877.17,1236,1219,898,1738,820,1551,1515,1192,1286
ENSG00000111879.20,139,92,213,261,237,247,450,212,81
ENSG00000111880.16,1280,1641,1155,1796,917,1886,1435,1089,1713
ENSG00000111885.7,5867,4825,3778,5285,6112,7236,8964,4999,5109
ENSG00000111886.11,64,141,102,111,59,104,101,68,203
ENSG00000111897.7,12053,16824,9743,13693,12791,12772,16576,13335,12763
ENSG00000111906.18,947,1260,747,1262,732,1081,1562,969,885
ENSG00000111907.21,548,542,1263,336,404,701,983,552,424
ENSG00000111911.7,1559,1686,1235,2474,981,1213,1762,1168,1396
ENSG00000111912.20,3924,3898,4456,9063,2551,8628,4902,3852,3532
ENSG00000111913.20,568,298,281,564,870,3137,1112,792,371
ENSG00000111961.18,1678,1977,2068,2060,1987,3788,2824,1932,1950
ENSG00000111962.8,313,480,450,576,370,1125,1159,918,744
ENSG00000111981.5,16,23,37,34,3,7,11,11,27
ENSG00000112029.10,201,234,552,629,157,290,356,252,357
ENSG00000112031.16,250,381,415,503,263,364,594,394,353
ENSG00000112033.14,742,1068,1226,761,609,728,851,653,894
ENSG00000112038.18,25,23,7,22,28,0,176,72,2
ENSG00000112039.5,168,117,381,358,145,164,202,181,179
ENSG00000112041.13,1,16,24,23,19,7,20,11,26
ENSG00000112053.14,56,115,61,200,59,106,85,76,36
ENSG00000112062.11,3570,4950,3570,5519,2869,4013,4117,3191,4285
ENSG00000112077.17,1,8,3,1,2,10,6,5,1
ENSG00000112078.14,4968,6406,4039,6082,4597,6415,6916,6105,6262
ENSG00000112079.9,3206,4605,4347,5455,3587,4243,6255,4923,5041
ENSG00000112081.17,8078,7890,7333,10126,4873,10778,8566,5755,8240
ENSG00000112096.19,23560,13784,14352,16112,9948,28520,27668,21157,22829
ENSG00000112110.10,1154,1262,1088,1939,758,1222,1459,1005,1147
ENSG00000112115.7,0,0,1,0,0,1,1,0,0
ENSG00000112116.10,0,0,1,0,0,1,0,0,0
ENSG00000112118.20,2525,2006,5083,5432,1497,2640,3118,2225,1942
ENSG00000112130.17,736,1036,939,1533,545,681,933,740,694
ENSG00000112137.18,360,398,470,426,319,941,519,377,421
ENSG00000112139.16,226,321,260,375,489,252,310,260,538
ENSG00000112144.16,1964,1965,1517,3009,1320,1839,2322,1513,1931
ENSG00000112146.17,1736,1811,2422,2398,1514,2009,2455,1496,1704
ENSG00000112149.10,1427,577,603,1044,274,3359,366,409,572
ENSG00000112159.12,6710,8878,6166,12946,6011,11383,10501,7664,9543
ENSG00000112164.6,218,120,279,475,544,11,495,325,37
ENSG00000112167.10,495,489,509,981,642,593,745,558,513
ENSG00000112175.8,154,133,148,341,641,14,782,310,6
ENSG00000112182.15,282,308,246,147,399,563,520,349,797
ENSG00000112183.15,20,25,35,29,26,107,21,14,17
ENSG00000112186.12,150,288,567,424,257,355,323,255,392
ENSG00000112195.9,31,20,24,71,31,71,30,20,22
ENSG00000112200.17,4024,5372,6347,6470,3541,5335,5885,3823,4962
ENSG00000112208.11,307,710,725,340,324,781,570,487,951
ENSG00000112210.12,632,1082,1016,910,692,980,1334,1068,1647
ENSG00000112212.12,30,53,23,89,28,21,35,11,17
ENSG00000112214.10,415,389,221,952,1175,367,2187,1007,48
ENSG00000112218.9,329,407,308,648,538,178,450,444,503
ENSG00000112232.10,33,11,15,18,31,37,28,32,20
ENSG00000112234.9,2734,2722,1941,3593,2322,3194,4025,2762,3053
ENSG00000112237.13,1951,2888,1412,1903,1308,1888,2676,1602,2179
ENSG00000112238.12,0,0,0,2,0,1,0,0,0
ENSG00000112242.15,642,1472,1526,1068,609,1205,866,662,1014
ENSG00000112245.12,61,13,85,129,29,40,76,52,23
ENSG00000112246.10,292,207,329,333,725,1,31,16,4
ENSG00000112249.14,6091,6759,4191,9461,5407,8281,7872,5404,7624
ENSG00000112273.7,0,0,0,1,1,0,0,0,3
ENSG00000112276.14,150,240,279,149,218,104,220,193,249
ENSG00000112280.17,65,86,51,338,134,29,53,67,5
ENSG00000112282.18,3063,3215,2652,4499,2405,3526,3913,2876,3366
ENSG00000112290.13,193,251,429,167,216,144,281,195,369
ENSG00000112293.15,140,123,141,206,184,190,327,225,122
ENSG00000112294.14,595,323,515,1434,754,842,1168,759,359
ENSG00000112297.18,4100,3856,3304,4221,3118,5831,4707,3508,2768
ENSG00000112299.8,17633,4009,656,3841,1037,2743,787,513,113
ENSG00000112303.14,622,265,492,369,515,653,1855,879,44
ENSG00000112304.11,673,670,651,1239,626,760,1102,677,594
ENSG00000112305.15,508,644,453,919,305,473,690,490,570
ENSG00000112306.8,28863,21846,21205,31582,11071,30158,24073,13090,25026
ENSG00000112308.13,3161,4652,5179,5206,3538,6244,6140,3445,4530
ENSG00000112309.11,87,89,79,103,60,111,98,69,97
ENSG00000112312.10,610,343,992,964,311,293,971,658,335
ENSG00000112319.19,52,349,352,73,99,214,397,256,658
ENSG00000112320.12,211,233,352,250,393,283,509,366,331
ENSG00000112333.12,0,1,1,0,1,0,1,1,0
ENSG00000112335.15,3906,3380,2175,4199,2302,3472,4022,3092,3478
ENSG00000112337.10,0,1,0,0,5,0,2,1,0
ENSG00000112339.15,2137,3007,2374,3159,1998,2757,3598,2334,2966
ENSG00000112343.11,1997,2439,3141,4050,2104,3539,3539,2567,2523
ENSG00000112357.14,423,456,290,764,292,366,371,292,408
ENSG00000112365.5,692,808,606,1314,653,1142,944,677,888
ENSG00000112367.12,2346,2159,1681,2946,1616,2620,3012,2028,2493
ENSG00000112378.12,6949,17665,4889,9135,3802,6538,9553,5868,17306
ENSG00000112379.9,4922,3086,4067,11043,4921,2908,6403,3974,2545
ENSG00000112394.17,1095,941,545,242,161,172,640,559,766
ENSG00000112406.5,2509,3403,2253,3807,1740,3999,3398,2407,3244
ENSG00000112414.15,4681,12705,2637,6058,2144,6883,6387,4201,2168
ENSG00000112419.14,4890,5725,3128,8132,4168,5521,6044,4547,4579
ENSG00000112425.16,465,416,465,622,395,659,614,386,294
ENSG00000112462.8,1,0,0,0,0,1,0,0,0
ENSG00000112473.18,4724,6327,3532,7495,3937,2936,5077,3620,3910
ENSG00000112486.17,14,6,3,15,14,45,23,22,2
ENSG00000112494.10,14,53,3,620,0,4,1,1,21
ENSG00000112499.13,6,8,7,20,2,4,5,7,6
ENSG00000112511.18,1074,1468,1398,1663,1048,1391,1148,926,1247
ENSG00000112514.18,2176,1451,1753,2813,967,1298,1475,1035,1612
ENSG00000112530.11,70,47,76,70,113,28,203,88,46
ENSG00000112531.17,7041,7397,7479,5127,4835,8125,9509,6323,8422
ENSG00000112539.15,6,2,105,0,5,0,6,6,4
ENSG00000112541.17,632,1477,1274,575,1167,603,1287,885,2708
ENSG00000112559.15,691,1278,655,972,581,635,419,395,889
ENSG00000112561.19,694,567,444,1163,833,532,826,637,470
ENSG00000112562.19,1547,3192,2095,3591,3596,2624,2572,3823,4959
ENSG00000112576.13,1740,1397,1418,2825,2259,1876,2850,2226,1097
ENSG00000112578.10,263,287,536,550,255,416,460,238,278
ENSG00000112584.14,1885,2190,2103,2555,1850,2261,3036,2021,2461
ENSG00000112592.14,526,539,509,587,391,661,522,434,607
ENSG00000112599.9,41,55,74,47,43,30,50,48,65
ENSG00000112619.8,91,131,131,80,181,82,181,147,157
ENSG00000112624.12,1108,1458,1754,2113,1749,1986,2600,1542,1506
ENSG00000112640.16,674,809,963,1162,602,791,934,611,837
ENSG00000112651.12,54,33,52,67,44,39,58,49,32
ENSG00000112655.16,3729,6607,5161,2368,3805,1798,5494,4877,11979
ENSG00000112658.8,937,1057,1102,1753,930,1654,1157,913,1582
ENSG00000112659.14,1464,1603,2191,2252,1483,1813,1707,1519,1291
ENSG00000112667.13,896,238,664,1719,443,433,694,382,218
ENSG00000112679.14,1462,1505,1043,2030,1538,1931,1801,1461,1321
ENSG00000112685.14,2086,2851,1471,3048,2138,2719,2992,2095,1672
ENSG00000112695.11,2880,2391,1163,4076,1398,2389,2227,1762,1912
ENSG00000112697.17,9091,10814,6321,9009,6648,8792,12096,8142,10731
ENSG00000112699.11,3255,1470,500,3133,1311,2924,1501,847,644
ENSG00000112701.18,4639,5110,3855,7358,4749,6774,7752,5252,6426
ENSG00000112706.12,91,132,96,129,47,127,118,77,95
ENSG00000112715.25,10560,14046,20009,11767,3612,6350,5829,5925,12268
ENSG00000112739.17,4784,7227,4053,5715,4344,6318,7349,4432,5411
ENSG00000112742.10,304,361,633,1057,108,339,463,308,399
ENSG00000112759.19,2380,2406,2836,2791,2162,1797,4170,2622,1294
ENSG00000112761.21,4,558,3,4,2,14,211,230,397
ENSG00000112763.17,1284,1684,965,2599,1099,1668,1479,1233,1492
ENSG00000112769.20,7416,13407,7312,7956,4205,12617,9214,7640,18288
ENSG00000112773.16,1741,2142,1890,4157,2382,2983,5419,3065,3507
ENSG00000112782.19,374,532,356,1946,631,1287,678,520,258
ENSG00000112787.13,409,463,601,976,537,433,557,450,505
ENSG00000112796.10,352,350,836,300,648,100,1066,709,545
ENSG00000112799.9,422,241,147,382,295,556,320,303,203
ENSG00000112812.16,139,112,258,189,75,66,178,74,73
ENSG00000112818.10,3,155,0,2922,6,7,15,3,3
ENSG00000112837.17,242,286,241,974,294,709,886,690,1496
ENSG00000112851.15,9347,16076,11456,12941,8442,8049,11907,7713,11799
ENSG00000112852.7,20,42,137,28,54,17,35,40,32
ENSG00000112855.17,2008,1982,1353,2524,1057,1528,1518,1182,1456
ENSG00000112874.10,1497,1304,953,1748,839,933,1212,677,557
ENSG00000112877.8,213,285,360,455,198,300,299,276,331
ENSG00000112893.9,9255,7450,6007,8900,6020,7665,9285,5260,6768
ENSG00000112902.12,2279,4536,2953,2602,3079,2158,4056,3265,4112
ENSG00000112936.19,14235,17153,9095,17895,96942,70518,62918,33529,1202
ENSG00000112941.14,1199,1999,1647,2198,1085,1794,1431,1044,1761
ENSG00000112964.14,319,472,339,373,979,2584,955,630,386
ENSG00000112972.15,7314,2472,1926,3285,1559,3583,4445,2850,1886
ENSG00000112977.16,3159,3311,3771,3409,3132,2100,5246,3472,3194
ENSG00000112981.5,142,93,120,107,148,78,236,114,65
ENSG00000112983.18,1976,2419,2104,3352,1548,1747,2692,2094,2011
ENSG00000112984.12,605,527,1179,1061,188,252,620,496,450
ENSG00000112992.18,5297,3024,3157,4889,2889,3718,3829,2741,3734
ENSG00000112996.11,2695,2274,2444,3108,1572,2301,2532,1603,2363
ENSG00000113013.16,13191,9569,9143,18564,6320,10663,8813,5766,7773
ENSG00000113048.17,1778,1926,2159,2622,1756,2480,2398,1848,2244
ENSG00000113068.10,1274,1115,923,1549,1063,1094,1278,898,964
ENSG00000113070.8,2937,1693,943,1762,341,4136,501,414,818
ENSG00000113073.15,22,14,22,24,20,11,46,36,11
ENSG00000113083.15,2139,3183,4735,1151,1746,2219,3131,2328,7679
ENSG00000113088.6,70,47,20,66,94,317,95,92,13
ENSG00000113100.10,0,3,0,1,10,0,0,0,1
ENSG00000113108.19,591,414,560,615,400,619,473,359,443
ENSG00000113119.13,402,215,448,574,349,390,499,361,294
ENSG00000113140.11,73523,125527,64532,58598,53092,83371,127552,109754,150824
ENSG00000113141.18,3670,3140,3094,4488,2319,3097,4065,2564,2060
ENSG00000113161.16,3730,2365,2144,5447,2532,3133,5907,3435,2431
ENSG00000113163.18,3187,3294,3498,3828,2353,3635,4327,2919,3027
ENSG00000113194.13,3201,3659,3065,3738,2336,2585,3288,2474,2847
ENSG00000113196.3,0,0,2,0,0,0,0,1,0
ENSG00000113205.5,87,128,169,549,121,81,156,145,116
ENSG00000113209.9,96,135,472,161,280,78,245,165,97
ENSG00000113211.5,29,34,168,105,43,12,54,39,33
ENSG00000113212.7,48,85,89,94,77,39,176,100,80
ENSG00000113231.14,100,115,153,119,171,126,167,101,83
ENSG00000113240.13,1742,1531,1580,1957,1576,2363,2725,1848,1707
ENSG00000113248.6,175,222,268,261,316,195,416,232,258
ENSG00000113249.13,397,111,49,705,381,42,1024,754,50
ENSG00000113262.16,30,52,36,89,68,34,68,70,59
ENSG00000113263.13,718,485,238,413,1129,3301,969,818,167
ENSG00000113269.14,2994,1620,2158,4355,1995,2502,2450,1905,2360
ENSG00000113272.14,851,453,438,745,429,608,508,468,657
ENSG00000113273.17,1272,1227,891,1491,1010,1163,1739,1249,1556
ENSG00000113282.14,15645,6192,7467,10294,4972,6456,8803,5516,4632
ENSG00000113296.14,1861,3028,1221,1976,4838,3816,14882,8000,1046
ENSG00000113300.13,2296,1967,3186,2652,1766,1867,2982,1838,1986
ENSG00000113302.5,6,12,4,10,6,44,28,19,17
ENSG00000113303.12,2429,458,5,1901,34,68,59,30,18
ENSG00000113312.11,1801,1797,1439,2141,1320,1664,1976,1443,1450
ENSG00000113318.11,1350,1702,1902,1826,1515,1857,2455,1660,1714
ENSG00000113319.13,1150,2204,1376,965,893,1156,1470,1699,4913
ENSG00000113327.17,15,31,15,9,62,1,17,14,0
ENSG00000113328.19,4821,3566,2717,3959,2732,5497,4506,2576,3096
ENSG00000113356.13,138,191,262,63,48,287,152,69,113
ENSG00000113360.16,1622,2527,3196,3035,1750,2067,2944,1958,3090
ENSG00000113361.13,1829,5942,1004,1786,1127,845,1450,1014,500
ENSG00000113368.12,1591,957,2478,2529,522,1341,1480,1012,636
ENSG00000113369.9,9497,8619,11601,7207,6246,10267,13887,9042,7295
ENSG00000113384.14,3212,4124,3117,5231,3026,3602,4669,3135,3429
ENSG00000113387.12,3694,5547,4041,5651,3095,6198,4867,3047,4249
ENSG00000113389.16,6081,3472,2989,2237,2645,1099,743,1561,4816
ENSG00000113391.19,1282,2124,1611,1961,1692,1853,2238,1419,2200
ENSG00000113396.13,14,36,5,28,66,4,15,14,4
ENSG00000113407.14,3460,7176,4355,7250,3084,4070,4513,3295,5410
ENSG00000113430.10,0,1,0,4,0,3,2,1,10
ENSG00000113441.16,9108,10588,8505,10143,9302,11455,12683,8971,10111
ENSG00000113448.19,1860,2946,3010,2958,4304,3569,3126,1937,2275
ENSG00000113456.19,1036,1144,1333,1601,835,1034,1168,949,1443
ENSG00000113460.13,929,930,936,1386,649,1011,924,649,1093
ENSG00000113492.14,2,1,0,10,2,0,2,1,3
ENSG00000113494.17,595,196,410,2082,386,359,1113,447,394
ENSG00000113504.21,10485,2832,3048,5300,2235,1954,3092,2177,2367
ENSG00000113520.11,1,6,5,1,8,11,4,1,8
ENSG00000113522.14,578,459,258,673,397,347,528,422,315
ENSG00000113525.10,15,34,28,82,23,25,32,17,29
ENSG00000113532.13,1497,1198,1231,1524,1494,3000,1280,1060,1297
ENSG00000113552.16,2310,1984,1450,2510,1016,1726,1652,1237,1316
ENSG00000113555.6,486,867,982,768,521,853,1189,756,910
ENSG00000113558.19,6077,5782,4366,7893,3791,5021,5672,3826,4240
ENSG00000113569.16,3404,3515,4681,4843,2285,3008,3830,2563,3569
ENSG00000113575.10,4591,4323,3854,4875,2763,3729,4264,2626,3341
ENSG00000113578.18,286,365,244,239,484,138,210,284,1021
ENSG00000113580.15,6076,6586,5019,5751,6323,8482,8305,5855,6267
ENSG00000113583.8,3599,4289,2812,2581,1569,2664,2779,1756,3473
ENSG00000113593.12,1503,2263,2170,2944,1629,2594,2429,1746,2188
ENSG00000113594.10,2113,1768,1657,1741,3164,7298,3786,2071,1842
ENSG00000113595.15,937,1335,1211,1283,972,1453,1675,1065,1532
ENSG00000113597.18,918,1229,892,2130,820,1193,1078,823,906
ENSG00000113600.11,14,37,5,19,13,17,26,36,53
ENSG00000113615.13,3261,3364,3246,3861,2337,2373,3567,2284,3220
ENSG00000113621.15,3164,2381,2240,3377,2420,2249,3365,2402,2887
ENSG00000113638.14,1057,1097,1093,1199,943,918,1555,967,1071
ENSG00000113643.9,4306,4198,3182,5029,2785,3835,4082,2952,4381
ENSG00000113645.15,2667,2957,3428,3007,1225,1031,2611,1976,1517
ENSG00000113648.16,9710,6582,6690,13553,3730,5510,5755,4586,5444
ENSG00000113649.11,4533,4256,4113,6299,2368,4419,3381,2430,3254
ENSG00000113657.13,9173,15569,12636,6327,6464,7682,12594,13029,21744
ENSG00000113658.18,4989,4757,4297,6651,4204,4681,6275,3929,4825
ENSG00000113712.19,7653,8793,5994,10166,4874,5918,6771,5536,6499
ENSG00000113716.13,3773,4561,2783,3908,2476,3237,3502,2904,3464
ENSG00000113719.16,9850,7594,5430,10459,5465,5131,6593,4771,4830
ENSG00000113721.14,10147,18722,11144,13270,13325,9184,23436,15431,15345
ENSG00000113722.17,29,206,6,2375,11,129,72,29,41
ENSG00000113732.9,5547,4726,2364,5609,3435,4001,5018,3547,3908
ENSG00000113734.18,374,290,216,377,266,294,276,162,226
ENSG00000113739.10,309,608,484,637,237,222,561,350,815
ENSG00000113742.14,4086,4075,2871,3114,3477,3074,4871,2823,2800
ENSG00000113749.7,128,102,100,79,165,167,270,207,165
ENSG00000113758.13,2649,3752,2826,1981,1233,1750,1474,1462,2468
ENSG00000113761.12,577,580,762,855,633,561,857,673,545
ENSG00000113763.12,24,12,42,20,55,15,37,31,36
ENSG00000113790.11,953,737,661,746,603,694,1195,836,664
ENSG00000113805.8,377,180,649,109,326,50,782,419,585
ENSG00000113810.16,2848,2573,7108,3558,1566,2193,4100,2695,2051
ENSG00000113811.11,1567,951,809,1096,714,1477,990,718,1186
ENSG00000113812.14,1510,1261,1010,1789,1174,1480,1681,1290,1302
ENSG00000113838.13,1038,763,801,925,553,832,853,690,776
ENSG00000113845.10,2323,2443,2380,2608,1495,1879,2014,1576,1941
ENSG00000113851.14,2613,2061,2054,2543,1927,2919,2909,1975,2560
ENSG00000113889.14,31,5,12,23,11,7,16,2,6
ENSG00000113905.5,1,7,2,0,1,0,0,1,2
ENSG00000113916.18,2521,1692,2004,1382,1267,2370,2071,1214,1807
ENSG00000113924.12,818,394,598,708,673,236,1411,612,143
ENSG00000113946.4,84,74,72,66,38,43,77,54,52
ENSG00000113966.10,539,691,483,623,451,430,792,469,627
ENSG00000113971.20,548,858,799,406,397,639,603,497,797
