,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000105227.16,117,268,240,163,258,493,277,253,170,171,363,256,280,234,351,172
ENSG00000105229.7,529,631,347,562,419,669,774,613,404,370,408,403,513,372,799,462
ENSG00000105245.9,453,1233,566,678,482,1475,591,984,658,378,605,1440,461,791,1224,213
ENSG00000105246.6,31,26,56,114,68,32,102,64,11,26,20,27,32,48,80,41
ENSG00000105248.16,343,261,217,267,270,268,447,284,173,235,210,212,278,199,436,245
ENSG00000105251.11,24,0,3,10,1,0,54,4,1,3,0,1,1,4,7,6
ENSG00000105254.12,1411,1315,1616,1262,1235,1840,2520,1263,1456,1028,1890,2140,1781,1680,2076,577
ENSG00000105255.11,17,37,14,12,7,67,27,17,16,25,21,8,24,13,19,1
ENSG00000105258.9,85,113,185,124,65,187,327,56,96,60,182,107,140,98,133,61
ENSG00000105261.7,7,19,4,13,5,28,22,12,13,15,7,17,7,13,9,8
ENSG00000105270.15,146,541,187,124,153,325,219,398,396,132,214,233,75,221,385,119
ENSG00000105278.12,16,15,23,18,5,13,19,21,3,6,9,3,5,10,16,13
ENSG00000105281.12,1457,1633,2305,2038,1763,1358,3551,1252,2117,1341,1368,2645,1359,2716,1832,1493
ENSG00000105287.13,1312,1457,1062,918,1278,882,2208,1199,1168,890,1089,1313,1092,1674,1259,559
ENSG00000105289.15,2564,914,1070,1150,1032,810,2948,541,295,593,606,516,442,1419,1115,372
ENSG00000105290.13,323,171,1004,472,482,232,161,546,61,253,204,89,41,228,608,758
ENSG00000105298.14,457,461,350,446,308,481,711,327,312,337,357,350,468,322,545,279
ENSG00000105321.14,782,716,506,463,548,365,934,815,507,397,519,965,425,592,830,491
ENSG00000105323.17,2638,5255,3611,3199,3836,3677,6271,5531,4296,3037,5172,5708,7102,5248,6470,2829
ENSG00000105325.15,1739,1296,921,1229,782,963,1871,1183,767,972,1072,1082,1264,848,1390,596
ENSG00000105327.18,461,409,363,220,375,155,947,196,187,154,217,768,240,341,378,106
ENSG00000105329.11,549,1921,1118,577,552,1147,678,1508,953,526,1012,1188,788,958,1683,207
ENSG00000105339.11,3648,5218,4269,2858,4241,3095,4381,4604,1985,1915,3672,3970,2555,3533,4635,1339
ENSG00000105341.19,570,747,672,573,668,487,960,820,804,480,932,937,1054,980,1029,549
ENSG00000105352.10,20,91,44,61,399,21,22,118,7,35,31,85,38,27,116,28
ENSG00000105355.9,3674,2040,2300,1884,1328,1347,2390,1240,1435,1009,1895,2134,3098,1721,1650,542
ENSG00000105357.19,4437,6454,4171,3061,3607,2147,13370,2428,4145,1905,1909,7703,1632,5519,5567,1321
ENSG00000105364.14,258,314,267,300,203,261,381,197,205,184,217,238,275,206,283,144
ENSG00000105366.15,123,49,100,80,340,58,491,351,51,134,64,131,33,105,307,54
ENSG00000105369.10,313,19,511,306,98,39,111,104,44,90,75,15,42,41,125,10
ENSG00000105370.8,0,0,0,0,1,0,3,0,1,0,0,0,1,0,1,0
ENSG00000105371.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105372.8,14880,12532,14500,12717,15396,9166,28725,13856,28986,12315,20940,23263,23556,19527,19558,18482
ENSG00000105373.19,3167,3579,4284,5278,3501,2372,5327,3210,5138,2744,4271,4296,2563,2884,6749,8348
ENSG00000105374.10,110,25,78,152,145,71,96,177,36,33,41,54,353,61,155,30
ENSG00000105376.5,194,74,203,19,24,183,61,15,207,37,70,379,124,87,45,12
ENSG00000105379.10,119,196,435,310,115,249,747,363,245,151,387,250,139,429,475,245
ENSG00000105383.15,169,194,413,228,267,167,222,396,232,128,283,206,240,129,418,178
ENSG00000105388.16,26387,1704,4017,43529,960,4543,54872,311,11564,2290,943,45587,4962,19613,2795,14877
ENSG00000105392.16,1,1,1,3,0,0,0,1,0,2,1,3,0,3,2,3
ENSG00000105393.16,361,390,395,319,674,342,499,367,325,327,412,291,518,312,426,267
ENSG00000105397.14,2445,3358,2299,2370,2281,2428,2794,3087,2157,2212,2050,2214,2065,2120,3315,1591
ENSG00000105398.4,0,1,0,0,0,0,35,0,0,0,1,0,1,0,0,2
ENSG00000105401.9,4709,3284,3997,3801,3233,3156,4566,1877,2230,2147,3002,2775,4801,3036,3045,1570
ENSG00000105402.8,989,932,897,815,761,479,1961,1148,647,555,892,1102,791,976,1337,634
ENSG00000105404.11,403,355,490,291,265,164,811,152,339,212,340,431,364,290,521,271
ENSG00000105409.19,4,1,2,0,1,0,4,2,0,2,5,1,2,2,0,1
ENSG00000105419.18,337,769,488,334,388,289,330,431,977,218,430,643,158,517,632,157
ENSG00000105426.17,1395,2503,1702,1720,1410,2182,1845,6618,1539,1222,801,2032,572,1291,5989,2963
ENSG00000105427.10,10,13,5,4,6,6,17,4,97,14,12,37,14,2,4,4
ENSG00000105428.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000105429.13,605,2877,1708,1006,1326,1158,1676,2781,2078,961,1905,2025,1682,1194,3392,1152
ENSG00000105438.9,2475,3035,3867,2326,2978,1679,4536,3322,2915,2063,3634,4021,3088,3466,3681,2434
ENSG00000105443.15,1432,2782,1806,1644,1511,1258,4138,2075,2342,2113,3655,3392,1752,2245,2342,923
ENSG00000105447.13,769,929,921,796,995,631,1599,909,1257,688,1239,1561,833,937,1301,718
ENSG00000105464.3,97,230,319,273,32,133,773,149,147,32,237,465,122,519,364,182
ENSG00000105467.9,6,1,9,34,5,5,34,5,1,1,1,4,4,12,19,15
ENSG00000105472.13,586,1258,1325,850,511,465,811,590,1434,413,898,1054,245,797,1216,192
ENSG00000105479.16,36,63,26,39,134,25,30,28,12,8,67,31,308,17,31,35
ENSG00000105483.18,1700,1760,1989,2146,2665,1819,1871,4011,2481,1518,2115,1926,1669,1627,3522,1814
ENSG00000105486.14,485,961,773,518,681,895,1918,790,912,794,721,1225,898,912,917,583
ENSG00000105492.16,112,74,188,44,36,37,86,79,86,108,1370,242,38,132,118,17
ENSG00000105497.8,305,674,626,534,489,606,823,1193,1037,763,3104,532,178,949,1246,641
ENSG00000105499.14,611,300,559,386,346,240,946,730,411,182,255,1284,1207,547,530,268
ENSG00000105501.12,5,1,9,2,9,11,1,4,1,2,11,7,2,1,6,1
ENSG00000105507.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105509.11,159,5,20,50,26,47,57,29,9,17,4,1307,3,48,102,19
ENSG00000105514.8,655,964,644,1238,774,950,788,1951,568,337,460,670,1129,241,1670,2908
ENSG00000105516.11,426,316,350,236,254,163,615,301,294,147,504,1091,136,262,367,212
ENSG00000105518.14,332,301,433,387,324,258,423,319,197,236,340,186,343,207,431,336
ENSG00000105519.18,194,754,191,252,712,1092,414,185,363,217,1663,314,768,303,470,233
ENSG00000105520.10,550,759,532,548,421,543,404,653,444,194,503,548,246,406,714,241
ENSG00000105523.3,685,730,917,2010,602,194,3336,89,540,688,648,1051,969,1156,218,540
ENSG00000105538.10,120,130,188,215,143,154,229,254,118,72,195,229,65,194,388,288
ENSG00000105549.11,0,0,1,1,1,0,10,0,4,1,0,3,0,2,2,0
ENSG00000105550.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105552.15,394,600,813,614,487,377,1068,911,766,327,902,1038,256,581,1073,737
ENSG00000105556.11,227,570,303,301,315,471,411,565,357,217,294,339,453,316,566,225
ENSG00000105559.12,1006,681,803,699,522,505,1184,838,490,520,497,1030,281,821,1378,226
ENSG00000105568.18,3846,4965,6363,4170,4513,2616,9159,4579,5126,3495,7347,7870,3851,6361,5646,2608
ENSG00000105576.15,1625,3164,1827,2064,1572,2184,2207,2788,1755,1329,1575,1894,1788,1759,2534,1125
ENSG00000105583.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105605.7,1,1,0,0,0,4,0,1,0,0,1,0,0,1,5,0
ENSG00000105607.13,268,453,315,362,348,263,470,425,349,361,291,314,315,298,550,342
ENSG00000105609.17,304,204,385,85,69,80,75,141,199,41,54,256,463,154,124,177
ENSG00000105610.6,1,4,2,1,2,1,3,6,3,0,1,1,1,1,3,1
ENSG00000105612.9,1314,1160,1754,1128,1488,976,2008,1491,1128,1125,1273,1047,915,1200,1711,742
ENSG00000105613.10,19,48,42,43,11,118,57,48,18,16,36,17,19,14,43,24
ENSG00000105617.4,180,142,199,181,149,114,373,162,247,151,237,198,152,205,286,135
ENSG00000105618.14,546,752,1021,549,600,540,1178,644,776,500,908,1198,608,911,822,470
ENSG00000105619.13,240,238,459,206,235,146,370,189,204,168,289,451,242,321,260,115
ENSG00000105639.20,1470,985,1149,864,906,1338,1005,1577,937,604,566,1565,1149,786,1759,457
ENSG00000105640.13,8401,7737,7144,8213,8390,8523,12855,8146,9725,6340,8800,5898,9737,6867,11022,11212
ENSG00000105641.4,7,40,9,7,2,9,64,6,1,2,2,37,3,3,10,1
ENSG00000105642.15,13,13,5,7,8,11,19,6,7,13,16,4,3,6,2,10
ENSG00000105643.10,1483,5615,1170,2452,6753,831,2414,1578,661,4409,4266,2784,2452,950,1791,503
ENSG00000105647.19,5,9,8,13,9,12,8,11,10,11,8,4,12,12,18,7
ENSG00000105649.10,80,57,38,30,33,66,45,55,33,22,32,27,15,24,45,43
ENSG00000105650.22,53,30,9,5,13,30,7,18,9,10,15,9,4,18,12,3
ENSG00000105655.19,372,699,715,633,439,845,708,707,376,383,525,463,389,446,963,651
ENSG00000105656.13,1082,645,790,592,664,559,1028,798,539,352,418,893,646,624,941,341
ENSG00000105662.16,257,442,230,319,282,504,547,765,450,250,236,241,135,231,702,331
ENSG00000105664.11,5367,3199,13938,3633,1728,5092,6168,2901,2285,1358,2603,5421,72,3479,3871,511
ENSG00000105668.7,2,0,2,8,1,6,11,1,3,0,0,21,0,0,0,0
ENSG00000105669.14,1208,1032,1213,1267,993,902,2572,900,812,860,920,1081,1395,961,1484,861
ENSG00000105671.12,934,890,832,886,777,967,2136,807,908,807,835,890,1043,874,1071,640
ENSG00000105672.14,12,14,21,26,15,11,13,16,19,12,16,24,11,23,18,12
ENSG00000105675.9,3,16,3,20,6,9,4,38,6,4,4,8,6,5,11,82
ENSG00000105676.14,463,508,401,555,501,621,1197,528,625,412,510,478,506,446,713,277
ENSG00000105677.12,1005,1217,1635,1195,1117,1099,2210,1044,979,724,1793,1646,1577,1186,1695,983
ENSG00000105679.9,0,10,2,4,6,22,25,30,3,5,6,1,7,3,9,6
ENSG00000105694.3,1,1,1,5,1,0,2,14,0,0,1,0,0,1,7,3
ENSG00000105695.15,9,7,0,10,7,0,1,5,1,0,0,2,3,17,2,1
ENSG00000105696.9,15,34,38,51,26,36,25,54,22,21,25,21,10,32,76,45
ENSG00000105697.9,29,20,57,68,59,52,98,145,12,43,283,24,8,77,185,26
ENSG00000105698.16,1411,1881,2593,2016,1592,2075,3018,2225,1404,1149,2017,2429,1964,1651,2658,1427
ENSG00000105699.16,3468,3991,5141,3225,2895,5109,8493,1959,2784,3342,3293,7161,3427,7087,3382,1613
ENSG00000105700.11,626,627,631,603,797,623,1122,594,710,592,859,563,857,680,799,491
ENSG00000105701.16,3871,3789,4078,3607,3495,3113,6571,2646,2952,2745,3757,3456,4477,2964,4893,2242
ENSG00000105705.16,559,825,628,658,799,745,1294,926,738,563,671,545,716,600,913,525
ENSG00000105707.14,152,139,1057,387,477,368,340,1130,93,97,67,198,188,209,959,2007
ENSG00000105708.9,411,330,418,651,620,513,1141,835,769,431,606,407,393,505,805,456
ENSG00000105711.13,193,389,261,305,169,450,330,224,203,216,330,822,460,348,329,308
ENSG00000105717.14,167,182,116,144,81,109,232,107,105,56,55,93,127,74,92,24
ENSG00000105722.10,1145,1141,705,972,825,480,1518,748,772,602,1098,1929,1216,779,1271,337
ENSG00000105723.13,347,615,409,340,482,344,755,696,508,393,538,734,942,655,715,354
ENSG00000105726.17,930,1797,1195,1268,1261,1616,2342,1978,1207,1022,948,1077,979,1061,2057,1004
ENSG00000105732.13,393,538,394,462,379,278,839,424,515,265,523,809,634,475,598,273
ENSG00000105737.9,37,58,32,68,35,39,37,265,16,35,12,25,31,33,174,87
ENSG00000105738.11,1763,3198,1977,2270,1767,2467,4176,3421,1870,1816,2003,2250,5761,4249,4163,2060
ENSG00000105750.15,194,197,401,292,296,534,445,647,471,229,355,102,131,353,603,226
ENSG00000105755.8,742,403,602,528,340,232,1440,256,423,228,606,1004,1841,538,471,289
ENSG00000105767.3,115,244,283,256,338,134,312,464,287,243,185,1593,323,222,551,317
ENSG00000105771.14,1010,1573,1009,908,813,611,1931,1092,1166,911,1385,1700,1354,1351,1157,462
ENSG00000105778.19,3560,3655,4995,4194,5502,4711,10121,4861,5101,4625,9244,3632,9728,5924,5197,3688
ENSG00000105784.15,53,32,90,108,128,114,115,205,37,63,50,30,53,95,211,70
ENSG00000105792.19,788,438,980,497,1273,552,781,845,749,712,729,1302,688,987,836,445
ENSG00000105793.16,654,538,942,895,1416,1039,2347,1362,1236,1019,1872,544,1788,1497,1424,970
ENSG00000105808.18,41,28,10,38,17,17,62,81,34,8,22,15,7,66,60,18
ENSG00000105810.10,4622,3708,4815,5286,8820,6606,8474,6605,9679,4334,13548,6295,11177,16665,9304,5814
ENSG00000105819.14,1628,1236,2134,1970,2343,1831,3896,2327,2208,1827,2942,1570,1781,2561,2621,1785
ENSG00000105821.15,957,720,1094,1013,1135,1447,2172,1195,1068,881,1315,898,1692,1414,1441,808
ENSG00000105825.14,408,194,92,606,588,362,395,557,442,170,29,432,616,364,815,231
ENSG00000105829.13,665,431,966,699,1000,872,1577,1116,1038,968,1251,467,1547,958,1262,1311
ENSG00000105835.12,19550,8176,11989,8194,24072,9582,9460,10412,6614,15185,10584,20514,40531,8577,13145,6310
ENSG00000105849.6,1069,525,1048,928,1192,951,1559,903,1554,786,1757,1129,2055,880,1566,691
ENSG00000105851.11,953,629,1655,967,1599,724,1103,1963,745,613,895,827,853,1045,2205,505
ENSG00000105852.11,81,80,761,468,530,123,297,346,326,299,94,457,131,357,310,373
ENSG00000105854.13,2994,2282,6569,2209,5514,2060,5833,2183,3597,3447,4473,3541,5556,5700,2502,1470
ENSG00000105855.10,2620,3732,4205,7726,16451,8240,5512,6192,11139,6333,24151,13297,6801,6317,8890,4802
ENSG00000105856.14,4171,3007,3991,2677,4265,2881,6411,4348,3819,2562,4871,3609,4378,4879,5286,2666
ENSG00000105865.11,101,142,163,127,240,147,265,220,194,175,266,105,252,222,238,114
ENSG00000105866.15,678,593,866,942,1144,1045,1186,1350,1304,908,1592,591,1293,793,1373,748
ENSG00000105875.14,1188,2076,1210,932,1640,1027,1240,2684,1144,913,1481,2425,956,917,2269,1817
ENSG00000105877.18,346,589,67,183,2550,1843,270,558,368,1826,150,100,3483,462,424,530
ENSG00000105879.12,624,543,836,923,1103,1077,1526,1364,1108,741,1462,551,1472,1164,1400,893
ENSG00000105880.7,27,28,13,12,5,64,22,18,63,20,23,99,4,7,26,0
ENSG00000105887.11,5717,3357,7552,6317,8505,5503,7480,6146,7392,5603,10655,6224,11144,7297,9027,3471
ENSG00000105889.16,52,26,65,56,25,41,45,39,66,20,108,50,193,47,34,17
ENSG00000105894.12,88,107,101,305,139,133,186,293,120,226,441,205,197,105,282,39
ENSG00000105926.16,1211,631,1133,1894,1535,2269,1788,3481,1893,1161,2450,964,2032,1280,3914,2402
ENSG00000105928.16,1031,1165,1225,790,1311,1488,1434,1897,1760,943,1162,1325,2760,2257,1915,776
ENSG00000105929.16,14,30,19,4,25,30,2,10,46,15,6,50,29,4,5,5
ENSG00000105939.13,4653,3645,3598,3807,3995,4271,9081,5008,4193,2558,4020,3092,5576,4060,5665,3037
ENSG00000105948.13,328,316,556,423,622,601,825,504,654,491,691,351,649,464,672,321
ENSG00000105953.15,3068,3309,3715,3903,4133,2981,6390,3966,3387,2542,3414,3539,7554,4737,4333,2446
ENSG00000105954.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ENSG00000105963.15,728,274,548,506,194,101,1265,113,136,70,139,140,335,376,454,173
ENSG00000105967.16,807,336,1343,911,1599,794,1304,1447,854,491,843,457,956,1180,1782,509
ENSG00000105968.19,3760,3470,4642,4850,4350,5762,8264,6932,4770,3445,5619,3109,7358,4487,8158,3877
ENSG00000105971.15,1797,2525,3110,2959,4322,3256,1872,1500,3087,3473,9090,3574,9811,9062,2594,1410
ENSG00000105974.13,1769,6060,2139,2753,3023,2891,1485,1153,5475,4686,17010,5146,9308,8914,3591,948
ENSG00000105976.16,10121,10523,13924,7342,18505,15854,13983,2953,7567,16475,36301,7673,32467,27949,9263,2427
ENSG00000105982.17,59,123,69,115,112,108,431,148,86,82,164,17,207,113,147,110
ENSG00000105983.22,1753,2116,3132,3154,2739,3083,4000,3279,2759,2739,4213,1443,4287,2168,4366,2373
ENSG00000105988.6,12,14,9,18,14,4,24,45,8,5,12,11,7,11,25,26
ENSG00000105989.10,877,614,1107,527,619,260,1015,361,2933,503,1104,1534,83,1062,700,141
ENSG00000105991.10,32,20,63,55,44,33,176,29,72,12,41,70,65,131,42,16
ENSG00000105993.15,7066,3084,4331,4494,4684,3454,8925,4229,4103,3546,4776,4878,7325,4211,4713,2501
ENSG00000105996.7,35,60,106,62,51,65,159,98,64,45,87,56,57,97,131,50
ENSG00000105997.22,61,104,155,109,101,196,350,158,151,61,299,109,93,116,229,101
ENSG00000106003.13,1593,2131,851,1301,1076,511,6297,916,1518,1896,686,740,1132,2966,1564,1779
ENSG00000106004.5,179,61,353,256,136,124,369,140,161,60,290,261,88,199,373,79
ENSG00000106006.6,5,0,13,25,1,12,17,8,18,4,35,12,25,16,24,12
ENSG00000106009.16,999,1383,1052,1178,1262,899,2829,979,944,822,1249,1228,1481,1016,1760,767
ENSG00000106012.18,1109,1913,2017,1450,2170,1311,5879,1542,1291,1490,1209,915,1959,2738,1905,888
ENSG00000106013.15,17,16,25,36,43,57,16,48,26,25,12,13,26,21,29,48
ENSG00000106018.14,9,12,22,83,92,32,24,314,15,17,24,6,11,35,248,322
ENSG00000106025.9,380,190,461,695,924,354,1310,816,389,508,785,370,803,553,1206,689
ENSG00000106028.11,1739,1149,2372,1656,2477,1999,4229,1915,1777,1538,2886,1654,2998,1792,2326,1233
ENSG00000106031.9,131,1,281,574,15,865,1586,44,253,38,18,191,30,516,404,5
ENSG00000106034.18,2158,1926,3652,2428,1823,1624,4264,3342,1952,2180,3213,1275,1093,3685,4199,1078
ENSG00000106038.13,9,0,3,8,1,0,52,3,0,0,2,4,0,7,5,0
ENSG00000106049.9,997,965,1438,1361,1909,1009,2627,1708,1342,1217,1875,1153,2766,1443,2259,1027
ENSG00000106052.13,6802,3386,8597,5972,10464,5767,15729,6836,7080,6024,9654,6232,13879,9858,11123,5087
ENSG00000106066.15,1491,627,7293,2279,2436,760,3039,2549,985,1057,1489,990,1614,1255,2974,1645
ENSG00000106069.23,188,73,333,578,135,76,673,670,81,173,69,108,104,200,506,495
ENSG00000106070.20,2886,2628,2389,3638,3850,4582,5410,15025,4050,3832,1867,2931,8148,4710,10453,8204
ENSG00000106077.18,691,604,832,1161,1121,510,2707,453,459,486,701,1024,522,563,762,380
ENSG00000106078.19,898,968,962,2012,1376,581,3157,1947,756,840,391,321,1330,1318,2245,1563
ENSG00000106080.11,1258,697,1623,1309,1394,1160,1345,1512,1711,866,2079,1340,1148,1797,1713,1017
ENSG00000106086.20,1480,1102,2002,1575,1618,1425,2828,1672,1549,1289,1859,1577,2823,1655,1934,1350
ENSG00000106089.12,672,579,476,1106,407,673,775,228,409,378,1034,556,1420,755,384,218
ENSG00000106100.11,1119,1574,1383,892,1168,994,1426,1747,1317,772,1366,1721,976,1096,1982,473
ENSG00000106105.15,5918,3075,4725,3872,4330,3702,9686,3883,4891,3520,4554,4512,6692,4896,4712,3874
ENSG00000106113.19,11,26,7,23,43,7,56,43,66,5,32,24,21,23,26,37
ENSG00000106123.12,266,1404,720,1151,612,292,947,1566,968,1575,624,409,8529,1275,1297,716
ENSG00000106125.14,79,204,135,84,154,171,225,276,106,138,152,116,180,126,226,115
ENSG00000106128.19,3,6,4,4,6,1,21,7,4,4,3,2,1,1,3,2
ENSG00000106133.18,6,60,11,30,44,31,34,78,12,32,26,53,63,29,42,23
ENSG00000106144.20,757,1493,803,1065,1321,2006,2037,1934,1181,955,1660,1232,1998,794,1874,787
ENSG00000106153.13,4330,2595,5377,4647,4558,3186,13142,2951,4290,2908,5335,4269,9480,4330,5260,2582
ENSG00000106178.7,236,163,74,866,113,67,1824,18,20,69,25,69,39,8,25,417
ENSG00000106211.10,10417,5876,4409,6688,3756,4384,7354,2893,2774,2672,3300,9551,2900,2286,5895,1557
ENSG00000106236.4,245,223,170,778,445,172,359,756,164,118,102,228,419,235,1159,429
ENSG00000106244.13,1805,2094,2747,2143,2262,1914,4488,1882,2349,1604,3360,1885,3594,2828,2535,1198
ENSG00000106245.11,649,437,661,611,724,513,1388,485,740,470,983,570,1120,1078,706,395
ENSG00000106246.18,47,86,74,87,93,84,239,111,97,65,90,69,111,110,115,75
ENSG00000106258.15,6180,8335,9217,9360,17201,2894,20260,5216,3077,5522,2711,2054,3098,8383,6028,3287
ENSG00000106261.17,5561,5965,6246,7269,7611,5961,18093,13457,7828,5911,9559,5355,8647,7762,11230,8814
ENSG00000106263.18,3941,4365,6067,4779,5477,4654,16883,4694,5613,4056,6160,5882,10841,6550,6102,4156
ENSG00000106266.11,532,819,811,737,652,749,1796,744,761,472,1072,821,1800,721,955,371
ENSG00000106268.15,199,236,242,268,258,200,652,192,346,166,359,245,587,299,291,135
ENSG00000106278.12,149,452,162,344,282,389,432,235,226,115,55,3466,12,148,275,356
ENSG00000106290.15,384,816,442,426,574,698,772,899,729,442,759,481,727,550,924,349
ENSG00000106299.8,2643,2374,2995,3608,4310,3107,4793,3810,3629,2842,4546,2853,4232,3714,5583,2700
ENSG00000106302.10,8,6,10,11,43,14,3,0,6,6,7,32,3,16,8,15
ENSG00000106304.15,0,0,2,0,0,2,3,1,0,0,0,0,0,2,0,0
ENSG00000106305.10,227,219,361,341,289,199,776,225,293,183,342,239,466,234,320,160
ENSG00000106327.13,19,51,20,15,58,96,33,43,62,43,71,18,21,37,70,14
ENSG00000106328.10,3,10,4,6,5,3,7,21,7,4,6,8,6,7,3,12
ENSG00000106330.12,143,226,148,96,200,145,172,146,166,137,329,170,228,142,228,95
ENSG00000106331.17,36,0,3,11,7,16,58,22,1,7,2,5,0,12,19,3
ENSG00000106333.13,2118,2897,1681,1212,1173,1645,1028,1519,3314,890,1993,2189,630,1670,1614,547
ENSG00000106336.13,16,35,16,15,17,20,18,54,19,4,19,7,21,16,43,15
ENSG00000106341.11,3,6,6,5,2,4,9,21,2,3,3,10,2,2,17,9
ENSG00000106344.8,1236,1770,1415,1494,1658,2367,3940,2648,1532,1531,2554,1696,2161,1292,2493,1626
ENSG00000106346.11,471,725,569,637,541,771,1238,989,709,482,634,594,915,605,987,541
ENSG00000106348.18,1340,1537,1826,1232,1933,1430,2643,1054,1457,1238,1611,1240,2033,1015,1669,1038
ENSG00000106351.13,689,746,816,1336,987,545,1951,1539,320,859,926,394,1036,398,1640,1059
ENSG00000106355.10,639,384,920,753,918,749,1927,718,881,905,1217,407,1841,823,960,748
ENSG00000106366.9,8906,6659,8779,15805,19406,4210,3140,2884,15395,10326,12167,25756,17211,31668,5799,2041
ENSG00000106367.15,1018,738,1425,963,1257,768,2722,635,958,643,1522,827,1439,1358,1128,449
ENSG00000106384.12,285,11,78,90,19,9,1251,8,8,1,2,3,1,312,31,26
ENSG00000106392.11,2333,996,4029,2113,4827,2944,6451,1560,3104,3496,4713,1506,6437,3876,2612,1833
ENSG00000106397.12,2619,3025,3445,2851,2934,1768,7409,1477,2056,1477,2698,1917,3847,2855,2532,1239
ENSG00000106399.11,503,332,832,721,884,606,1710,545,729,673,900,354,1475,715,751,480
ENSG00000106400.12,1500,1245,1607,1197,1523,984,3166,1200,1471,1117,1970,1349,2491,2141,1913,920
ENSG00000106404.14,202,264,157,265,216,179,1385,281,207,197,212,159,190,231,373,135
ENSG00000106410.15,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ENSG00000106415.13,286,332,818,783,528,578,961,1173,482,488,688,294,851,581,1182,468
ENSG00000106436.7,4,3,24,1,3,0,21,3,2,5,5,0,0,9,8,2
ENSG00000106443.17,2729,2287,3400,3152,4336,4296,7133,3968,4496,4363,7482,2140,4896,4223,5241,2275
ENSG00000106459.15,635,794,758,816,616,708,1563,1106,681,558,700,661,1151,591,1069,596
ENSG00000106460.19,2602,1362,4751,3896,5523,3596,5233,4022,5054,3052,7700,2274,10112,4797,4970,2660
ENSG00000106462.11,793,931,824,963,1160,1868,2428,674,733,902,1088,965,2143,589,957,696
ENSG00000106477.20,557,520,553,606,751,984,818,835,655,821,1174,488,753,595,927,413
ENSG00000106479.11,588,985,587,722,661,531,1514,1360,754,422,1119,496,821,445,1204,757
ENSG00000106483.12,8843,1866,16796,17314,6898,6092,20322,17247,4080,4213,9280,13640,232,19297,22241,2487
ENSG00000106484.16,1226,948,2084,2447,2038,2414,3612,2919,1682,1536,2377,1602,1533,4344,3832,1597
ENSG00000106511.6,387,133,341,326,124,135,274,421,273,115,108,100,23,196,547,181
ENSG00000106524.9,1027,607,1285,1023,1110,983,2232,1020,1151,786,1749,808,1356,1295,1228,788
ENSG00000106526.10,613,466,864,725,362,668,1500,1653,320,1044,1541,462,1489,562,1168,1653
ENSG00000106536.21,85,8,93,539,106,68,1664,551,404,77,15,229,241,56,390,319
ENSG00000106537.8,1920,618,2948,4628,2191,1222,3757,1824,924,2708,3273,1719,5719,3798,2452,4889
ENSG00000106538.10,2845,2768,3336,2126,2636,1443,1649,3697,4721,1801,4033,7471,817,1944,4901,4316
ENSG00000106540.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000106541.12,9387,1538,8430,20458,13141,1998,48506,1334,3080,15718,12727,5024,28162,13997,7078,9862
ENSG00000106546.14,4245,2839,4338,4237,5886,5619,4908,2592,6377,5218,7247,4908,8510,6131,5391,1714
ENSG00000106554.13,1544,1072,1960,1897,2102,1834,3636,1667,1514,1334,2337,1344,2645,1543,2266,1190
ENSG00000106560.11,540,176,690,847,842,342,970,863,290,384,331,339,495,380,910,295
ENSG00000106565.18,2875,3248,6155,5125,6193,1939,12251,3046,2743,2196,1939,3958,2098,2789,4491,1853
ENSG00000106571.15,907,2164,812,637,703,1182,376,1534,3192,596,1477,1228,278,895,1508,377
ENSG00000106588.12,119,105,208,145,235,184,230,292,187,136,157,171,355,267,312,169
ENSG00000106591.4,958,753,1143,1145,1865,1064,2682,1236,1496,1002,1874,1078,2031,1391,1707,919
ENSG00000106603.19,2032,2203,2557,2208,2687,2771,4789,3785,3152,2468,3629,1991,4255,2450,3490,2567
ENSG00000106605.11,885,951,1433,1013,1024,684,2165,777,864,775,1242,983,3193,855,1121,437
ENSG00000106608.17,1300,1539,1499,1630,1874,1359,4701,1728,1468,1150,1647,1318,2188,1630,2246,1311
ENSG00000106609.16,5687,4247,7255,5411,6290,4619,11499,6361,5817,4368,7609,4741,7142,7616,7658,4181
ENSG00000106610.15,346,383,505,398,309,475,713,596,503,384,496,367,352,489,692,336
ENSG00000106615.10,2129,1325,2654,1906,2582,1709,3868,1535,2081,1807,3577,2291,5136,2244,2721,1484
ENSG00000106617.15,1583,1035,1191,1374,1119,939,2082,2061,932,861,1322,1079,2345,1064,2062,1060
