timeline,survival_probability
0.0,1.0
0.021917808219178082,0.9411764705882352
0.1863013698630137,0.8823529411764706
0.1917808219178082,0.8235294117647056
0.2958904109589041,0.7647058823529411
0.336986301369863,0.7058823529411764
0.44931506849315067,0.5882352941176472
0.6657534246575343,0.5294117647058824
0.7561643835616438,0.47058823529411753
0.7945205479452054,0.41176470588235287
0.9178082191780822,0.3529411764705882
0.9534246575342465,0.2941176470588235
1.0767123287671232,0.2352941176470588
1.9095890410958904,0.17647058823529413
1.9671232876712328,0.11764705882352941
2.8383561643835615,0.0588235294117647
5.134246575342465,0.0
