timeline,survival_probability
0.0,1.0
0.0547945205479452,0.9333333333333331
0.2410958904109589,0.8666666666666667
0.336986301369863,0.8
0.536986301369863,0.7333333333333334
0.6602739726027397,0.6666666666666669
0.736986301369863,0.6000000000000001
0.7835616438356164,0.5333333333333332
1.0767123287671232,0.4666666666666666
1.0904109589041096,0.39999999999999997
1.2465753424657535,0.3333333333333333
1.841095890410959,0.26666666666666666
2.232876712328767,0.2
2.4136986301369863,0.13333333333333333
2.684931506849315,0.06666666666666667
5.134246575342465,0.0
