timeline,survival_probability
0.0,1.0
0.0027397260273972603,0.9615384615384612
0.021917808219178082,0.9230769230769231
0.1863013698630137,0.8461538461538463
0.29863013698630136,0.8076923076923076
0.38082191780821917,0.769230769230769
0.4821917808219178,0.7307692307692306
0.5780821917808219,0.6923076923076922
0.6602739726027397,0.6538461538461539
0.7561643835616438,0.6153846153846153
0.7643835616438356,0.5769230769230769
0.7890410958904109,0.5384615384615383
0.9534246575342465,0.49999999999999994
1.0767123287671232,0.4615384615384615
1.104109589041096,0.4230769230769231
1.515068493150685,0.38461538461538464
1.6273972602739726,0.3461538461538462
1.641095890410959,0.3076923076923076
1.7315068493150685,0.26923076923076916
1.8575342465753424,0.23076923076923073
1.9589041095890412,0.19230769230769226
2.33972602739726,0.15384615384615383
2.356164383561644,0.11538461538461536
2.5013698630136987,0.07692307692307689
3.282191780821918,0.03846153846153844
4.3561643835616435,0.0
