,0
0,C3L-00625-03
1,C3L-01031-01
2,C3L-01053-01
3,C3L-01453-03
4,C3L-01971-02
5,C3L-02606-02
6,C3L-03123-02
7,C3L-03639-03
8,C3L-03743-01
9,C3N-00303-01
10,C3N-00516-02
11,C3N-01385-02
12,C3N-01502-01
13,C3N-02010-03
14,C3N-02579-02
15,C3N-02590-01
16,C3N-02696-02
17,C3N-02696-02-2
18,C3N-03000-02
19,C3N-03006-02
20,C3N-03061-01
21,C3N-03853-02
22,C3N-04284-01
