sample,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN,source
C3N-03190-01,0.0,0.0,0.0,0.0,0.0,0.1271,0.0,0.0,0.2026,0.0,0.0,0.1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.258,148.0542,8.2691,0.0124,0.0121,1.9108,0.0264,39.4034,7.9602,28.7583,0.5542,56.6752,14.6627,df_numeric
C3N-03211-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964,0.0,0.0,0.0,0.0,0.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.0475,0.0,0.0576,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,40.1518,130.3561,6.6895,0.0386,0.1126,1.2264,0.6139,34.3789,7.2008,39.4498,0.3009,37.0344,30.73,df_numeric
C3N-03426-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2926,0.0,0.0,0.0,0.0,0.0,0.2661,0.0,0.0828,0.0,0.1004,0.0,0.076,0.0,0.0,0.2963,0.0,0.0,0.0,28.0324,48.4799,2.4086,0.1009,0.0327,0.3562,0.0,35.6624,8.4329,16.4011,0.0375,73.3312,8.9115,df_numeric
C3N-03428-02,0.0,0.0,0.0,0.0,0.0257,0.0842,0.0,0.0,0.0336,0.0,0.0,0.0821,0.0,0.0404,0.0,0.0494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1148,0.2906,0.0732,0.0732,0.0,40.6077,130.4089,5.8115,0.0165,0.0,2.1836,0.1399,38.8483,15.2783,38.783,0.3306,59.1374,19.312,df_numeric
C3N-03430-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2238,0.0,0.0,0.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1094,0.0,0.0,0.0,0.0638,0.1614,0.0,0.4882,0.0,60.7654,189.3737,8.372,0.11,0.0356,1.504,0.2331,34.7127,7.2924,28.6419,0.857,63.8555,26.5404,df_numeric
C3N-03439-02,0.0,0.0,0.0,0.0,0.0,0.4132,0.0,0.0,0.0329,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.7042,0.0,0.0,0.0,0.0966,0.0,0.0,0.0,0.0282,0.4277,0.0,0.0,0.0,46.4778,145.5631,5.9927,0.0,0.0,1.2428,0.5149,39.9532,13.2214,33.8959,0.4686,75.3702,25.772,df_numeric
C3N-03440-01,0.0,0.0,0.0,0.0,0.0,0.0655,0.0,0.0,0.0522,0.0,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316,0.0,0.1148,0.0,0.0145,0.0,0.0446,0.0,0.0,0.0,0.0,57.1468,171.158,11.9189,0.0,0.0374,1.9691,0.7342,37.8139,10.2443,43.7683,1.0852,62.6436,33.7792,df_numeric
C3N-03665-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1524,0.0,0.0,0.3106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652,0.1649,0.0,0.0,0.0,47.1132,133.7108,7.2135,0.1498,0.1092,1.1402,0.3176,32.8218,9.8729,33.1428,0.6255,58.8472,20.3152,df_numeric
C3N-03666-01,0.0,0.0,0.0,0.0,0.0,0.2207,0.0,0.0,0.132,0.0,0.0,0.2868,0.0,0.0529,0.0,0.1294,0.0,0.0,0.2564,0.0,0.0,0.0523,0.0,0.0,0.0,0.0,0.0376,0.0952,0.0,0.0,0.0,59.6366,181.2515,9.5181,0.0216,0.084,1.7452,0.6416,46.1958,9.9984,50.671,0.6016,61.3602,30.0479,df_numeric
C3N-03670-01,0.0,0.0,0.0,0.0,0.0,0.1833,0.0,0.0,0.0731,0.0,0.0,0.0595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442,0.0,0.1607,0.0,0.0,0.0,0.1874,0.079,0.0,0.1594,0.0,53.0851,168.3815,11.2459,0.1615,0.157,2.9461,0.7992,43.0824,11.0173,52.8093,0.9593,74.871,37.4071,df_numeric
